Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	ˈo	1.0
ˈʉ_ɡ	ˈu	1.0
ˈʉ_n	ˈʌ	1.0
ˈʉ_lː	ˈuː	1.0
ˈɛ_ɾ	ˈɔɪ̯	1.0
ˈɛ_ɡ	ˈɛː	1.0
ˈɑ_l	ˈɑː	1.0
ˈœʏ̯	ˈiː	1.0
ˈæː	-	1.0
ˈæʉ̯_#>	ˈe_d_#>	1.0
ˈæ	ˈʌ	1.0
ˈeː_ɡ	ˈaː	1.0
ʰpː	p	1.0
ʰkː	ŋ	1.0
ʉ	d	1.0
ɾ_#>	#>	1.0
ɲ	ŋ	1.0
ɪ	ə_n	1.0
ɡ_ɑ_#>	#>	1.0
ɡ	-	1.0
ɛ	ə	1.0
ə_#>	#>	1.0
ə	ə	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
çː	t	1.0
ç_ɑ	k	1.0
v	w	1.0
tː	-	1.0
t	t	1.0
sː	ˈʌ_s	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
kʰ_ʋ	ʍ	1.0
kʰ	kʰ	1.0
jː	-	1.0
h	h	1.0
f	f	1.0
d_ə	n_ə	1.0
<#_ˈɔ	<#	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_ç	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_l	1.0
<#_d	<#_d	1.0
l	l	0.923
ɑ	-	0.903
b	b	0.9
ɾ	r	0.864
s	s	0.857
ˈɪ	ˈɪ	0.846
n	n	0.839
ˈæɪ̯	ˈe	0.833
k	k	0.833
ʰtː	t	0.778
ɡː	ɡ	0.75
d	d	0.75
j	-	0.727
e	-	0.724
ʋ_#>	f_#>	0.714
ɡ_#>	#>	0.714
ˈʏ	ˈɪ	0.7
ʋ	w	0.682
ˈæʉ̯	ˈi	0.667
ˈyː	ˈiː	0.667
lː	l_d	0.6
ˈeː	ˈiː	0.545
ˈɔ	-	0.5
ˈœ	ˈɪ	0.5
ˈœ	-	0.5
ˈøː	ˈi	0.5
ˈøː	-	0.5
ˈiː	ˈəi̯	0.5
ʂ	ʃ	0.5
ʂ	s	0.5
ɾ_e	ə_r	0.5
ɾ_e	r	0.5
ç	θ	0.5
ç	k	0.5
tʰ	θ	0.5
tʰ	tʰ	0.5
nː	n_d	0.5
nː	n	0.5
<#	<#_j	0.455
ˈuː	ˈø	0.438
lː	-	0.4
ˈɑː	ˈeː	0.385
ˈɑ	ˈa	0.368
<#	<#_w	0.364
ˈɛ	ˈɛ	0.357
ˈʉː	ˈu	0.353
ˈʉ	ˈʌ	0.333
ˈæʉ̯	-	0.333
ˈyː	ˈəi̯	0.333
ˈɑ	ˈɑː	0.316
ˈɑː	ˈe	0.308
ˈɑː	-	0.308
ˈʏ	-	0.3
ˈɔ	ˈo	0.3
ˈʉː	ˈuː	0.294
ʋ_#>	#>	0.286
ɡ_#>	ç_#>	0.286
ˈiː	-	0.278
ˈeː	-	0.273
j	ɡ	0.273
ˈʉ	ˈu	0.25
ˈʉ	-	0.25
ˈuː	ˈɪ	0.25
ɡː	ʤ	0.25
d	-	0.25
e	ə	0.241
ˈʉː	ˈi	0.235
ˈoː	ˈeː	0.235
ˈoː	-	0.235
#>	t_#>	0.231
#>	r_#>	0.231
#>	n_#>	0.231
ˈiː	ˈɪ	0.222
ʰtː	ç_t	0.222
ˈɑ	ˈeː	0.211
ˈɔ	w	0.2
ˈeː	ˈi	0.182
<#	<#_d	0.182
ˈoː	ˈiː	0.176
ˈʉ	ˈɪ	0.167
ˈæɪ̯	ˈeː	0.167
k	-	0.167
ˈɪ	-	0.154
#>	ˈuː_#>	0.154
#>	ˈiː_#>	0.154
ˈɛ	ˈɪ_ç	0.143
ˈɛ	ˈɪ	0.143
ˈɛ	ˈi	0.143
ˈɛ	-	0.143
ʋ	-	0.136
ˈuː	ˈɪ_ð	0.125
ˈuː	-	0.125
ˈʉː	ˈo	0.118
ˈoː	ˈʌ	0.118
ˈoː	ˈø	0.118
ˈoː	ˈi	0.118
ˈɑ	ˈe	0.105
b	b_ˈɛ	0.1
ɑ	k	0.097
n	-	0.097
ʋ	ˈi	0.091
ʋ	v	0.091
s	z	0.086
ɾ	ə_r	0.085
l	-	0.077
ˈɛ	ˈaːɪ̯	0.071
n	r	0.065
ˈuː	ˈøː	0.062
s	s_ˈɪ	0.057
ɾ	ð_ə	0.051
