American English	North Frisian	probability
ˈʊ	ˈœ	1.0
ˈɛ_ɫ	ˈeː_l	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈɔu̯	1.0
ˈi_#>	ˈeː_#>	1.0
ʃ	ʃ	1.0
ɾ	d_ə	1.0
ɹ_n	r_n	1.0
ɹ	r	1.0
ɫ_d	lʲ	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	d_ə	1.0
z	z	1.0
w_ˈʊ	ˈʊ	1.0
tʰ	t	1.0
t	t	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	j	1.0
m	m	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	i	1.0
h	h	1.0
d_ɹ	d_r	1.0
d_ɚ	ə_r	1.0
b	b	1.0
<#_ɹ	<#_r	1.0
<#	<#_j	1.0
ɫ	l	0.952
w	v	0.923
f	f	0.867
ɡ	ɡ	0.833
n	n	0.81
ɚ	r	0.783
ˈaʊ̯	ˈyː	0.727
ˈoʊ̯	ˈiː	0.667
ʧ	k	0.667
d	d	0.667
ʔ	t	0.64
v	v_ə	0.556
θ	t	0.529
ˈeɪ̯	ˈɛi̯	0.5
ˈeɪ̯	ˈɔː	0.5
v	v	0.444
#>	j_#>	0.429
ˈaɪ̯	ˈi	0.412
ˈʌɪ̯	ˈɒ_x	0.375
ˈʌɪ̯	ˈi	0.375
ˈɑ	ˈɔː	0.364
ˈʌ	ˈʊ	0.333
ˈɝ	ˈœ_r	0.333
ˈɝ	ˈa	0.333
ˈɝ	r	0.333
ˈi	ˈiː	0.333
ʧ	ʃ	0.333
n_d	nʲ	0.333
n_d	n_ə	0.333
n_d	n	0.333
θ	d	0.294
ˈaɪ̯	ˈiː	0.294
ˈɛ	ˈyː	0.286
#>	ŋ_#>	0.286
#>	k_#>	0.286
ˈɑ	ˈa	0.273
ˈaʊ̯	ˈøː	0.273
ˈæ	ˈœ	0.267
d	dʲ	0.267
ˈʌɪ̯	ˈa_x	0.25
ʔ	tʲ	0.24
ˈɪ	ˈi	0.227
ˈɪ	ˈa	0.227
ˈi	ˈuː	0.212
ˈæ	ˈɒː	0.2
ˈʌ	ˈɔu̯	0.19
ˈɛ	ˈɛː	0.19
ˈɛ	ˈɒː	0.19
ˈɪ	ˈeː	0.182
ˈɑ	ˈɒ	0.182
ˈɑ	ˈeː	0.182
θ	s	0.176
ˈaɪ̯	ˈyː	0.176
ˈoʊ̯	ˈœ	0.167
ˈoʊ̯	ˈyː	0.167
ɡ	ə	0.167
ˈi	ˈɛi̯	0.152
ˈʌ	ˈaː	0.143
ˈʌ	ˈa	0.143
ˈɛ	ˈɔː	0.143
ˈæ	ˈɔː	0.133
ˈæ	ˈɒ	0.133
ˈæ	ˈuː_l	0.133
ˈæ	ˈeː	0.133
f	ə_v	0.133
ɚ	ə_r	0.13
ˈi	ˈɛ	0.121
ʔ	t_ə	0.12
ˈaɪ̯	w	0.118
ˈʌ	ˈʏ	0.095
ˈʌ	ˈœ	0.095
ˈɛ	ˈiː	0.095
ˈɛ	-	0.095
ˈɪ	ˈʏ	0.091
ˈɪ	ˈʊ	0.091
ˈɪ	ˈaː	0.091
ˈɪ	ˈai̯	0.091
ɚ	ə	0.087
w	ˈuː	0.077
n	nʲ	0.071
n	n_ə	0.071
d	-	0.067
ˈi	ˈiː_ə	0.061
ˈi	ˈi	0.061
ˈi	ˈeː	0.061
