Brazilian Portuguese	Brazilian Portuguese	probability
ˈɔ_h	ˈɔ_ɬ	1.0
ˈũ	ˈu	1.0
ˈĩ_j̃	ˈi_n	1.0
ˈe_h	ˈi	1.0
ˈa_ʤ	ˈa	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʤ	-	1.0
ʃ_p	pː	1.0
ʃ_#>	#>	1.0
ɦ_n	rː	1.0
ɐ_#>	#>	1.0
w_s	ʦː	1.0
v_u	u	1.0
v_i	β_i	1.0
ũ	m	1.0
s_u	u	1.0
s_k	x	1.0
p	p	1.0
õ	u_n	1.0
o	u	1.0
j̃_#>	#>	1.0
j̃	ɲː	1.0
j_ʧ	tː	1.0
j_ʃ_#>	j_#>	1.0
j_ʃ	ʦ_i	1.0
j_t	tː	1.0
h_k	xː	1.0
h_#>	#>	1.0
ẽ	-	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_ʦ	1.0
<#_o	<#	1.0
<#_n	<#_n	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
f	f	0.955
ɐ	a	0.917
u	u	0.915
ˈi	ˈi	0.857
k	k	0.833
a	a	0.833
ʒ	ʤ	0.8
t	t	0.789
<#_e	<#_i	0.778
e	i	0.769
ɾ	r	0.738
ˈu	ˈu	0.733
m	m	0.731
i	i	0.706
s	s	0.615
d	dː	0.611
b	b	0.6
<#_ɡ	<#_ɡ	0.6
ɡ	ɡ	0.579
l	l	0.562
ˈe	ˈe	0.559
#>	u_#>	0.556
ˈɛ	ˈɛ	0.55
ˈẽ	ˈɛ_n	0.545
ˈɔ	ˈo	0.529
v	v	0.516
ˈĩ	ˈi_ŋ	0.5
ˈĩ	ˈi_n	0.5
ɦ	j	0.5
ɦ	-	0.5
n	nː	0.5
n	n	0.5
ˈɔ	ˈɔ	0.471
ˈo	ˈɔ	0.469
ˈẽ	ˈɛ	0.455
j	j	0.455
ˈɛ	ˈe	0.45
ˈɐ̃	ˈa	0.444
#>	i_#>	0.444
w̃	n_i	0.429
ɡ	ɡː	0.421
ʎ	ʧː	0.417
ʎ	ʎː	0.417
h	r_i	0.412
ˈo	ˈo	0.406
<#_ɡ	<#	0.4
w	-	0.353
ˈõ	ˈo	0.333
z	ʦ	0.333
z	z	0.333
z	-	0.333
i	u	0.294
w̃	n_u	0.286
w̃	i	0.286
l	dː	0.281
ˈɐ̃	ˈa_n	0.278
d	d	0.278
ʃ	-	0.273
j	n	0.273
m	mː	0.269
ˈõ	ˈɔ_n	0.25
ˈõ	ˈɔ	0.25
ˈe	ˈɛ	0.235
e	-	0.231
ʃ	ɬ	0.227
v	β	0.226
<#_e	<#	0.222
t	tː	0.211
ʒ	ɲː	0.2
v	b	0.194
s	ʦː	0.192
s	sː	0.192
j	-	0.182
w	w	0.176
w	u	0.176
w	r_i	0.176
h	ˈi	0.176
h	-	0.176
ˈɐ̃	ˈo	0.167
ˈõ	n	0.167
ʎ	u_r	0.167
a	ˈa	0.167
ˈi	i	0.143
ɾ	-	0.143
ʃ	p_j	0.136
ˈu	ˈɔ	0.133
ˈu	-	0.133
ˈo	-	0.125
b	β	0.12
b	bː	0.12
ɾ	a_r	0.119
w	r_u	0.118
h	rː	0.118
h	r	0.118
ˈɐ̃	ˈa_ŋ	0.111
d	tː	0.111
l	r	0.094
ʃ	ʧ	0.091
ʃ	ʦ_i	0.091
ʃ	i	0.091
ʃ	f_j	0.091
j	ʣ	0.091
ˈe	-	0.088
k	xː	0.083
k	kː	0.083
b	p	0.08
b	a	0.08
v	-	0.065
l	-	0.062
u	i	0.061
ˈe	ˈi	0.059
ˈe	i_d	0.059
