Sicilian	Sicilian	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈõ	1.0
ˈu_n	ˈũ	1.0
ˈo_n	ˈõ	1.0
ˈo	-	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_k	ˈi_ɣ	1.0
ˈe	-	1.0
ˈa_ɲː	ˈɐ_ɲ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_p	ɐ_β	1.0
ˈa_n	ˈɐ̃	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤː	-	1.0
ʐː	ʁ	1.0
ʐ	ʁ	1.0
ʊ_#>	#>	1.0
ʈː	t	1.0
ʈ_ɽ	t_ɾ	1.0
ʈ	-	1.0
ʃ	i_ʃ	1.0
ɾ_ʊ	ɾ_ɨ	1.0
ɾ_ɪ_#>	#>	1.0
ɾ_ɪ	ɾ	1.0
ɽ	-	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_#>	#>	1.0
ɟː	ʎ	1.0
ɖː	l	1.0
ɕ_ɪ	ʃ	1.0
ç	ʃ	1.0
v	v	1.0
u_n	õ	1.0
sː	s	1.0
r_s	ɫ_s	1.0
r	ɾ	1.0
o	ɔ	1.0
n_ʊ	w̃	1.0
n_ɪ	w̃	1.0
n_a	ɐ	1.0
mː	m	1.0
m	m	1.0
kː	k	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
d	d	1.0
cː	ʎ	1.0
bː	v	1.0
a_t	ɐ_ð	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_j	<#	1.0
<#_c	<#_ʃ	1.0
<#_a	<#	1.0
ʊ	u	0.953
a	ɐ	0.918
<#_n	<#_n	0.875
k	k	0.846
b	b	0.846
ɾ	ɾ	0.843
p	p	0.833
ɕ	s	0.818
s	s	0.792
u	u	0.778
ˈi_n	ˈi_ɲ	0.714
w	w	0.692
ʤ	ʒ	0.667
t	t	0.667
ɡ	ɡ	0.636
ˈɛ	ˈɛ	0.625
l	l	0.615
ˈa	ˈa	0.603
#>	ʃ_#>	0.6
nː	n	0.556
ˈɔ	ˈo	0.536
ʃː	s	0.5
ʃː	j_ʃ	0.5
tː	j_t	0.5
<#	<#_ɡ	0.5
<#	<#_i	0.5
ˈi	ˈe	0.477
j	ʒ	0.429
n	-	0.417
ˈu	ˈu	0.412
i	ɨ	0.409
ɪ	ɨ	0.404
#>	ð_ɨ_#>	0.4
ɡ	ɣ	0.364
ˈɔ	ˈɔ	0.357
j	j	0.357
ʤ	-	0.333
tː	t	0.333
t	ð	0.333
i	-	0.318
w	-	0.308
ˈi_n	ˈĩ	0.286
l	-	0.282
ˈu	ˈo	0.255
ˈi	ˈi	0.25
n	n	0.25
u	-	0.222
nː	d	0.222
nː	-	0.222
j	ʃ	0.214
s	ʃ	0.208
ɕ	-	0.182
tː	ð	0.167
p	β	0.167
n	ˈõ	0.167
n	j	0.167
ˈu	ˈɔ	0.157
ˈɛ	-	0.156
k	ɣ	0.154
b	-	0.154
ˈa	ˈɐ̃	0.143
i	j	0.136
<#_n	<#	0.125
ɪ	-	0.123
ˈu	-	0.118
ɾ	-	0.118
ˈɔ	-	0.107
ɪ	ˈe	0.105
l	ɫ	0.103
ˈa	ˈɐ	0.095
ˈɛ	ˈɐ	0.094
ˈi	ˈɐ	0.091
ˈi	-	0.091
i	i	0.091
ˈa	-	0.079
ɪ	ɾ	0.07
ɪ	u	0.07
ɪ	j̃	0.07
ɪ	j	0.07
ˈɛ	ˈɐ_j	0.062
ˈɛ	ˈẽ	0.062
ˈu	ˈɐ̃	0.059
ɪ	ʃ	0.053
