Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	ˈiː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈʊ_r	1.0
ˈeɪ̯	-	1.0
ˈaʊ̯_d	ˈuː	1.0
ˈa_d	ˈɑː_d	1.0
ɪ	ɵ	1.0
ɐ_n	ɳ	1.0
ɐ_d	rː	1.0
ɐ_#>	r_#>	1.0
ç	ɡː	1.0
z̥_#>	s_#>	1.0
x_d	tː	1.0
x_#>	#>	1.0
x	ɡ	1.0
v_ˈʊ	ˈɵ	1.0
tʰ	tʰ	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p	1.0
n_s	sː	1.0
n_n	nː_a	1.0
n_#>	#>	1.0
m_#>	#>	1.0
l_#>	l_#>	1.0
k	-	1.0
j	j	1.0
f_#>	v_#>	1.0
f	f	1.0
d_ˈuː	d_ˈʉː	1.0
d_ˈaɪ̯	ˈʉː	1.0
d_r	d_r	1.0
d_n	t_a	1.0
d_#>	#>	1.0
aɪ̯	ɔ	1.0
<#_ʒ	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
v	v	0.909
h	h	0.9
s	s	0.875
ˈiː	ˈiː	0.846
l	l	0.769
b	b	0.769
z	s	0.762
ˈøː	-	0.714
kʰ	kʰ	0.7
ˈa	ˈa	0.684
ˈuː	ˈʉː	0.667
ç_#>	ɡ_#>	0.667
ˈɔʏ̯	ˈøː	0.625
m	m	0.571
t	t	0.556
ˈoː	ˈoː	0.55
ʃ	s	0.542
n	n	0.54
ˈɪ	ˈɪ	0.52
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ˈyː	ˈʏ	0.5
ˈyː	ˈyː	0.5
ŋ	ŋː	0.5
#>	r_#>	0.5
ˈʏ	ˈʏ	0.455
ˈʊ	ˈɵ	0.455
ˈeː	-	0.455
d	d	0.448
t	tː	0.444
ɡ	k	0.435
ˈaː	ˈa_r	0.429
ɐ	ɛ	0.409
ˈɔʏ̯	-	0.375
ˈaʊ̯	ˈuː	0.346
ˈɔ	ˈɔ	0.333
ˈɔ	ˈœ	0.333
ˈɔ	-	0.333
ç_#>	#>	0.333
ˈaʊ̯	ˈøː	0.308
ˈaɪ̯	ˈeː	0.304
kʰ	ɕ	0.3
ʃ	ɧ	0.292
ˈøː	ˈøː	0.286
ˈaː	ˈa_l	0.286
ˈaː	r	0.286
ŋ	-	0.286
ˈʊ	ˈʊ	0.273
ˈʊ	ˈɔ	0.273
ˈoː	ˈɑː	0.25
#>	ɛ_#>	0.25
z	ɧ	0.238
n	a	0.22
ˈaɪ̯	ˈʉː	0.217
ˈaɪ̯	-	0.217
ˈɪ	-	0.2
ˈʏ	ˈɵ	0.182
ˈʏ	ˈɛ	0.182
ˈʏ	-	0.182
ˈeː	ˈɛː	0.182
ˈeː	ˈɛ	0.182
ˈeː	ˈeː	0.182
ɐ	ˈæː	0.182
ɡ	ɡ	0.174
ɡ	kː	0.174
d	tʰ	0.172
d	t	0.172
ˈuː	ˈɵ	0.167
ˈuː	-	0.167
ʃ	s_k	0.167
ˈɪ	ˈeː	0.16
ˈa	-	0.158
ˈiː	-	0.154
ˈaʊ̯	-	0.154
b	p	0.154
ŋ	ŋ	0.143
m	mː_a	0.143
ɐ	r_a	0.136
ɐ	r	0.136
ɐ	a	0.136
ˈaɪ̯	ˈɛ	0.13
ˈaɪ̯	ˈyː	0.13
ɡ	j	0.13
s	ʂ	0.125
ˈɪ	ˈɛ	0.12
ˈaʊ̯	ˈoː	0.115
m	v_a	0.107
m	mː	0.107
#>	k_#>	0.107
ˈa	ˈɛ	0.105
l	lː	0.103
ˈoː	ˈøː	0.1
ˈoː	ˈa	0.1
n	nː	0.1
h	-	0.1
v	-	0.091
ɡ	ɡː	0.087
ˈaʊ̯	ˈœ	0.077
l	j	0.077
b	pː	0.077
ŋ	jː	0.071
m	a	0.071
#>	t_#>	0.071
#>	d_#>	0.071
d	tː	0.069
d	-	0.069
n	n_d	0.06
ˈa	ˈæ	0.053
l	ˈœ_l	0.051
