Yiddish	Yiddish	probability
χ_t	ʰt	1.0
ˈʊ_t	ˈɔːu̯_w	1.0
ˈɪ_χ_#>	ˈeː_#>	1.0
ˈɪ_ʀ	ˈɛːa̯_ɹ	1.0
ˈɪ_n_#>	ˈʊ̯iː_#>	1.0
ˈɛ_n	ˈʊ_ʤ̊ː	1.0
ˈɔ_ʀ	ˈɔ	1.0
ˈa_ʀ	ˈa_ɹ	1.0
ʀ_#>	#>	1.0
ɫ_d	t͡l̥	1.0
ɪ	-	1.0
ɡ_n	a	1.0
ɛ	-	1.0
ə_ʀ	ɹ_a	1.0
ə_n	a	1.0
ŋ_k	ʰk	1.0
z_#>	s_#>	1.0
z	s	1.0
t_#>	#>	1.0
s_ə	ʰt͡n̥	1.0
s_t	s_t	1.0
p	-	1.0
n_ə	nː	1.0
n_#>	#>	1.0
f_#>	#>	1.0
d_z	sː	1.0
b_n	v_a	1.0
a	a_v	1.0
<#_ʀ	<#_ɹ	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_t	<#_d̥	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_kʰ	1.0
v	v	0.905
h	h	0.895
ʀ	ɹ	0.886
ŋ	ŋ	0.875
m	m	0.852
b	b̥	0.778
ˈaɪ̯	ˈʊ̯iː	0.75
f	f	0.731
#>	ʊ_ɹ_#>	0.71
ɫ	l	0.704
s	t	0.643
ʦ	tʰ	0.636
ɡ	ɡ̊	0.619
χ	k	0.6
ʃ	s	0.579
ˈɪ	ˈɪ	0.5
ˈɛɪ̯	ˈai̯	0.5
ˈa	ˈa	0.435
k	kʰ	0.429
ˈʊ	ˈʊ	0.409
n	n	0.364
n	a	0.364
s	ʰt	0.357
k	-	0.357
d	tʰ	0.353
d	d̥	0.353
ə	ʊ	0.333
ə	ɪ	0.333
t	t	0.333
t	d̥	0.333
ˈɔɪ̯	ˈʉːu̯	0.318
ˈɔɪ̯	ˈɛːi̯	0.318
ˈɛ	-	0.308
ˈɛ	ˈɛ	0.269
ˈa	ˈɔ	0.261
ˈɛɪ̯	ˈɛ	0.25
ˈɛɪ̯	ˈaːi̯	0.25
ɡ	ʤ̊	0.238
ˈɔ	ˈɛːa̯	0.231
b	v	0.222
ˈa	ˈɛːa̯	0.217
ʃ	ʃ	0.211
ʃ	s_k	0.211
χ	ʧ	0.2
χ	-	0.2
ˈɪ	-	0.2
ˈɔ	ˈɔ̯aː	0.192
#>	a_#>	0.188
ˈʊ	ˈɔːu̯	0.182
ʦ	ʈ	0.182
ʦ	-	0.182
d	-	0.176
f	p	0.154
ɫ	t͡l̥	0.148
ɫ	l̥	0.148
ɡ	ʊ	0.143
k	ʧʰ	0.143
ˈʊ	ˈɔ	0.136
ˈɔɪ̯	ˈʊ	0.136
ˈɔɪ̯	ˈɔːi̯	0.136
ˈɪ	ˈiː	0.133
ˈaɪ̯	ˈʊ	0.125
ˈaɪ̯	ˈa	0.125
ə	ɹ_ʊ	0.125
ə	a	0.125
ŋ	ɲ	0.125
d	w	0.118
ˈɛ	ˈɔ	0.115
ˈɛ	ˈeː	0.115
ˈɛ	j	0.115
ˈɔ	ˈɔ	0.115
ˈɔ	ˈa	0.115
ˈɔ	-	0.115
f	ʰp	0.115
t	tʰ	0.111
t	j_ʊ	0.111
t	-	0.111
m	-	0.111
n	-	0.109
h	j	0.105
ˈɪ	ˈøː	0.1
v	-	0.095
ˈʊ	ˈœ	0.091
ˈʊ	ˈøː	0.091
ˈʊ	-	0.091
ˈɔɪ̯	-	0.091
ˈa	ˈɛ	0.087
ə	-	0.083
ˈɛ	ˈeː_v	0.077
ˈɔ	ˈœ	0.077
ˈɔ	ˈoː	0.077
ˈɔ	ˈiː	0.077
n	nː	0.073
#>	ɹ_#>	0.072
k	ʰʧ	0.071
ʀ	t͡n̥	0.068
ˈɪ	ˈʏ	0.067
n	v̥_a	0.055
