West Flemish	West Flemish	probability
ˈøː	-	1.0
ˈæ_ɾ	ʁ_ˈi	1.0
ˈu_ʋ	ˈɔi̯	1.0
ˈiə̯_n	n	1.0
ˈeː	-	1.0
ʋ	ʋ	1.0
ʃ_h	ʃ	1.0
ɪ	i	1.0
ɦ̥_#>	#>	1.0
ɦ̥	i	1.0
ɦ_ɾ	ɡ̊_ʁ	1.0
ɦ_ə_#>	k_#>	1.0
ə_ɾ	ə_ʁ	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
ç	i	1.0
z̥	z̥	1.0
z_ʋ	ʃ_w	1.0
z	s	1.0
w	l	1.0
v̥	b̥	1.0
v	f	1.0
t_n	s_ə	1.0
t_#>	s_#>	1.0
p_n	f_ə	1.0
m	m	1.0
l	l	1.0
k_ˈɔ	kʰ	1.0
k_n	k_ə	1.0
k_#>	#>	1.0
j	j	1.0
iə̯	eː	1.0
h	x	1.0
d̥	t	1.0
d_ɾ	t_ʁ	1.0
b	b̥	1.0
<#_ˈɑ	<#_h_ˈɒ	1.0
<#_ɾ	<#_ʁ	1.0
<#_n	<#_n	1.0
ə	-	0.939
s	ʃ	0.882
ˈɪ	ˈi	0.846
<#	<#_h	0.833
ɾ	ʁ	0.829
d	d̥	0.826
n	n	0.727
ˈɛː	ˈəi̯	0.714
ˈyː	ˈyː	0.7
d̥_#>	d̥_#>	0.7
ˈɔ	ˈu	0.667
ˈi	ˈiː	0.667
ˈɑ	ˈɒ	0.647
ˈuə̯	ˈʊː	0.615
ˈɛ	-	0.571
ˈu	ˈu	0.571
k	kʰ	0.556
ˈiə̯	ˈiː	0.545
t	ʦ	0.538
p	f	0.5
t	t	0.462
ˈɛ	ˈe	0.429
ˈu	ˈɒ_l	0.429
ˈɒː	ˈɒ	0.385
ˈɒː	ˈoː	0.385
ˈœ	ˈu	0.375
ˈœ	ˈo	0.375
ɦ	ʋ	0.375
ɦ	-	0.375
ˈɑ	ˈɒː	0.353
ˈoː	ˈoː	0.35
ˈɔ	-	0.333
ˈæ	ˈæ	0.333
ˈi	-	0.333
p	p͡f	0.333
d̥_#>	#>	0.3
ˈɛː	-	0.286
ˈiə̯	ˈei̯	0.273
n	ə	0.273
ˈœ	ˈi	0.25
ɦ	j	0.25
ˈɒː	-	0.231
ˈuə̯	ˈiː	0.231
ˈæ	ˈi	0.222
ˈæ	ˈe	0.222
ˈæ	-	0.222
k	ʃ	0.222
ˈyː	-	0.2
ˈoː	ˈo	0.2
ˈiə̯	ˈeː	0.182
ɾ	ə_ʁ	0.171
p	p	0.167
<#	<#_ɡ̊	0.167
ˈɪ	-	0.154
ˈuə̯	-	0.154
ˈoː	ˈʊː	0.15
ˈoː	ˈu	0.15
s	k_s	0.118
k	i_ʃ	0.111
k	-	0.111
ˈyː	ˈøi̯	0.1
ˈoː	ˈeː	0.1
d	t_ə	0.087
d	t	0.087
ə	ə	0.061
