Dutch	Dutch	probability
χ_ˈɛi̯	j	1.0
χ_ə_n	ŋ	1.0
χ_ə	ɡ	1.0
ˈʏ	ˈʏ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_ɾ	ˈaː	1.0
ˈɔ_ɾ	ˈɔː	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈɑ_ɫ	ˈaː	1.0
ˈɑ	ˈa	1.0
ˈøː	ˈøː	1.0
ˈyː	ˈyː	1.0
ˈeː_n	n	1.0
ʋ	v	1.0
ɾ_ə	ɐ	1.0
ɾ_t	d	1.0
ɾ_d̥	ɐ_d	1.0
ɫ_ə	l	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_χ	i	1.0
ə_ɾ	ɐ	1.0
ə	-	1.0
z̥_#>	#>	1.0
z̥	z̥	1.0
v_ə	m	1.0
v	f	1.0
t_ə	d	1.0
s_χ	ʃ	1.0
s_t	s	1.0
n_ə	n	1.0
n_d̥	n	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
k_ə	ɡ	1.0
i	aɪ̯	1.0
d_ɾ	d_r	1.0
d	d	1.0
n	n	0.969
d̥	d	0.926
b	b	0.909
ˈaː	ˈoː	0.87
ŋ	ŋ	0.846
z	z	0.815
ˈɛi̯	ˈiː	0.789
ˈœy̯	ˈuː	0.786
ə_n	n	0.75
ˈi	ˈaɪ̯	0.737
p	b	0.714
v̥	f	0.667
s	ʃ	0.667
j	ʒ	0.667
ˈu	ˈaʊ̯	0.625
χ_t	x_d	0.6
ˈɔ	ˈʊ	0.565
ɾ	r	0.541
ˈoː	ˈaʊ̯	0.531
k	kʰ	0.483
χ	ɡ	0.448
t	d	0.432
k	ɡ	0.414
χ_t	ç	0.4
ˈɛ	ˈɛ	0.389
ˈɛ	-	0.389
ɾ	ɐ	0.378
ˈu	ˈɔʏ̯	0.375
ˈeː	ˈaɪ̯	0.364
ˈɔ	ˈɔ	0.348
ˈɑu̯	ˈuː	0.333
ˈɑu̯	ˈaʊ̯_l	0.333
ˈɑu̯	l	0.333
s	s	0.333
j	ˈɛː	0.333
ˈeː	ˈeː	0.318
χ	ç	0.31
t	t	0.297
t	tʰ	0.27
ˈi	-	0.263
ə_n	m	0.25
v̥	-	0.25
ˈœy̯	ˈyː	0.214
z	ʃ	0.185
ˈeː	-	0.182
χ	x	0.172
ˈoː	ˈɔʏ̯	0.156
ŋ	ç	0.154
p	pʰ	0.143
p	-	0.143
ˈeː	ˈeɪ̯	0.136
ˈaː	-	0.13
ˈoː	ˈøː	0.125
ˈoː	ˈoː	0.125
ˈɛ	ˈʏ	0.111
ˈɛ	ˈø	0.111
ˈɛi̯	ˈaɪ̯	0.105
ˈɛi̯	-	0.105
k	k	0.103
b	-	0.091
ˈɔ	-	0.087
v̥	v̥	0.083
ɾ	-	0.081
d̥	-	0.074
χ	-	0.069
ˈoː	-	0.062
