Westphalian	Westphalian	probability
ˈɪə̯	ˈɪ	1.0
ˈɛː	-	1.0
ˈɔː_n	n	1.0
ˈɒː	ˈɛ	1.0
ˈœː	-	1.0
ˈøː	ˈiː	1.0
ˈø	-	1.0
ˈyːœ̯	ˈəʊ̯	1.0
ˈyə̯	ˈæ	1.0
ˈuːə̯	-	1.0
ˈuə̯	-	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈa_ɐ	ˈɑː	1.0
ˈa_x	ˈeɪ̯	1.0
ˈa_l	ˈɑː	1.0
ʃ_k	ʃ	1.0
ɪ_ç	ɪ	1.0
ɡ_l	ɫ	1.0
ɡ	-	1.0
ə	-	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
z	z	1.0
x_t	t	1.0
v̥	f	1.0
v_n	v	1.0
t_n	t	1.0
t	t	1.0
r	ɹ	1.0
p	p	1.0
n_ˈɪə̯	n	1.0
n_n	n	1.0
m	m	1.0
l_ə	ɫ	1.0
k_n	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥_#>	θ_#>	1.0
d̥	d	1.0
d_n	d	1.0
aɪ̯	ˈiː	1.0
<#_ˈʊ	<#_ˈɐ	1.0
<#_z	<#_s	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	f_#>	1.0
s	s	0.917
b	b	0.909
ɐ	ə	0.833
x	ɡ	0.786
ˈiː	ˈaɪ̯	0.769
ˈʏ	ˈɪ	0.667
ˈiɛ̯	-	0.667
ŋ	ŋ	0.667
v	w	0.63
ˈɪɛ̯	-	0.6
ˈʊ	ˈɐ	0.571
ˈuː	ˈaʊ̯	0.556
ʃ	s	0.55
ˈeː	ˈəʊ̯	0.545
ˈɪ	ˈɪ	0.542
ˈaɪ̯	ˈiː	0.533
l	ɫ	0.517
n	n	0.508
ˈɔ	ˈəʊ̯	0.5
ˈɔ	-	0.5
ˈyː	ˈɪ	0.5
ˈyː	ˈaɪ̯	0.5
ˈa	ˈæ	0.5
l	l	0.483
d	d	0.467
ˈeː	-	0.455
ʃ	ʃ	0.45
ʋ	w	0.429
ˈɔː	ˈiː	0.417
n	-	0.407
ˈɪɛ̯	ˈe	0.4
d	θ	0.4
ˈʏ	-	0.333
ˈɪ	ˈaɪ̯	0.333
ˈɛ	ˈe	0.333
ˈɛ	-	0.333
ˈoː	ˈɐ	0.333
ˈoː	ˈuː	0.333
ˈoː	-	0.333
ˈiɛ̯	ɜː	0.333
ˈaː	ˈɔː	0.333
ˈaː	ˈɑː	0.333
ˈaː	ˈeɪ̯	0.333
ˈaʊ̯	ˈiː	0.333
ˈaʊ̯	ˈe	0.333
ˈaʊ̯	-	0.333
k	k	0.333
k	ʧ	0.296
ʋ	w_ˈe	0.286
ʋ	f	0.286
ˈa	-	0.278
ˈaɪ̯	-	0.267
k	kʰ	0.259
ˈɔː	-	0.25
ˈiː	ˈɪ	0.231
ˈuː	ˈɐ	0.222
ˈuː	-	0.222
ˈʊ	ˈʊ	0.214
ˈʊ	ˈaʊ̯	0.214
x	-	0.214
ˈaɪ̯	ˈaɪ̯	0.2
ˈɛ	ˈɪ	0.167
ˈɛ	ˈeɪ̯	0.167
ˈɔː	ˈɪ	0.167
ˈɔː	ˈeɪ̯	0.167
ŋ	ŋ_ɡ	0.167
ŋ	-	0.167
v	v	0.148
d	ð	0.133
ˈɪ	-	0.125
ˈa	ˈɔː	0.111
ˈa	ˈɑː	0.111
k	-	0.111
ɐ	d_ə	0.1
b	-	0.091
s	k_s	0.083
v	w_ˈɜː	0.074
v	w_ˈiː	0.074
v	-	0.074
ɐ	-	0.067
n	ˈɐ_n	0.051
