Italian	Italian	probability
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈɔ_k	ˈøː	1.0
ˈu_ɲː	ˈœ̃	1.0
ˈu_ŋ	ˈɔ̃	1.0
ˈu_tː	ˈɔ	1.0
ˈu_n	ˈɔ̃	1.0
ˈo_ʧ	w	1.0
ˈo_r	ˈuː	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_r	ˈi	1.0
ˈi_n	ˈẽ	1.0
ˈi_lː	ˈɛ	1.0
ˈe_n	ˈɛ̃	1.0
ˈa_r	ˈe	1.0
ˈa_p	ˈiː_f	1.0
ˈa_l	ˈɔː	1.0
ˈa_d	ˈɛ	1.0
ʧː	-	1.0
ʧ_e_#>	#>	1.0
ʤː	-	1.0
ʎː_o_#>	#>	1.0
ʎː_a	j	1.0
ʃː	ʃ	1.0
ɲː	ɲ	1.0
ŋ	-	1.0
z	-	1.0
w_ˈɔ	ˈuː	1.0
w_ˈa	w_ˈa	1.0
t_r	t	1.0
t_a	j	1.0
sː	-	1.0
s_t	ˈɛ_s	1.0
s_k	ʃ	1.0
s	s	1.0
rː	ʀ	1.0
r_ʦ	ˈa_s	1.0
r_t	ˈa_ʀ	1.0
p_o_#>	#>	1.0
o_n	ɔ̃	1.0
o_#>	#>	1.0
nː	-	1.0
n_e	ˈẽ	1.0
mː	m	1.0
lː_o_#>	#>	1.0
lː_o	ˈa	1.0
lː	-	1.0
l_a	j	1.0
kː_j	j	1.0
k_ˈa	ʧ	1.0
k_a	ʧ	1.0
j_ˈɛ	ˈiː	1.0
j_#>	#>	1.0
i_ŋ	ẽ	1.0
i_n	ɲː	1.0
fː	f	1.0
f	f	1.0
e_r	t	1.0
dː	-	1.0
b_w	b	1.0
b_e_r_o_#>	p_#>	1.0
b	b	1.0
<#_ˈa	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
#>	ˈɛ_#>	1.0
e_#>	#>	0.958
a_#>	#>	0.911
p	p	0.848
m	m	0.846
i	-	0.812
r	ʀ	0.733
j	l	0.733
ʧ	s	0.727
v	v	0.719
ʤ	ʤ	0.667
u	uː	0.667
tː	t	0.667
t	-	0.656
k	k	0.611
<#_a	<#_a	0.6
n	n	0.591
ˈa_n	ˈɑ̃	0.571
ɡ	-	0.529
o	-	0.529
l	l	0.529
e	-	0.52
d	-	0.52
ˈo	ˈɔ	0.5
w	w	0.5
w	-	0.5
kː	ʧ	0.5
kː	-	0.5
d	d	0.48
ɡ	ɡ	0.471
ˈa_n	ˈɛ̃	0.429
ˈɛ	j	0.417
<#_a	<#	0.4
ˈu	ˈøː	0.375
ˈu	ˈy	0.375
a	a	0.375
t	t	0.344
ʤ	-	0.333
u	ɛː	0.333
tː	-	0.333
ˈe	ˈɛ	0.304
ˈe	w	0.304
o	ɔ	0.294
l	-	0.294
ˈi	ˈiː	0.292
ˈi	ˈi	0.292
ʧ	-	0.273
n	-	0.273
ˈe	-	0.261
ˈɔ	ˈɔ	0.259
ˈu	-	0.25
a	-	0.25
ˈa	ˈa	0.233
r	-	0.233
k	ʧ	0.222
ˈi	ˈɛ	0.208
ˈo	ˈøː	0.2
e	ɛ	0.2
e	j	0.2
i	i	0.188
a	ɛ	0.188
a	n	0.188
ˈɔ	w	0.185
o	ˈa	0.176
l	ˈoː	0.176
ˈɛ	ˈɛ	0.167
ˈɛ	ˈiː	0.167
ˈɛ	-	0.167
k	-	0.167
ˈa	ˈɔː	0.163
v	-	0.156
m	-	0.154
ˈɔ	ˈuː	0.148
ˈɔ	ˈoː	0.148
n	ˈɛ̃	0.136
j	ˈiː	0.133
j	-	0.133
ˈe	w_ˈɛː	0.13
ˈi	-	0.125
v	f	0.125
ˈa	ˈɛ	0.116
ˈa	ˈe	0.116
ˈɔ	ɔ	0.111
ˈo	ˈɔ̃	0.1
ˈo	w	0.1
ˈo	-	0.1
ˈa	ˈiː	0.093
ˈa	w	0.093
ˈa	-	0.093
p	-	0.091
a_#>	j_#>	0.089
ˈɛ	j_ˈɛ	0.083
ˈi	j	0.083
e	ʀ	0.08
ˈɔ	ˈyː	0.074
ˈɔ	-	0.074
p	f	0.061
