Aragonese	Aragonese	probability
θ_o	ʦ	1.0
ˈo_β	ˈy	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ɾ	ˈi	1.0
ˈi_n	ˈĩ	1.0
ˈe_ɣ	ˈa	1.0
ˈe_n	ˈɛ̃	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_w	ˈe	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_m	ˈɑ̃	1.0
ˈa_l	ˈɑː	1.0
ˈa_j	ˈaː_ð	1.0
ʝ	-	1.0
ʎ_o_#>	l_#>	1.0
ʃ_a	s_ə	1.0
ɾ_ˈe	ð_ˈi	1.0
ɾ_o	ʁ	1.0
ɾ_n	ʁ	1.0
ɾ_a	a	1.0
ɾ_#>	#>	1.0
ɲ_o	ˈɛ̃	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ_ɡ	n	1.0
ŋ	-	1.0
ð_o	ˈɛː	1.0
ð_a	a	1.0
z	-	1.0
t_e_#>	t_#>	1.0
t_a	t_a	1.0
n_o	ˈɔ̃	1.0
l_#>	#>	1.0
f	f	1.0
e_ð	j	1.0
e_s	e	1.0
e_#>	#>	1.0
b_w	b	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_θ	<#_s	1.0
<#_ˈo	<#_ˈoː	1.0
<#_ʧ	<#_ð	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
o_#>	#>	0.951
l	l	0.917
m	m	0.88
ʎ	ʎ	0.867
p	p	0.867
n	n	0.85
d	d	0.833
ˈa_ɾ	ˈa	0.778
ɾ	ʁ	0.759
ð	-	0.75
j_ˈe	ˈe	0.7
ɣ	-	0.667
i	-	0.667
a	a	0.667
#>	ə_#>	0.667
j	-	0.65
s	s	0.636
ˈe_ɾ	ə	0.6
ˈe_j	ˈɛː	0.6
b	v	0.586
o	o	0.556
β	v	0.55
ˈa	ˈa	0.533
w	w	0.529
ˈi	ˈi	0.524
ɾ_e	ʁ_o	0.5
ɾ_e	ʁ	0.5
u	o	0.5
u	-	0.5
t	t	0.5
t	-	0.5
k	k	0.475
w_ˈe	ˈoː	0.455
k	ʃ	0.425
ˈe_ɾ	ʁ	0.4
ˈe_j	ˈɛ	0.4
w_ˈe	ˈɔ	0.364
θ	ʃ	0.357
e	ə	0.35
ɣ	ɡ	0.333
i	e	0.333
#>	l_#>	0.333
b	b	0.31
s	-	0.303
ˈo	w	0.3
j_ˈe	ˈɛ	0.3
ˈe	ˈe	0.292
θ	s	0.286
ˈu	w	0.286
a	ə	0.259
β	b	0.25
ð	j	0.25
j	j	0.25
e	-	0.25
ˈu	ˈu	0.238
ˈi	ˈe	0.238
w	-	0.235
ˈa_ɾ	j_ˈe	0.222
θ	z	0.214
ˈe	ˈɛː	0.208
β	-	0.2
ˈo	ˈo	0.2
ˈe	ˈɛ	0.188
w_ˈe	ˈu	0.182
d	-	0.167
ˈo	ˈø	0.15
ˈo	ˈu	0.15
n	-	0.15
e	ɛ	0.15
ˈe	-	0.146
θ	-	0.143
ˈu	w_ˈɛː	0.143
ˈu	-	0.143
ˈi	-	0.143
ˈa	-	0.133
ʎ	l	0.133
p	-	0.133
ɾ	ð	0.13
m	-	0.12
w	ˈø	0.118
w	ˈaː	0.118
o	ˈe	0.111
o	ʁ_o	0.111
o	a	0.111
o	-	0.111
b	-	0.103
ˈo	ˈɔ	0.1
ˈo	ˈoː	0.1
ˈa	ˈɛː	0.1
ˈa	ˈe	0.1
j	ˈe	0.1
e	ˈɛː	0.1
e	a	0.1
ˈu	ˈo	0.095
ˈu	j	0.095
ˈi	j	0.095
ˈe	ˈi	0.083
l	-	0.083
k	-	0.075
ɾ	-	0.074
a	i	0.074
ˈa	ˈɑː	0.067
ˈa	ˈaː	0.067
s	z	0.061
