American English	American English	probability
θ_#>	#>	1.0
θ	d	1.0
ˈʌ_ð	ˈaʊ̯_d	1.0
ˈɛə̯	ˈa	1.0
ˈɛ_ɚ	ˈoː_ɐ	1.0
ˈɛ_ð	ˈɛ_l	1.0
ˈɔ_ɹ	ɐ	1.0
ˈɔ	ˈaʊ̯	1.0
ˈoʊ̯_ɫ	l	1.0
ˈi_#>	ˈiː_#>	1.0
ˈaɪ̯_d	ˈiː_d	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɪ	-	1.0
ɚ	ɐ	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	-	1.0
w_ˈɔ	v	1.0
w	v	1.0
tʰ	tʰ	1.0
t_i	aɪ̯	1.0
s_t	s	1.0
s_#>	z̥_#>	1.0
pʰ	pʰ	1.0
oʊ̯	-	1.0
n_ˈeɪ̯	n_ˈoː	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	s	1.0
h	h	1.0
d_ˈɛ	d_ˈaʊ̯	1.0
d_ˈi	d_ˈaɪ̯	1.0
d_ɚ	ɐ	1.0
b	b	1.0
ɫ	l	0.913
ɡ	ɡ	0.909
f	f	0.906
n	n	0.898
d	d	0.868
t	t	0.778
#>	ç_#>	0.727
ˈæ	ˈa	0.667
i	ɪ	0.667
ɹ	r	0.649
ˈaʊ̯	ˈuː	0.643
ˈu	-	0.636
k	ɡ	0.625
ʔ	d	0.615
ˈʊ	ˈʊ	0.6
v	m	0.6
s	z	0.579
p	b	0.545
ˈoʊ̯	ˈaɪ̯	0.5
ˈeɪ̯	ˈa	0.5
ʧ	ɡ	0.5
ʧ	kʰ	0.5
ʤ	ɡ	0.5
ʤ	ç	0.5
ˈɪ	ˈɪ	0.464
ˈʊ	ˈaʊ̯	0.4
ˈɝ	ˈœ	0.4
ˈɝ	-	0.4
j	ʒ	0.4
j	ɡ	0.4
ˈʌɪ̯	ˈɪ	0.375
ˈʌɪ̯	ˈiː	0.375
ˈʌ	ˈʊ	0.364
ˈu	ˈaʊ̯	0.364
ˈɑ	ˈɔ	0.357
ˈaɪ̯	ˈɪ	0.353
ˈɛ	-	0.333
ˈæ	ˈaː	0.333
ˈoʊ̯	ˈaʊ̯	0.333
i	i	0.333
s	ʃ	0.289
ˈi	ˈɔʏ̯	0.273
p	b_m	0.273
#>	z̥_#>	0.273
ˈʌɪ̯	-	0.25
ˈeɪ̯	ˈɛ	0.25
ˈeɪ̯	ˈoː	0.25
ˈaɪ̯	ˈiː	0.235
t	d	0.222
ˈɪ	ˈʏ	0.214
ˈɑ	ˈoː	0.214
ˈɑ	ˈa	0.214
ˈɑ	-	0.214
ˈaʊ̯	-	0.214
ˈi	ˈoː	0.212
ˈɝ	ˈɔː	0.2
v	v	0.2
v	f	0.2
j	ˈɛː	0.2
ʔ	d_n	0.192
ɹ	ɐ	0.189
k	ɡ_n	0.188
k	k	0.188
ˈi	ˈaɪ̯	0.182
p	p	0.182
ˈaɪ̯	ˈaɪ̯	0.176
ˈoʊ̯	ˈøː	0.167
ɹ	-	0.162
ˈi	ˈaʊ̯	0.152
ˈɛ	ˈeː	0.143
ˈɛ	ˈaɪ̯	0.143
ˈaʊ̯	ˈaʊ̯	0.143
ˈʌ	ˈʏ	0.136
ˈʌ	ˈuː	0.136
ˈʌ	ˈoː	0.136
ˈʌ	-	0.136
s	s	0.132
ˈaɪ̯	ˈyː	0.118
ˈaɪ̯	ˈaʊ̯_x	0.118
ʔ	t	0.115
ˈɪ	-	0.107
ˈɛ	ˈʏ	0.095
ˈɛ	ˈɛ	0.095
ˈɛ	ˈœ	0.095
ˈɛ	ˈaʊ̯	0.095
ˈʌ	ˈøː	0.091
ɡ	j	0.091
ɫ	ɡ_l	0.087
d	n	0.079
ʔ	ç	0.077
ˈɪ	ˈø	0.071
ˈɪ	ˈyː	0.071
ˈɪ	ˈeː	0.071
f	-	0.062
ˈi	ˈiː	0.061
ˈi	ˈeː	0.061
ˈi	-	0.061
n	-	0.061
d	-	0.053
