Occitan	Piedmontese	probability
#>	ŋ_#>	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u	<#_u	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ_ˈɛ	<#_ˈø	1.0
<#_ʤ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈa_w	<#_ˈɔ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a	a	1.0
a_l	a_l	1.0
a_s	e	1.0
a_β	a_v	1.0
b	b	1.0
i	i	1.0
j_s	s	1.0
j_ɾ	r	1.0
k	k	1.0
k_ɔ	k_a	1.0
l_ɔ	l_a	1.0
l_ˈa	j_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	ŋ_t	1.0
p	p	1.0
r	r	1.0
r_#>	r_#>	1.0
s	s	1.0
s_t	s_t	1.0
t	t	1.0
u_l	u_l	1.0
v	v	1.0
z	z	1.0
ŋ	ŋ	1.0
ɔ	-	1.0
ɔ_#>	a_#>	1.0
ɡ	ɡ	1.0
ɡ_l	ʤ	1.0
ɣ	ɡ	1.0
ɣ_ɾ_e	r	1.0
ɥ_ˈɔ	ˈø	1.0
ɥ_ˈɛ	ˈø	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ɾ_ˈa	r_ˈa	1.0
ʎ	j	1.0
ʤ_e	i	1.0
ʧ_#>	t_#>	1.0
ˈa_#>	ˈe_#>	1.0
ˈa_n	ˈa_n	1.0
ˈa_w	ˈɔ	1.0
ˈa_z_ɔ_#>	ˈa_#>	1.0
ˈe_n	ˈe_ŋ	1.0
ˈi	ˈi	1.0
ˈi_l	ˈi_l	1.0
ˈu_#>	ˈu_r	1.0
ˈy	ˈy	1.0
ˈy_#>	ˈy_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_#>	ˈe	1.0
ˈɛ_r	ˈɛ_r	1.0
β_ɔ	b_a	1.0
β_ɾ	v_r	1.0
e	ˈe	0.091
e	a	0.091
k_#>	#>	0.231
s_#>	#>	0.421
w	-	0.571
ˈu	ˈu	0.771
j	e	0.2
k_#>	ɡ_#>	0.462
l	j	0.692
n	n	0.462
u	ˈø	0.182
ˈa	ˈa	0.902
e	e	0.273
j	j	0.3
t_#>	t_#>	0.583
ˈu	ˈy	0.143
ˈɔ	ˈø	0.3
<#_k	<#_k	0.944
e_#>	e_#>	0.444
j_ˈɛ	ˈe	0.4
l	-	0.154
l	w	0.154
l_#>	l_#>	0.704
s_#>	s_#>	0.474
w_#>	v_#>	0.444
ʤ	z	0.4
ˈi_#>	e_#>	0.714
<#_a	<#_u	0.25
<#_a	<#	0.25
<#_a	<#_a	0.5
d	d	0.5
d	-	0.5
j	-	0.5
s_#>	p_#>	0.105
t_#>	d_#>	0.25
ð	t	0.375
ð	d	0.625
ʦ_#>	s_#>	0.25
ʦ_#>	z_#>	0.75
ˈe	ˈɔ	0.065
ˈe	ˈə	0.065
ˈe	ˈe_j	0.065
ˈe	-	0.065
ˈɔ	ˈu	0.15
ˈɔ	ˈɔ	0.55
ˈɛ	ˈe	0.185
ˈɛ	ˈɛ	0.815
β	b	0.25
β	v	0.75
<#_k	<#_ʧ	0.056
e_#>	r_#>	0.556
j_ˈɛ	ˈɛ	0.6
l_#>	j_#>	0.296
w_#>	#>	0.556
ɾ	ə	0.086
ɾ	r	0.6
ʤ	ʤ	0.6
ˈe	ˈe	0.226
ˈi_#>	ˈi_#>	0.286
ˈu	ˈɔ	0.086
e	i	0.227
t_#>	t_e	0.167
ɾ	e	0.057
ɾ	-	0.257
ˈe	ˈi	0.097
e	-	0.318
k_#>	k_#>	0.308
n	ŋ	0.538
u	u	0.818
ˈa	w_ˈa	0.098
w	w	0.429
ˈe	ˈɛ_j	0.129
ˈe	ˈɛ	0.29
