Yiddish	Yiddish	probability
χ_t	ʰtː	1.0
χ_#>	#>	1.0
ˈʊ_t	ˈuː	1.0
ˈʊ_#>	ˈʉː_#>	1.0
ˈɔɪ̯_t	ˈæʉ̯	1.0
ˈɔ_ʀ	ɾ	1.0
ˈaɪ̯_ə	ˈyː	1.0
ʃ_t	s_t	1.0
ʃ_#>	s_k_#>	1.0
ʀ_ɛ	ɾ	1.0
ɫ_d	lː	1.0
ɡ_#>	#>	1.0
ɛ	-	1.0
ə_n	ɑ	1.0
ŋ_k	ʰkː	1.0
z_ˈɛ	ʂ	1.0
z_#>	s_#>	1.0
v_ˈɔ	ˈʉ	1.0
p	p	1.0
n_ɪ	ŋ	1.0
n_t_#>	nː_#>	1.0
n_#>	#>	1.0
f_n	p_ɑ	1.0
d_ʀ	tʰ_ɾ	1.0
d_z	sː	1.0
b_ə	ʋ_e	1.0
a	ɑ	1.0
<#_ʀ	<#_ɾ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_tʰ	1.0
m	m	0.958
h	h	0.889
z	s	0.867
v	ʋ	0.867
ʀ	ɾ	0.857
ŋ	ŋː	0.857
b	b	0.789
ɫ	l	0.788
ˈɛɪ̯	ˈæɪ̯	0.769
<#_t	<#_d	0.75
ɫ_#>	l_#>	0.714
#>	e_#>	0.714
χ	k	0.667
n_d	n_d	0.667
s	t	0.65
ɡ	ɡ	0.643
ˈa	ˈɑ	0.636
d	-	0.6
ʃ	s	0.588
f	f	0.586
ʦ	tʰ	0.545
ˈaɪ̯	ˈiː	0.529
t	-	0.5
ˈɔɪ̯	ˈʉː	0.474
ə	-	0.458
ˈɛ	ˈɛ	0.444
k	kʰ	0.421
ˈʊ	ˈʉ	0.4
d	d	0.4
n	ɑ	0.392
k	-	0.368
n	n	0.353
χ	ɡ	0.333
n_d	nː	0.333
ˈʊ	ˈuː	0.3
ˈɪ	ˈɪ	0.3
ˈɛ	-	0.296
ˈɔ	ˈɑː	0.292
ˈɔ	ˈoː	0.292
ə	e	0.292
ɫ_#>	#>	0.286
t	t	0.278
ʦ	t	0.273
s	s	0.25
<#_t	<#	0.25
ʃ	ʂ	0.235
ˈɛɪ̯	-	0.231
t	d	0.222
ˈɔɪ̯	ˈæʉ̯	0.211
k	ç	0.211
b	ʋ	0.211
#>	ɑ_#>	0.19
ˈɛ	ˈeː	0.185
ʦ	tː	0.182
ɡ	j	0.179
ˈaɪ̯	ˈɛ	0.176
ˈaɪ̯	-	0.176
ʃ	s_k	0.176
f	ʋ	0.172
f	p	0.172
ˈɔ	ˈɑ	0.167
ˈɔ	-	0.167
ə	ə	0.167
ˈɔɪ̯	ˈʉ	0.158
ˈɔɪ̯	ˈœʏ̯	0.158
n	nː	0.157
ɫ	lː	0.152
ˈʊ	ˈɔ	0.15
ˈʊ	-	0.15
ˈɪ	ˈʏ	0.15
ŋ	ɲ	0.143
z	s_e	0.133
v	kʰ_ʋ	0.133
ˈɪ	ˈiː	0.125
ˈɪ	-	0.125
ˈa	ˈɑː	0.121
ˈaɪ̯	ˈyː	0.118
h	j	0.111
ˈɪ	ˈeː	0.1
s	-	0.1
#>	ɾ_#>	0.095
ˈa	ˈɔ	0.091
ˈɔ	ˈʊ	0.083
ə	ɑ	0.083
ˈɪ	ˈøː	0.075
ˈɪ	ˈyː	0.075
ˈɛ	ˈæː	0.074
ʀ	-	0.071
ɡ	e	0.071
ɡ	-	0.071
ˈa	ˈoː	0.061
ˈa	-	0.061
ɫ	ˈœ_l	0.061
n	-	0.059
