Bavarian	Bavarian	probability
β	b	1.0
ˈɑ	ˈa	1.0
ˈuɐ̯	ˈʊ	1.0
ˈoɐ̯	ˈɛɪ̯	1.0
ˈou̯	ˈɔɪ̯	1.0
ˈiː	ˈɪ	1.0
ˈiɐ̯	ˈɪ	1.0
ˈi	ˈɪ	1.0
ˈe_ɐ	ˈa_ʀ	1.0
ˈe	ˈɛ	1.0
ˈaː	ˈɔɪ̯	1.0
ˈau̯	ˈɔɪ̯	1.0
ˈai̯	ˈaɪ̯	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ʃ_d̥	s_t	1.0
ɡ̊_r	ɡ_ʀ	1.0
ə	-	1.0
ɑ	ɛ	1.0
ɐ	ʀ	1.0
ç	χ	1.0
x	χ	1.0
s_n	s_n	1.0
r	ʀ	1.0
m_#>	b_n_#>	1.0
l	ɫ	1.0
kʰ	k	1.0
j_d̥	ɫ_t	1.0
j	ɫ	1.0
i	χ	1.0
h	h	1.0
f_a	f_n	1.0
f	f	1.0
eɐ̯	n	1.0
d̥_r	t_ʀ	1.0
b̥͡v̥	p	1.0
<#_ˈo	<#_ˈa	1.0
<#_ˈi	<#_ˈɪ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
#>	n_#>	1.0
ʃ	ʃ	0.923
m	m	0.923
n	n	0.907
b̥	b	0.895
ˈu	ˈʊ	0.75
ˈeː	ˈɛ	0.727
ˈɒː	ˈɔ	0.667
ˈa	ˈa	0.667
d̥	t	0.643
ɡ̊	ɡ	0.633
ˈɑː	ˈɔ	0.6
ˈo	ˈɔ	0.6
a	ə_ʀ	0.59
s	z	0.585
ŋ	ŋ	0.526
ˈoː	ˈɔɪ̯	0.5
ˈoː	ˈɔ	0.5
ˈɑː	ˈa	0.4
ɡ̊	k	0.367
s	s	0.366
ˈɒː	ˈa	0.333
ˈa	ˈɔɪ̯	0.333
d̥	d	0.329
ŋ	ɡ_n	0.316
ˈo	ˈa	0.3
ˈeː	ˈɛɪ̯	0.273
a	ə	0.179
ŋ	n	0.158
ˈu	ˈɪ	0.15
a	n	0.128
b̥	p	0.105
ˈu	ˈɔ	0.1
ˈo	ˈʊ	0.1
n	-	0.093
ʃ	ʧ	0.077
m	n	0.077
a	-	0.077
