East Frisian Low Saxon	East Frisian Low Saxon	probability
χ_t	tː	1.0
χ	k	1.0
ˈʊə̯	-	1.0
ˈʊ_p	pː	1.0
ˈʊ	ˈʉ	1.0
ˈɪə̯	-	1.0
ˈɛə̯	-	1.0
ˈɔː	ˈoː	1.0
ˈɒːɒ̯	ˈɑː	1.0
ˈɒː_n	ˈoː	1.0
ˈɑː_ɐ	ɾ	1.0
ˈɑː	ˈɑ	1.0
ˈɑɪ̯	-	1.0
ˈɑ_d̥	ˈɑː	1.0
ˈœːy̯	ˈuː	1.0
ˈœy̯	-	1.0
ˈœ	-	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈøː	1.0
ˈæːɪ̯	-	1.0
ˈæː	-	1.0
ˈyːʏ̯	ˈuː_t	1.0
ˈyː	ˈʏ	1.0
ˈuː	ˈʉː	1.0
ˈoːo̯	ˈøː	1.0
ˈoː_d̥	ˈøː	1.0
ˈiː	ˈiː	1.0
ʊ	ˈuː	1.0
ɫ	ɡ_l	1.0
ɣ̊_#>	#>	1.0
ɡ̊	ŋ	1.0
ə	-	1.0
ɑɪ̯	ə	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ɾ	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
w	ʋ	1.0
t_#>	#>	1.0
s_k	ʂ	1.0
s	s	1.0
r	ɾ	1.0
o	-	1.0
n_ˈɒː	n	1.0
n_n	nː_ə	1.0
n_d̥_#>	nː_#>	1.0
n_#>	#>	1.0
l_d̥	lː	1.0
l_#>	l_#>	1.0
f_#>	#>	1.0
f	f	1.0
d̥_#>	#>	1.0
d_ɐ	ɾ	1.0
b	b	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#	<#_j	1.0
#>	ɾ_#>	1.0
v	ʋ	0.9
z	s	0.864
h	h	0.857
p	p	0.818
ˈɛ	ˈɛ	0.778
ˈɑ	ˈɑ	0.75
k_#>	k_#>	0.727
l	l	0.72
m	m	0.692
t	t	0.676
ˈɛːɪ̯_#>	#>	0.667
ˈɑːɑ̯	ˈɑ	0.667
ˈeː	-	0.667
z̥_#>	s_#>	0.667
v̥_#>	ʋ_#>	0.667
ˈɑʊ̯	ˈuː	0.636
ˈʏə̯	ˈʏ	0.6
ˈɒː	ˈoː	0.6
ˈɪ	ˈɪ	0.591
k	k	0.583
ˈɔ	-	0.571
ɡ	ɡ	0.545
ˈeːe̯	j	0.5
ˈeːe̯	-	0.5
n	ə	0.431
ˈɔ	ˈɑ	0.429
d	tʰ	0.406
ˈʏə̯	-	0.4
ˈɒː	ˈɑː	0.4
ˈoː	ˈuː	0.4
n	n	0.397
ɐ	ɾ	0.389
ɣ̊	ɡː	0.375
ɣ̊	ɡ	0.375
d	d	0.375
ˈɑʊ̯	-	0.364
ˈʏ	ˈʏ	0.333
ˈʏ	ˈɛ	0.333
ˈʏ	-	0.333
ˈɛːɪ̯_#>	ˈeː_#>	0.333
ˈɑːɑ̯	-	0.333
ˈeː	ˈeː	0.333
z̥_#>	#>	0.333
v̥_#>	#>	0.333
ɡ	-	0.318
ˈøː	ˈœ	0.3
ˈøː	-	0.3
ˈæɪ̯	ˈæɪ̯	0.294
ˈæɪ̯	ˈyː	0.294
l	lː	0.28
k_#>	k_ə_#>	0.273
ɣ̊	j	0.25
ɐ	ə_ɾ	0.25
k	ç	0.25
ˈɛ	-	0.222
ˈøː	ˈʉː	0.2
ˈøː	ˈɔ	0.2
ˈoː	ˈøː	0.2
ˈoː	-	0.2
ˈɪ	-	0.182
p	pʰ	0.182
ˈæɪ̯	-	0.176
t	tː	0.176
k	-	0.167
d	-	0.156
m	mː	0.154
h	j	0.143
ɐ	ˈæː	0.139
n	nː	0.138
ˈɪ	ˈiː	0.136
ɡ	ˈæɪ̯	0.136
z	ʂ	0.136
ˈoː	ˈɔ	0.133
ˈɑ	ˈɛ	0.125
ˈɑ	ˈɔ	0.125
ˈæɪ̯	ˈɛ	0.118
ˈæɪ̯	ˈeː	0.118
ɐ	ɾ_ə	0.111
ɐ	ə	0.111
v	-	0.1
ˈɪ	ˈɛ	0.091
t	-	0.088
m	mː_ə	0.077
m	-	0.077
ˈoː	ˈœʏ̯	0.067
d	d_ˈyː	0.062
t	t_ə	0.059
