Friulian	Occitan	probability
#>	e_#>	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_c	<#_k	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_j	<#_ʤ	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʧ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
a_d	a_ð	1.0
a_r	ɾ	1.0
a_v	a_β	1.0
c_e	k_ɔ	1.0
d_e	ð_ɔ	1.0
e_#>	ɔ_#>	1.0
e_n	e_n	1.0
e_r	e_r	1.0
j_ˈɛ	ˈɛ	1.0
k_#>	k_#>	1.0
l	l	1.0
l_#>	l_#>	1.0
l_a	l_a	1.0
l_i	l	1.0
l_ˈa	l_ˈa	1.0
m_#>	m_#>	1.0
n	n	1.0
n_t_#>	n_#>	1.0
r_#>	r_#>	1.0
r_ˈa	ɾ_ˈa	1.0
r_ˈeː	ɾ_ˈe	1.0
s_k	s_k	1.0
s_t	s_t	1.0
t_r	t_ɾ	1.0
t_ˈaː	t_ˈa	1.0
v_ˈɔ	ɥ_ˈɛ	1.0
w_ˈa_r	ˈɔ_r	1.0
w_ˈi	ˈu	1.0
w_ˈɛ	ˈɔ	1.0
z_v	v	1.0
ŋ	ŋ	1.0
ŋ_#>	#>	1.0
ɲ_#>	ɲ_#>	1.0
ʧ	s	1.0
ˈa_l	ˈa_w	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈaː	ˈa	1.0
ˈaː_#>	ˈa_#>	1.0
ˈeː	ˈe	1.0
ˈeː_#>	ˈe_#>	1.0
ˈi_l	ˈi_l	1.0
ˈi_n	ˈɛ_n	1.0
ˈiː_#>	ˈi_#>	1.0
ˈo_n	ˈu_n	1.0
ˈoː	ˈu	1.0
ˈoː_r_#>	ˈu_#>	1.0
ˈuː_r_#>	ˈy_#>	1.0
ˈɛ_l	ʎ	1.0
<#	<#_ˈɔ	0.091
e	e	0.182
e	a	0.182
s	j_s	0.222
u	e	0.2
u	y	0.2
v	w_ɾ	0.222
v	v	0.222
ˈe	ˈe	0.762
<#	<#_e	0.273
<#_s	<#_e	0.143
a	-	0.273
d	-	0.333
o	-	0.143
o	u_z	0.143
p	s	0.333
s	z	0.333
t_#>	ʧ_#>	0.333
u	u	0.3
u	-	0.3
w_ˈa	ˈɔ	0.333
ʧ_#>	ʦ_#>	0.333
ˈe	ˈe_j	0.143
ˈi	-	0.103
ˈuː	ˈy	0.3
ˈuː	ɥ_ˈɔ	0.3
f_#>	w_#>	0.714
m	-	0.154
o	u	0.714
s	s	0.444
w	w	0.714
ˈa_n	ˈa	0.4
ˈu	ˈu	0.294
ˈuː	ˈɔ	0.4
b	β	0.5
b	-	0.5
d	ɾ	0.25
d	ð	0.25
i	-	0.125
i	i	0.375
i	e	0.5
i_#>	ˈi_#>	0.105
i_#>	e_#>	0.895
j	e	0.25
j	ʤ	0.25
j	j	0.5
r	r	0.205
s_#>	ʦ_#>	0.25
s_#>	s_#>	0.75
t	-	0.385
t	t	0.615
z	z	0.5
z	-	0.5
ɡ	ɡ	0.25
ɡ	ɣ	0.75
ɲ	ɲ	0.375
ɲ	n	0.625
ˈa	ˈa_j	0.115
ˈa	ˈa	0.885
ˈe	ˈɛ	0.095
ˈiː	ˈi	0.375
ˈiː	ˈɛ	0.625
ˈɔ	w	0.25
ˈɔ	ˈɔ	0.375
ˈɔ	ˈu	0.375
ˈɛ	ˈe	0.125
ˈɛ	ˈɛ	0.875
<#	<#_l	0.136
<#	<#_t	0.136
<#	<#_k	0.136
e	-	0.636
f_#>	p_#>	0.286
m	m	0.846
v	β	0.556
w	ɥ	0.286
ˈa_n	ˈa_n	0.6
ˈo	ˈy	0.16
ˈu	ˈy	0.706
<#	<#_a	0.227
<#_s	<#_s	0.857
a	a	0.727
d	z	0.167
p	s_p	0.667
r	ɾ	0.727
t_#>	t_#>	0.667
w_ˈa	ˈa	0.667
ʧ_#>	#>	0.667
r	-	0.068
ˈi	ˈɛ	0.138
ˈo	ˈe_j	0.08
ˈo	-	0.08
ˈo	ˈu	0.68
ˈi	ˈi	0.759
