Romanian	Friulian	probability
ˈə	-	1.0
ˈo_j	ˈoː	1.0
ˈau̯	ˈa_w	1.0
ˈa_l	ˈa_l	1.0
ʧʲ	-	1.0
ʧ_e	s	1.0
ʧ	ʧ	1.0
ʦʲ	t_s	1.0
ʦ_ə	ʧ_e	1.0
ɨ	-	1.0
ŋ_k	ɟ	1.0
ŋ	-	1.0
z_b	z_v	1.0
z	d	1.0
v	v	1.0
r_u	r_i	1.0
r_n	r	1.0
p_t	t	1.0
nʲ	n_s	1.0
n_e	ŋ	1.0
l_ˈi	l_ˈe	1.0
l	l	1.0
kʲ	l_i	1.0
j_n	ŋ	1.0
f	f	1.0
b	b	1.0
ə	e	0.936
s	s	0.916
ˈɨ	ˈa	0.88
ʃ	s	0.833
d	d	0.827
m	m	0.744
p	p	0.734
r	r	0.679
n	n	0.669
ʒ	j	0.66
j	j	0.633
ˈi	ˈi	0.623
ɡ	ɡ	0.608
w	f	0.605
i	-	0.602
u	o	0.599
o	u	0.596
ʤ	-	0.572
t	t	0.563
ˈa	ˈaː	0.537
e̯ˈa	ˈe	0.45
e	i	0.445
ʤ	ʤ	0.428
a	e	0.423
ˈe	ˈɛ	0.414
o	-	0.404
i	i	0.398
w	-	0.395
ˈu	ˈo	0.394
ɡ	-	0.392
ʦ	z	0.391
k	k	0.386
j	-	0.367
k	c	0.359
a	a	0.35
ʦ	ʧ	0.344
ˈu	ˈu	0.341
ʒ	ʤ	0.34
ˈo	ˈuː	0.31
o̯ˈa	w_ˈa	0.302
e̯ˈa	ˈɛ	0.29
ˈo	ˈo	0.287
p	-	0.266
ʦ	t	0.265
ˈa	ˈa	0.263
e̯ˈa	-	0.26
m	-	0.256
t	d	0.238
e	e	0.234
a	-	0.227
ˈi	ˈiː	0.226
u	u	0.219
n	ɲ	0.214
o̯ˈa	ˈoː	0.201
ˈe	ˈe	0.2
u	-	0.181
o̯ˈa	w_ˈɛ	0.176
d	t	0.173
e	-	0.168
ʃ	z	0.167
r	l	0.166
o̯ˈa	ˈɔ	0.165
t	-	0.164
o̯ˈa	-	0.156
ˈo	ˈa	0.151
r	-	0.135
k	-	0.129
ˈe	ˈiː	0.124
ˈɨ	ˈi	0.12
ˈa	ˈɛ	0.119
ˈe	-	0.117
n	ŋ	0.117
ˈo	ˈɔ	0.112
ˈe	ˈeː	0.112
ˈu	w_ˈi	0.097
ˈu	-	0.085
s	-	0.084
ˈi	ˈɛ	0.076
ˈi	-	0.074
k	ɡ	0.071
ˈo	ˈu	0.07
ˈo	-	0.07
ə	a	0.064
e	a	0.059
k	s	0.056
e	l	0.054
ˈu	ˈi	0.051
