East Low German	Scots	probability
ˈʏ	ˈɪ	1.0
ˈʊ_l	ˈuː	1.0
ˈɛː	ˈi	1.0
ˈɔʏ̯	ˈi	1.0
ˈɒː_n	ˈeː	1.0
ˈœː	ˈɪ	1.0
ˈœ	ˈa	1.0
ˈyː	ˈiː	1.0
ˈoː	ˈeː	1.0
ˈae̯_ŋ	ˈiː	1.0
ˈae̯_#>	ˈɑː_#>	1.0
ˈa_l	ˈɑː	1.0
ɾ	ð	1.0
ɪ_ç	i	1.0
ŋ	ŋ	1.0
æ_n	r_n	1.0
z	s	1.0
w	w	1.0
tʰ	tʰ	1.0
r	r	1.0
p	p	1.0
n_ˈɒː	n_ˈe	1.0
l_ˈɪ	l_ˈɪ	1.0
l_t	l_d	1.0
l	l	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_r	<#_r	1.0
m	m	0.917
ˈɪ	ˈɪ	0.895
ˈʊ	ˈʌ	0.8
t	t	0.788
v	w	0.783
ˈɛ	ˈɛ	0.75
ˈuː	ˈu	0.75
s	s	0.75
n	n	0.708
ɡ	ɡ	0.692
ˈɒː	ˈi	0.667
kʰ	kʰ	0.667
k	k	0.667
d	d	0.619
ˈaː	ˈeː_r	0.6
ˈiː	ˈəi̯	0.571
ʃ	s	0.542
æ	ə_r	0.529
ˈɔ	ˈo	0.5
x	ç	0.5
x	x	0.5
j	ɡ	0.5
j	j	0.5
ˈaʊ̯	ˈø	0.462
ʃ	ʃ	0.458
ˈae̯	ˈe	0.455
æ	r	0.412
ˈaː	r	0.4
d	θ	0.381
ˈa	ˈɑː	0.375
ˈa	ˈa	0.375
ˈɒː	ˈʌ	0.333
ç	ɡ	0.333
ç	ç_t	0.333
ç	x	0.333
ˈaʊ̯	ˈi	0.308
ɡ	-	0.308
n	-	0.292
ˈiː	ˈiː	0.286
ˈɛ	ˈɪ	0.25
ˈɔ	ˈɪ	0.25
ˈɔ	-	0.25
ˈuː	ˈo	0.25
ˈaʊ̯	ˈɪ	0.231
t	d	0.212
ˈʊ	ˈu	0.2
k	k_ə	0.2
ˈae̯	ˈiː	0.182
kʰ	ʧ	0.167
kʰ	k	0.167
ˈiː	ˈɪ	0.143
ˈae̯	ˈɛ	0.136
ˈae̯	ˈi	0.136
k	-	0.133
v	ʍ	0.13
ˈa	ˈɪ	0.125
ˈa	ˈe	0.125
s	z	0.125
s	k_s	0.125
ˈɪ	ˈɛ	0.105
ˈae̯	ˈɪ	0.091
v	-	0.087
m	ˈiː	0.083
æ	ˈiː	0.059
