Kashubian	Proto-Balto-Slavic	probability
ʧ_i	u	1.0
ʧ	-	1.0
ʤ	ɡ	1.0
ʣ	d	1.0
ʒ̊	ŋ_ɡ	1.0
ʒ	ɡ	1.0
ʉ	au̯	1.0
ʃ	-	1.0
ɾ	r	1.0
ɲ	-	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ɛ_ˈ	ˀ	1.0
z̥	zʲ	1.0
z	zʲ	1.0
x	ʃ	1.0
v_j	w	1.0
v	w	1.0
t	t	1.0
r̝	r	1.0
p	p	1.0
õ	a	1.0
n	n	1.0
m	m	1.0
f	w	1.0
e	e	1.0
b̥	b	1.0
b	b	1.0
r	r	0.937
w	l	0.914
k	k	0.799
u̯ɛ	a	0.73
s	sʲ	0.598
ã	-	0.597
ə	uː	0.59
ɔ	a	0.566
d̥	d_u	0.5
d̥	d	0.5
ʦ	t_ei̯	0.472
a	aː	0.466
ɛ	e	0.462
j	-	0.453
ɔ	-	0.434
ɞ	aː	0.421
ã	i	0.403
s	s	0.402
ˈ	-	0.391
u	a	0.366
ˈ	́	0.362
u	e	0.35
i	a	0.317
ɞ	i	0.31
d	d	0.305
i	uː	0.3
ʦ	t	0.291
j	ai̯	0.285
u	-	0.283
d	-	0.28
ə	-	0.271
u̯ɛ	-	0.27
ɞ	z	0.269
j	eː	0.262
ɛ	i	0.242
ʦ	t_i	0.237
d	t	0.213
i	a_́	0.212
d	n_d	0.202
k	-	0.201
a	-	0.183
i	-	0.171
a	oː	0.16
ˈ	́ˀ	0.159
ə	e_s	0.139
ɛ	-	0.136
a	a	0.128
ɛ	ai̯	0.107
ˈ	ˀ	0.087
w	-	0.086
r	r_a	0.063
a	ai̯	0.063
ɛ	ɛ	0.054
