Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɪ_ð	ˈu_d	1.0
ˈɛː	ˈeː_χ	1.0
ˈɛ_s	ˈɑ_s	1.0
ˈɔɪ̯	ʋ_ˈɛ	1.0
ˈɑː_l	ˈɑu̯	1.0
ˈøː	ˈu_n	1.0
ˈuː_#>	#>	1.0
ˈuː	ˈɔ_ɫ	1.0
ˈe_n	ˈeː_n	1.0
ˈaːɪ̯	ˈɛi̯_v̥	1.0
ˈaː	ˈɪ_k	1.0
ʧ	-	1.0
ʤ	χ	1.0
ʍ	ʋ	1.0
ɪ	ə_k	1.0
ɡ	χ	1.0
ɛ	ə	1.0
ŋ	ŋ	1.0
ð_ə	ˈeː	1.0
ð	d	1.0
ç	χ	1.0
x	χ	1.0
w	ʋ	1.0
v	-	1.0
t	t	1.0
s_l	s_ɫ	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s_#>	s_#>	1.0
k	k	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
e	ɪ	1.0
d_r	d_ɾ	1.0
b	b	1.0
<#_ˈiː	<#_ˈoː	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_pʰ	<#_p	1.0
<#	<#_k	1.0
n	n	0.942
r	ɾ	0.864
ə	ə	0.821
ʃ	s_χ	0.8
ˈʌ	ˈɔ	0.692
θ	d	0.667
ˈu	ˈœy̯	0.667
ˈoː	-	0.667
i	ə_χ	0.667
ˈəi̯	ˈɛi̯	0.615
j	j	0.6
s	z	0.581
d	d̥	0.571
ˈø	ˈu	0.556
ˈo	ˈɔ	0.545
ˈɑː	ˈɑ	0.5
ˈa	ˈɑ	0.5
z	z̥	0.5
z	-	0.5
ˈɪ	ˈɪ	0.476
ˈɛ	ˈɛ	0.462
ˈo	ˈoː	0.455
d	d	0.429
ˈe	ˈeː	0.412
j	-	0.4
θ	d̥	0.333
ˈu	-	0.333
ˈoː	ˈøː	0.333
i	i	0.333
#>	χ_#>	0.333
ˈɛ	-	0.308
ˈe	ˈaː	0.294
s	s	0.279
ˈi	ˈoː	0.276
ˈiː	ˈi	0.273
ˈɑː	ˈɑ_ɫ	0.25
ˈɑː	-	0.25
ˈeː	ˈaː	0.235
ˈɛ	ˈɑ	0.231
ˈəi̯	-	0.231
ˈø	ˈɑ_n	0.222
ˈø	-	0.222
ˈa	ˈaː	0.214
ˈi	ˈu	0.207
ˈi	ˈi	0.207
ʃ	s	0.2
ˈiː	ˈɛi̯	0.182
ˈiː	ˈoː	0.182
ə	-	0.179
ˈeː	ˈɛ	0.176
ˈeː	ˈɑ	0.176
ˈeː	ˈeː	0.176
ˈe	ˈoː	0.176
ˈi	ˈaː	0.172
#>	ˈɛi̯_#>	0.167
#>	z̥_#>	0.167
#>	v̥_#>	0.167
#>	d̥_#>	0.167
ˈʌ	ˈaː	0.154
ˈʌ	-	0.154
ˈəi̯	ˈœy̯	0.154
ˈa	ˈɛ	0.143
ˈa	-	0.143
s	z̥	0.14
ˈiː	ˈi_χ	0.136
ˈiː	ˈeː	0.136
ˈɪ	ˈɛ	0.119
ˈɪ	ˈoː	0.119
ˈɪ	-	0.119
ˈeː	ˈaː_n	0.118
ˈeː	-	0.118
ˈe	ˈɑ	0.118
ˈɪ	ˈʏ	0.095
ˈiː	ˈaː	0.091
r	-	0.076
ˈɪ	ˈɑ	0.071
ˈi	ˈeː	0.069
ˈi	-	0.069
r	ˈɔ_ɾ	0.061
n	n_d	0.058
