Portuguese	Portuguese	probability
β	v	1.0
ˈo_w	ˈɔː	1.0
ˈo_j	ˈɔ	1.0
ˈĩ	ˈe_ŋ	1.0
ʁ	r	1.0
ɾ_ˈe	r_ˈiː	1.0
ɾ_ɨ	e_r	1.0
ɾ_u	e_r	1.0
ɫ	l	1.0
ɨ_ɾ	a_r	1.0
ɨ_#>	#>	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ɐ_ɾ	ˈɛ	1.0
ɐ_ð	d	1.0
ð_ɨ_#>	#>	1.0
w̃_#>	ŋ_#>	1.0
t	t	1.0
s_ɨ	z	1.0
p	p	1.0
õ	u_ŋ	1.0
m	m	1.0
l	l	1.0
k_ɾ	k_r	1.0
k_u_#>	k_#>	1.0
k	k	1.0
j̃_#>	#>	1.0
j̃	n	1.0
j_t	t	1.0
ĩ	i	1.0
i_ʃ	s	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʃ	<#_ʧ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
#>	l_#>	1.0
u_#>	#>	0.953
n	n	0.917
ɣ	ɡ	0.867
ɾ	r	0.844
ɐ	a	0.824
v	v	0.812
ʒ	ð	0.8
ɾ_ɐ	r_a	0.75
ˈa	ˈɛ	0.744
ˈẽ	ˈæ_ŋ	0.714
ʃ	s	0.692
j	-	0.667
<#_ʁ	<#_r	0.667
s	s	0.59
ɲ	ɲ	0.583
ˈɛ	ˈɛ	0.579
w	-	0.556
ʎ	ʧ	0.538
ʃ_#>	z_#>	0.538
u	u	0.538
ð	d	0.529
ˈõ	ˈʌ_ŋ	0.5
ˈõ	ˈo_ŋ	0.5
ˈi	ˈe	0.5
ɐ̃	e	0.5
ɐ̃	a_ŋ	0.5
z	z	0.5
z	-	0.5
i	i	0.5
i	-	0.5
ʎ	j	0.462
ʃ_#>	#>	0.462
w	w	0.444
ˈɐ	ˈaː	0.417
ɲ	ŋ	0.417
ˈɐ̃	ˈa	0.412
ˈu	ˈuː	0.389
ˈɐ_j	ˈɛ	0.375
ˈɐ_j	ˈa	0.375
s	θ	0.359
ˈɐ̃	ˈa_ŋ	0.353
ð	t	0.353
ˈe	ˈa_j	0.35
ˈɔ	ˈɔː	0.333
ˈu	ˈo	0.333
ˈi	-	0.333
<#_ʁ	<#	0.333
u	-	0.308
ˈɔ	ˈʌu̯	0.286
ˈẽ	ŋ	0.286
ˈɛ	ˈɛː	0.263
ˈɐ_j	ˈiː	0.25
ˈɐ	-	0.25
ˈe	e	0.25
ɾ_ɐ	a	0.25
ˈo	ˈɔː	0.214
ˈe	ˈiː	0.2
ʒ	-	0.2
ˈɔ	ˈɔ	0.19
ˈo	ˈʌu̯	0.179
ˈo	ˈʌ	0.179
ˈɐ	ˈɛ	0.167
ˈɐ	ˈa	0.167
ˈu	-	0.167
ˈi	ˈiː	0.167
j	ŋ	0.167
j	ð	0.167
ˈɛ	ˈa	0.158
ˈa	ˈaː	0.154
ʃ	p_j	0.154
ʃ	f_j	0.154
u	e	0.154
ˈo	ˈɔ	0.143
ˈo	ˈuː	0.143
ˈo	ˈo	0.143
ɣ	-	0.133
v	b	0.125
ˈɐ̃	ˈʌ	0.118
ˈɐ̃	ˈaː	0.118
ɐ	-	0.118
ð	-	0.118
ˈu	ˈʌu̯	0.111
ˈa	-	0.103
ˈe	ˈa_d	0.1
ˈe	ˈa	0.1
ˈɔ	ˈuː	0.095
ˈɔ	-	0.095
n	-	0.083
ɾ	r_e	0.062
ɾ	e_r	0.062
v	-	0.062
ɐ	n_a	0.059
s	z	0.051
