Brazilian Portuguese	Brazilian Portuguese	probability
ˈɔ_j	ˈo	1.0
ˈũ	ˈu	1.0
ˈo_w	ˈa_w	1.0
ˈo_j	ˈɔ	1.0
ˈo_b	ˈo_w	1.0
ˈĩ	ˈi	1.0
ˈe_l	ˈe_l	1.0
ˈe_h_#>	e_#>	1.0
ˈa_h_#>	ˈe_#>	1.0
ˈa_d	ˈa_t	1.0
ʧ	t	1.0
ʤ	-	1.0
ʎ_u	d_l	1.0
ʎ	-	1.0
ʃ_#>	#>	1.0
ɾ_u_#>	r_#>	1.0
ɾ_i	e_r	1.0
ɦ	r	1.0
ɐ_#>	#>	1.0
w̃	n	1.0
v_ɐ	b_a	1.0
v_u	ˈɛ_f	1.0
v_i	f	1.0
u_#>	#>	1.0
t	t	1.0
s_u	ʦ	1.0
p	p	1.0
õ	o	1.0
n	n	1.0
m_i_#>	m_#>	1.0
m	m	1.0
k_u	k	1.0
j_ʃ	j	1.0
j_#>	#>	1.0
ĩ	i	1.0
i_#>	#>	1.0
h_ʧ	r_t	1.0
f	f	1.0
ẽ	-	1.0
e_ʃ	ʃ	1.0
d_u	t	1.0
<#_ʃ	<#_p_l	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
ˈɛ	ˈɛ	0.895
ɐ	a	0.873
ˈi	ˈi	0.842
ʒ	ʒ	0.833
z	-	0.833
v	v	0.826
h	r	0.8
d	d	0.8
a	a	0.765
o	o	0.75
l	l	0.733
b	b	0.722
ɾ	r	0.714
ˈõ	ˈo	0.667
i	e	0.667
<#	<#_l	0.667
ˈu	ˈu	0.636
ˈa	ˈa	0.615
h_#>	#>	0.6
ˈɐ̃	ˈa	0.591
j̃	n	0.571
e	-	0.571
ɡ	ɡ	0.55
ʃ	s	0.538
ˈe	ˈe	0.516
k	k	0.513
ˈe_j	ˈɛ	0.5
ˈe_j	ˈa	0.5
ˈẽ	ˈɛ_n	0.462
ˈɔ	ˈo	0.438
k	ʨ	0.436
j̃	ɲ	0.429
j	-	0.4
h_#>	j_#>	0.4
w	l	0.389
w	-	0.389
ˈa	ˈɛ	0.385
ˈɔ	ˈɔ	0.375
ˈo	w	0.37
ˈu	-	0.364
ˈõ	ˈɔ	0.333
ˈo	ˈɔ	0.333
i	-	0.333
<#	<#_d	0.333
ʃ	ʃ	0.308
u	r	0.286
e	e	0.286
b	v	0.278
l	j	0.267
s	ʨ	0.263
s	s	0.263
o	-	0.25
ˈẽ	ˈe	0.231
s	ʧ	0.211
ɡ	k	0.2
j	ˈɛ	0.2
j	w	0.2
j	e	0.2
h	ˈe	0.2
d	t	0.2
ˈɔ	w	0.188
#>	n_#>	0.188
#>	l_#>	0.188
#>	e_#>	0.188
#>	a_#>	0.188
ˈo	ˈo	0.185
ˈɐ̃	ˈa_n	0.182
ɾ	e	0.179
ʒ	-	0.167
z	z	0.167
ˈe	ˈe_j	0.161
ˈe	j	0.161
ˈi	ˈe	0.158
s	-	0.158
ˈẽ	ˈɛ	0.154
ˈẽ	n	0.154
ɡ	ˈɛ_k	0.15
u	ˈɛ	0.143
u	n	0.143
u	l	0.143
u	k	0.143
u	-	0.143
e	ʃ	0.143
ˈɐ̃	ˈo	0.136
#>	ˈe_#>	0.125
#>	j_#>	0.125
a	e	0.118
a	-	0.118
ˈo	ˈo_w	0.111
w	ˈɛ	0.111
w	w	0.111
ɾ	-	0.107
ˈɛ	-	0.105
s	ʦ	0.105
ɡ	-	0.1
ˈe	ˈɛ	0.097
ˈɐ̃	ˈa_ŋ	0.091
ɐ	n_a	0.091
v	ʒ_ɡ	0.087
v	-	0.087
ʃ	k_l	0.077
ʃ	f_l	0.077
ˈe	-	0.065
k	ŋ	0.051
