Limburgish	Limburgish	probability
β_ˈæː	ˈɔɪ̯	1.0
ˈʏː_s	s	1.0
ˈʏ	-	1.0
ˈʊː_t	ˈɪ_t	1.0
ˈʊː_n	ˈeː	1.0
ˈʊ	ˈʌ	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯	ˈiː	1.0
ˈɔː	-	1.0
ˈɑː	ˈɑː	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈœ_k	ˈɪ_ɡ	1.0
ˈæ	-	1.0
ˈyː	-	1.0
ˈiː_v̥	ˈaːɪ̯	1.0
ˈi_x	ˈaː	1.0
ˈi_#>	ˈɑː_#>	1.0
ˈeː_ɣ	ˈiː	1.0
ʃ	ʃ	1.0
ɪ	e	1.0
ɦ	h	1.0
ɣ_ə	n	1.0
ə_x	i	1.0
ə_k	ɪ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z	s	1.0
x_#>	#>	1.0
w	-	1.0
m	m	1.0
k_ə	k	1.0
j_ə	d	1.0
i	i	1.0
d_ə	ə	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_k	<#_kʰ	1.0
t	t	0.935
n	n	0.92
l	l	0.894
k	k	0.882
d̥	d	0.815
p	p	0.786
v	f	0.758
ɣ	ɡ	0.75
ʀ	r	0.726
ˈuː	ˈu	0.7
ˈiː	ˈəi̯	0.7
β	w	0.667
ˈɑ	-	0.667
ə	-	0.639
ʀ_ə	r	0.625
v̥_#>	f_#>	0.625
ˈɛː	ˈe	0.588
j	-	0.583
d	d	0.567
ˈøː	ˈi	0.545
ˈɛ	ˈɪ	0.5
ˈɛ	-	0.5
ˈɔu̯	ˈuː	0.5
ˈɔu̯	-	0.5
ˈɒː	-	0.5
ˈæː	ˈɛ	0.5
ˈæː	ˈeː	0.5
s	s	0.5
ˈɔ	ˈo	0.455
ˈøː	-	0.455
d	θ	0.433
ˈu	ˈi	0.429
ˈoː	ˈɪ	0.429
x	ç_t	0.429
ʀ_ə	r_n	0.375
v̥_#>	#>	0.375
ˈɔ	-	0.364
x	x	0.357
ˈɪ	ˈɪ	0.333
ˈɪ	ˈɛ	0.333
ˈɪ	-	0.333
ˈɑ	ˈɛ	0.333
ˈɒː	ˈi	0.3
ˈuː	-	0.3
ˈiː	-	0.3
ˈu	ˈe	0.286
ˈu	-	0.286
ˈoː	ˈø	0.286
ˈoː	ˈu	0.286
ˈaː	ˈa	0.286
ˈʊː	ˈʌ	0.263
ə	ə	0.262
ˈi	ˈɪ	0.25
ˈi	ˈiː	0.25
ˈi	ˈi	0.25
ˈi	-	0.25
ɣ	-	0.25
s	s_t	0.25
j	d	0.25
ˈaː	ˈe	0.238
ˈeː	-	0.226
p	pʰ	0.214
ˈʊː	ˈo	0.211
ˈɒː	ˈeː	0.2
ˈeː	ˈiː	0.194
ˈeː	ˈi	0.194
ˈaː	ˈɑː	0.19
ˈaː	-	0.19
d̥	θ	0.185
ˈɔ	ˈuː	0.182
ˈɛː	ˈɪ	0.176
j	ð	0.167
ˈeː	ˈɪ	0.161
ˈʊː	ˈø	0.158
s	ʃ	0.15
x	ç	0.143
β	ʍ	0.133
β	w_ˈa	0.133
ˈeː	ˈɛ	0.129
ˈɛː	ˈɛ	0.118
ˈɛː	ˈi	0.118
k	ˈɪ	0.118
l	-	0.106
ˈʊː	ˈɪ	0.105
ˈʊː	r	0.105
ˈʊː	-	0.105
s	k_s	0.1
ʀ	ə_r	0.097
ˈaː	ˈɛ	0.095
v	v	0.091
v	-	0.091
n	-	0.08
x	ʤ	0.071
β	-	0.067
ə	ə_n	0.066
ˈeː	ˈeː	0.065
t	ˈɪ_t	0.065
v	w	0.061
ˈʊː	ˈøː	0.053
