Portuguese	Megleno-Romanian	probability
β	p	1.0
ˈɨ	ʦ_ˈi	1.0
ˈĩ	ˈi	1.0
ˈẽ	ˈi_n	1.0
ˈa	ˈa	1.0
ʁ	r	1.0
ɾ_n	r_n	1.0
ɾ	r	1.0
ɲ	n	1.0
ɣ	k	1.0
ɔ	-	1.0
ɐ̃	-	1.0
ð	t	1.0
z	s	1.0
w	-	1.0
v_ɨ	w_ə	1.0
ũ	b_u	1.0
u	u	1.0
t_ɾ	t	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j̃	-	1.0
j_t	p_t	1.0
ĩ	j	1.0
i_ʃ	s	1.0
i	-	1.0
f	f	1.0
b	b	1.0
ˈi	ˈi	0.857
ɨ	i	0.857
ʎ	ʎ	0.856
p	p	0.823
ɐ	ə	0.796
t	t	0.755
ɡ	ɡ	0.753
l	l	0.716
ˈe	e̯ˈa	0.68
ˈu	ˈu	0.664
ˈɔ	o̯ˈa	0.663
d	d	0.657
ɫ	-	0.631
ʒ	z	0.619
s	s	0.604
w̃	n	0.6
ʃ	s	0.567
ˈɛ	ˈa	0.551
ˈo	ˈo	0.541
v	v	0.524
j	-	0.499
ˈɐ	ˈe	0.437
ˈɐ̃	ˈɔ	0.411
w̃	j_n	0.4
ɫ	r_i	0.369
v	-	0.367
d	z	0.343
ˈɔ	ˈo	0.337
ˈu	ˈo	0.336
ˈe	ˈe	0.32
ˈɐ	ˈa	0.307
ˈo	ˈu	0.304
ˈɐ̃	ˈɔ_n	0.299
ˈɐ̃	n	0.29
l	-	0.284
s	ʦ	0.281
ˈɛ	ˈe	0.275
ˈɐ	-	0.255
j	ʃ	0.25
j	k	0.25
ɡ	-	0.247
t	ʦ	0.245
ʃ	j	0.235
ɐ	-	0.204
ʃ	ʦ	0.197
ʒ	ʤ	0.193
ʒ	ʒ	0.187
p	kʲ	0.177
ˈo	o̯ˈa	0.155
ʎ	k_ʎ	0.144
ˈi	-	0.143
ɨ	ə	0.143
s	ʃ	0.115
v	b	0.109
ˈɛ	ˈo	0.087
ˈɛ	e̯ˈa	0.087
