Danish	Danish	probability
ˈʌˀ	ˈaʊ̯	1.0
ˈɶ	-	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈʊ	1.0
ˈɑː	-	1.0
ˈɑˀ	ˈaː	1.0
ˈɑ_d̥	aɪ̯	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈæˀ	ˈa	1.0
ˈæ	-	1.0
ˈyː_w	ˈaɪ̯	1.0
ˈyː	ˈaɪ̯	1.0
ˈoˀ_#>	ˈaʊ̯_#>	1.0
ˈeː	-	1.0
ʨ	-	1.0
ʌ	ɐ	1.0
ɡ̊_ə	n	1.0
ɕ	z	1.0
ɐˀ_#>	ɐ_d_#>	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
ð̞ˠ_ə	d_n	1.0
wˀ	ˈoː_m	1.0
w_ə	m	1.0
s_ɡ̊	ʃ	1.0
s_d̥	s	1.0
s_#>	z̥_#>	1.0
n_ˈeˀ	n_ˈaɪ̯	1.0
mˀ	m	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
jˀ	ɡ	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
<#_ˈeˀ	<#	1.0
<#_n	<#_n	1.0
b̥	b	0.931
ʋ	v	0.882
ʁ	r	0.88
ð̞ˠ	d	0.875
ˈe	ˈɪ	0.867
n	n	0.81
ɐ	ɐ	0.773
ˈɛ	-	0.75
ˈu	ˈʊ	0.75
<#	<#_v	0.75
ˈuˀ	ˈuː	0.727
ɡ̊	ɡ	0.708
d̥	d	0.708
ˈʌ	-	0.7
ˈɔˀ	ˈoː	0.667
ˈo	ˈaʊ̯	0.667
ˈiˀ	ˈiː	0.667
ˈi	-	0.667
ˈeˀ	ˈaɪ̯	0.667
ɐˀ	ɐ	0.667
ə	-	0.613
ˈøː	ˈɔʏ̯	0.6
ˈuː	ˈuː	0.6
ʦʰ	d	0.6
n_ə	n	0.6
ˈɑ	ˈa	0.556
ˈa	ˈa	0.538
lˀ	l	0.538
s	z	0.525
ˈœˀ	ˈaʊ̯	0.5
ˈy	ˈyː	0.5
ˈy	-	0.5
ˈoˀ	ˈaʊ̯	0.5
ˈoˀ	-	0.5
w_#>	ɡ_#>	0.5
w_#>	f_#>	0.5
nˀ	n_d	0.5
nˀ	n	0.5
ˈa	-	0.462
ˈɑ	-	0.444
ˈiː	ˈiː	0.429
j	-	0.429
ˈøː	-	0.4
ˈuː	-	0.4
ʦʰ	tʰ	0.4
n_ə	n_n	0.4
ˈœ	ˈʏ	0.364
ˈɔˀ	ˈaʊ̯	0.333
ˈyˀ	ˈyː	0.333
ˈyˀ	ˈaɪ̯	0.333
ˈyˀ	-	0.333
ˈo	v	0.333
ˈi	ˈɛː	0.333
ˈeˀ	ˈɪ	0.333
ɐˀ	ˈɔː	0.333
#>	n_#>	0.333
lˀ	l_d	0.308
ˈʌ	ˈaʊ̯	0.3
ˈœˀ	ˈɔʏ̯	0.3
s	ʃ	0.3
d̥	t	0.292
#>	ɐ_#>	0.292
ˈiː	ˈeː	0.286
ˈiː	-	0.286
j	ɡ	0.286
j	x	0.286
ˈœ	-	0.273
ˈuˀ	-	0.273
ˈɛ	ˈa	0.25
ˈu	-	0.25
<#	<#_ʒ	0.25
ˈœˀ	ˈoː	0.2
n	-	0.19
ˈœ	ˈɔʏ̯	0.182
ˈœ	ˈɔ	0.182
ˈiˀ	ˈɪ	0.167
ˈiˀ	n	0.167
ɡ̊	-	0.167
#>	f_#>	0.167
lˀ	-	0.154
ɐ	-	0.136
ˈe	ˈɛ	0.133
ə	n	0.129
ð̞ˠ	t	0.125
s	s	0.125
#>	d_#>	0.125
ʁ	-	0.12
ʋ	f	0.118
ə	ŋ	0.097
ə	m	0.097
ɐ	d_ɐ	0.091
ɡ̊	ç	0.083
#>	ˈaɪ̯_#>	0.083
b̥	-	0.069
ə	ɡ_n	0.065
