Proto-Germanic	Old English	probability
β_ɑ	f	1.0
β_j	bː	1.0
ˈɛː_n	ˈoː_n	1.0
ˈɑː	-	1.0
ˈɑ_n	ˈoː	1.0
ˈĩː	ˈeːo̯	1.0
ˈiː	ˈiː	1.0
ˈi_j	ˈeːo̯	1.0
ˈeː	ˈeː	1.0
ˈeu̯	ˈeːo̯	1.0
ˈe_xʷ	ˈeːo̯	1.0
ɣ_ɑ	ɣ̊	1.0
ɡʷ	ɡ	1.0
ɡ	ɡ	1.0
ɛː	o	1.0
ɔ̃ː	e	1.0
ɔːu̯	ɑ	1.0
ɑi̯	ˈeː_n	1.0
ŋ	ŋ	1.0
ð_j	dː	1.0
ð	d	1.0
tː	tː	1.0
t	t	1.0
sː	r_s	1.0
s_k	ʃ	1.0
r_ɔː	e_r	1.0
r_n	r_n	1.0
pː	pː	1.0
p	p	1.0
nː	nː	1.0
n_ɑ	n	1.0
mː	mː	1.0
lː	ɫː	1.0
l_ɑ	ɫ	1.0
l_u	ɫ	1.0
kː_i	ʧː	1.0
kʷ	k	1.0
jː	ˈæː_j	1.0
j_ɑ	ɑ	1.0
i_j	e	1.0
e_x	iːy̯	1.0
e	e	1.0
d	d	1.0
b	b	1.0
n	n	0.983
ɸ	f	0.921
m	m	0.92
r	r	0.916
s	s	0.903
ˈɑi̯	ˈɑː	0.88
ˈuː	ˈuː	0.88
ˈi	ˈi	0.85
ɑ	ɑ	0.845
β	v	0.821
w	w	0.759
iː	e	0.753
ɔːː	e	0.75
ˈɑu̯	ˈæːɑ̯	0.7
x	h	0.691
ˈiu̯	ˈiːy̯	0.648
θ	θ	0.633
ˈɑ_x	ˈæːɑ̯	0.626
i	-	0.626
z	r	0.61
k	k	0.61
ɣ	j	0.605
l	l	0.593
ˈɛː	ˈæː	0.581
ɣ_j	ʤ	0.577
xʷ	h_w	0.546
ɔː	-	0.542
ˈɔː	ˈoː	0.509
u_n	o_n	0.5
u_n	n	0.5
ˈu	ˈu	0.499
u	e	0.456
xʷ	-	0.454
u	-	0.424
ɣ_j	ʤː	0.423
ˈɛː	ˈæːɑ̯	0.419
l	ɫ	0.407
ɣ	ɣ	0.395
z	ˈeː	0.39
ˈɑ	ˈɑ	0.383
ˈɑ_x	ˈi_ç	0.374
ˈe	ˈeo̯	0.372
ˈiu̯	-	0.352
k	ʧ	0.347
ˈɔː	ˈeː	0.327
ˈu	ˈo	0.322
ɔː	e	0.281
ˈe	ˈe	0.266
ɔːː	a	0.25
iː	iː	0.247
w	-	0.241
ˈɑ	ˈæ	0.226
ˈɑu̯	ˈiːy̯	0.212
ˈɑ	ˈæɑ̯	0.211
θ	d	0.198
i	e	0.19
x	x	0.183
β	f	0.179
ˈu	ˈy	0.179
ɔː	ɑ	0.177
θ	ð	0.169
ˈɔː	-	0.164
i	i	0.163
ˈɑ	ˈe	0.15
ˈe	ˈi	0.15
ˈɑi̯	ˈæː	0.12
ˈuː	ˈyː	0.12
u	o	0.12
ˈe	ˈeːo̯	0.101
ˈɑu̯	-	0.088
r	-	0.084
m	-	0.08
ɸ	v	0.079
ˈi	-	0.077
ˈi	ˈiː	0.074
ˈe	-	0.067
ɑ	-	0.065
x	ç	0.063
x	k	0.062
ɑ	o	0.058
s	z	0.053
