Danish	Danish	probability
ˈʌˀ	ˈoː	1.0
ˈɛˀ	ˈeː	1.0
ˈɔː	ˈɒː	1.0
ˈɔ	ˈoː	1.0
ˈɒˀ	ˈɒː	1.0
ˈɑˀ	-	1.0
ˈœˀ	ˈoː	1.0
ˈœ	-	1.0
ˈøː	ˈoː	1.0
ˈæˀ	ˈɑ	1.0
ˈyː	ˈiə̯	1.0
ˈyˀ	ˈiə̯	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈoˀ	ˈuə̯	1.0
ˈiː	-	1.0
ˈeː	-	1.0
ʦʰ	d	1.0
ʋ	ʋ	1.0
ɡ̊_ə	ə	1.0
ɡ̊_d̥	h_t	1.0
ɡ̊_#>	#>	1.0
ə_#>	#>	1.0
ɕ	-	1.0
ɐˀ_#>	ɾ_d̥_#>	1.0
ɐˀ	ɾ	1.0
ɐ_#>	#>	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
ð̞ˠ_ə	t_n	1.0
wˀ	-	1.0
s_ɡ̊	ʃ_h	1.0
s_#>	z̥_#>	1.0
pʰ	p	1.0
m	m	1.0
kʰ	k	1.0
jˀ	ɦ	1.0
j_ˈɛ	ˈæ	1.0
i	ç	1.0
f	v	1.0
d̥_ɐ	t_ɾ	1.0
d̥_#>	t_#>	1.0
b̥_#>	p_#>	1.0
<#_ʦʰ	<#_t	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
l	l	0.923
ʁ	ɾ	0.882
b̥	b	0.833
ˈuˀ	ˈyː	0.75
n	n	0.727
ˈæ	ˈɑ	0.714
ˈu	ˈu	0.714
ɐ	ɾ	0.714
ˈiˀ	ˈi	0.7
nˀ	n_d̥	0.7
ˈøˀ	ˈoː	0.667
ˈo	ˈoː	0.571
s	z	0.55
<#	<#_ɦ	0.538
ˈʌ	ˈoː	0.5
ˈʌ	-	0.5
ˈɔˀ	ˈɒː_n	0.5
ˈɔˀ	n	0.5
ˈɑ	-	0.5
ˈø	ˈɪ	0.5
ˈø	-	0.5
ˈeˀ	ˈɛː	0.5
ð̞ˠ	d̥	0.5
n_ə	ə	0.5
n_ə	n	0.5
d̥	d	0.5
ɡ̊	-	0.471
s	s	0.45
ˈe	ˈɪ	0.438
ˈo	-	0.429
ə	ə	0.406
ˈɛ	-	0.4
ə	n	0.375
d̥	t	0.364
ˈɑ	ˈɑ	0.333
ˈøˀ	-	0.333
#>	n_#>	0.318
ˈiˀ	-	0.3
ð̞ˠ	t	0.3
nˀ	n	0.3
lˀ	w_v̥	0.3
lˀ	w	0.3
ɡ̊	k	0.294
ˈæ	-	0.286
ˈu	ˈœ	0.286
j	ɦ̥	0.273
j	k	0.273
j	-	0.273
#>	ɾ_#>	0.273
#>	k_#>	0.273
ˈuˀ	-	0.25
ˈeˀ	ˈiə̯	0.25
ˈeˀ	-	0.25
ˈe	-	0.25
w	ˈeː_v	0.231
w	v̥	0.231
w	-	0.231
ˈɛ	ˈɛ	0.2
ˈɛ	ˈæ	0.2
ˈɛ	h	0.2
lˀ	l	0.2
lˀ	d̥	0.2
ˈe	ˈɛ	0.188
j	ˈæ	0.182
ˈɑ	ˈeː	0.167
b̥	p	0.167
w	ɦ̥	0.154
w	k	0.154
<#	<#_ˈɑ	0.154
<#	<#_ʋ	0.154
<#	<#_j	0.154
ɐ	ɾ_ə	0.143
ɐ	ə_ɾ	0.143
n	n_ə	0.136
n	n_d	0.136
d̥	h_t	0.136
#>	d̥_#>	0.136
ˈe	ˈæ	0.125
ʁ	-	0.118
ɡ̊	ɦ_ˈɑ	0.118
ɡ̊	ɦ_ə	0.118
ð̞ˠ	ˈeː_t	0.1
ð̞ˠ	-	0.1
l	-	0.077
ə	ɦ_ə	0.062
ə	ɦ	0.062
ə	-	0.062
