Swedish	German	probability
<#	v	1.0
<#_b	<#_b	1.0
<#_d	<#_tʰ	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_kʰ	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_pʰ	<#_p͡f	1.0
<#_r	<#_ʁ	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɛ	<#_ˈaɪ̯	1.0
a_#>	n_#>	1.0
kː	ŋ_k	1.0
l	l	1.0
l_#>	l_#>	1.0
l_v	l_f	1.0
l_ɪ	l_ɪ	1.0
lː_#>	l_#>	1.0
m_#>	m_#>	1.0
n	n	1.0
n_#>	n_#>	1.0
nː	n_d	1.0
nː_#>	n	1.0
nː_a	n_ə_n	1.0
p	f	1.0
p_#>	f_#>	1.0
pː	f	1.0
r_#>	ɐ_#>	1.0
r_a	ɐ	1.0
r_j	ɐ_ɡ̊	1.0
r_ˈʏ	ʁ_ˈʏ	1.0
s_#>	s	1.0
s_t	s_t	1.0
sː_#>	s_#>	1.0
t	t	1.0
t_#>	s_#>	1.0
t_a	s_n	1.0
tʰ	tʰ	1.0
v	v	1.0
v_#>	b̥	1.0
v_ɛ	b	1.0
ŋ	ç	1.0
ŋː	ŋ	1.0
ŋː_#>	ŋ_#>	1.0
ŋː_ɛ	ŋ	1.0
ɖ	t	1.0
ɡ_ɛ	ɡ	1.0
ɡː	k_ə	1.0
ɳ	ˈɔ_ɐ	1.0
ʈː	ɐ_ʦ	1.0
ˈa_r	ˈa_ɐ	1.0
ˈiː_#>	ˈiː_ɐ_#>	1.0
ˈoː_n	ˈoː_n	1.0
ˈuː_#>	ˈuː_#>	1.0
ˈæ	ˈɛ	1.0
ˈæː	ˈeː	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈɪ	ˈɪ	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈʊ	ˈʊ	1.0
ˈʏ	ˈʏ	1.0
k	-	0.111
mː	m_ə	0.571
ɡ_#>	ɡ̊_#>	0.571
a	-	0.222
k	k	0.222
ˈa	ˈa	0.882
ˈuː	-	0.222
ˈøː	ˈoː	0.312
#>	ɐ_#>	0.163
<#_s	<#_ʃ	0.533
j	h	0.333
r	ɐ	0.13
r	ʁ	0.783
tː	ʦ	0.333
tː	-	0.333
tː	x_t	0.333
ˈeː	ˈɪ	0.143
ˈeː	ˈaɪ̯	0.643
ˈiː	ˈaɪ̯	0.833
ˈoː	ˈoː	0.3
ˈœ	ˈɔ	0.333
ˈœ	ˈɔʏ̯	0.333
ˈœ	ˈɪ	0.333
d_#>	t_#>	0.524
s_k	ʃ	0.4
ɡ_a	ɡ_ə	0.4
ˈeː	ˈeː	0.214
ˈɵ	ˈaʊ̯	0.4
ˈʉː	ˈiː	0.474
<#_j	<#_tʰ	0.25
<#_j	<#_ɡ	0.375
<#_j	<#_l	0.375
<#_tʰ	<#_ʦ	0.45
<#_tʰ	<#_d	0.55
<#_ɕ	<#_d	0.5
<#_ɕ	<#_kʰ	0.5
<#_ɧ	<#_z	0.5
<#_ɧ	<#_ʃ	0.5
<#_ˈɵ	<#_v	0.375
<#_ˈɵ	<#	0.625
d	t	0.455
d	d	0.545
v_a	f	0.5
v_a	b	0.5
ɛ	z	0.125
ɛ	-	0.875
ˈyː	ˈiː	0.5
ˈyː	ˈɔʏ̯	0.5
ˈøː	ˈøː	0.125
ˈøː	ˈuː	0.125
ˈøː	ˈaʊ̯	0.25
ˈɑː	ˈa	0.5
ˈɑː	ˈaː	0.5
ˈɔ	ˈʊ	0.25
ˈɔ	ˈɔ	0.75
ˈɛ	ˈa	0.105
ˈɛ	ˈaɪ̯_ç	0.105
ˈɛ	ˈaɪ̯	0.105
ˈɛ	ˈɪ	0.105
d_#>	d̥_#>	0.476
s_k	ʃ_#>	0.6
ɡ_a	ɡ_n	0.6
ˈɛː	ˈɛ	0.286
ˈɛː	ˈaː	0.286
ˈɵ	ˈɔ	0.6
ˈʉː	ˈaʊ̯	0.526
<#_s	<#_z	0.467
j	-	0.667
r	-	0.087
ˈiː	-	0.167
ˈoː	ˈaː	0.7
#>	n_#>	0.488
a	ə	0.778
k	x	0.278
ˈa	ˈaː	0.118
ˈuː	ˈuː	0.778
ˈøː	ˈyː	0.188
#>	ə_#>	0.349
k	ç	0.389
mː	m	0.429
ɡ_#>	ç_#>	0.429
ˈɛ	ˈɛ	0.579
ˈɛː	ˈeː	0.429
