Scots	Scots	probability
ˈʌu̯	-	1.0
ˈʌ_s	sː	1.0
ˈɪ_ð	ˈuː	1.0
ˈɪ_ç	ˈɛ	1.0
ˈɛː	ˈɛ_ɡ	1.0
ˈɔɪ̯	ˈɛ_ɾ	1.0
ˈøː	ˈuː	1.0
ˈø_d	ˈuː	1.0
ˈuː_#>	#>	1.0
ˈoː	-	1.0
ˈiː_#>	#>	1.0
ˈe_d	ˈæʉ̯	1.0
ˈaːɪ̯	ˈɛ	1.0
ˈaː	ˈeː_ɡ	1.0
ʧ	-	1.0
ʤ	ɡː	1.0
ʍ	kʰ_ʋ	1.0
ɪ	e	1.0
ə_n	ɪ	1.0
ð	-	1.0
ç_t	ʰtː	1.0
z	s	1.0
x	-	1.0
v	-	1.0
tʰ	tʰ	1.0
s_ˈɪ	s	1.0
r_ˈɛ	ɾ	1.0
r_n	ɾ_n	1.0
pʰ	pʰ	1.0
n_d	nː	1.0
m	m	1.0
l_d	lː	1.0
l	l	1.0
kʰ	kʰ	1.0
i	-	1.0
f_#>	ʋ_#>	1.0
b_ˈɛ	b	1.0
b	b	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_j	1.0
<#_j	<#	1.0
#>	ɡ_#>	1.0
h	h	0.909
f	f	0.905
w	ʋ	0.895
p	p	0.889
s	s	0.881
r	ɾ	0.87
<#_d	<#_d	0.846
ə_r	ɾ	0.8
ŋ	ŋː	0.75
ˈø	ˈuː	0.714
ˈuː	ˈʉː	0.714
t	t	0.698
n	n	0.697
ˈəi̯	ˈiː	0.692
ˈʌ	ˈʉ	0.667
ˈe	ˈæɪ̯	0.625
ˈɛ	-	0.615
d	-	0.611
k	k	0.588
ˈɑː	ˈɑ	0.583
ˈa	ˈɑ	0.583
θ	tʰ	0.571
ʃ	ʂ	0.556
ˈu	ˈʉː	0.545
ɡ	ɡː	0.5
ɡ	j	0.5
ç	ɡ	0.5
ç	-	0.5
<#	<#_ç	0.5
<#	<#_j	0.5
ʃ	s_k	0.444
ə	e	0.438
ˈɑː	-	0.417
ˈa	-	0.417
ˈɛ	ˈɛ	0.385
ˈeː	ˈɑː	0.385
ˈiː	ˈeː	0.353
d	d	0.333
ˈəi̯	-	0.308
ˈeː	ˈɑ	0.308
ˈeː	ˈoː	0.308
ˈo	ˈʊ	0.3
ˈo	ˈɔ	0.3
ˈɪ	ˈɪ	0.297
θ	-	0.286
ˈø	-	0.286
ˈuː	ˈʉ_lː	0.286
ˈu	ˈʉ	0.273
ˈe	ˈɑː	0.25
ə	ə	0.25
ŋ	ʰkː	0.25
ˈi	-	0.24
ˈʌ	ˈoː	0.222
ˈo	ˈʉː	0.2
ˈo	-	0.2
ˈi	ˈøː	0.2
ə_r	ɾ_e	0.2
ˈɪ	ˈʏ	0.189
ə	-	0.188
ˈu	ˈʉ_ɡ	0.182
n	nː	0.182
ˈiː	ˈœʏ̯	0.176
ˈiː	ˈyː	0.176
ˈiː	ˈoː	0.176
k	ɑ	0.176
t	ʰtː	0.163
ˈi	ˈʉː	0.16
ˈi	ˈæʉ̯	0.16
<#_d	<#	0.154
θ	ç	0.143
ˈe	ˈɑ	0.125
ə	d_ə	0.125
n	-	0.121
s	ʂ	0.119
ˈiː	ɡ_ɑ	0.118
k	ç_ɑ	0.118
k	ç	0.118
ˈʌ	ˈæ	0.111
p	ʰpː	0.111
ˈɪ	ˈuː	0.108
ˈɪ	ˈiː	0.108
ˈɪ	-	0.108
w	-	0.105
f	l_ʋ	0.095
t	-	0.093
h	-	0.091
ˈɪ	ˈœ	0.081
ˈi	ˈɛ	0.08
ˈi	ˈoː	0.08
ˈi	ˈeː	0.08
d	ʉ	0.056
ˈɪ	ˈʉ	0.054
ˈɪ	ˈɛ	0.054
