Franco-Provençal	Romanian	probability
ˈɔ	ˈu	1.0
ˈɑ̃	ˈɨ_n	1.0
ˈø	-	1.0
ˈy	p_r	1.0
ˈoː_ʁ	ˈu_r	1.0
ˈaː	ˈa	1.0
ʦ	ʦ	1.0
ʃ_j	k	1.0
ɲ	-	1.0
ɛ̃	i	1.0
ɛː	a_ʦ	1.0
ɛ	-	1.0
ɔ̃	-	1.0
ɔ	u	1.0
ɑ̃	ɨ_n	1.0
z	-	1.0
w_ˈɛː	ˈu	1.0
w_ˈe	ˈo	1.0
w_ˈa	ˈo_k	1.0
u	-	1.0
t_ʁ	t	1.0
n	n	1.0
m	m	1.0
b	b	1.0
k	k	0.883
p	p	0.867
f	f	0.858
ʁ	r	0.804
t	t	0.801
a	ə	0.757
e	s	0.709
ˈɛː	ˈe	0.686
ˈĩ	ˈi_n	0.683
ˈɔ̃	ˈu_n	0.658
ð	r	0.64
ə	e	0.612
ˈu	ˈu	0.582
o	u	0.582
ɡ	ɡ	0.568
ˈi	ˈi	0.556
w	ˈu	0.555
i	e	0.516
ˈɑː	ˈa	0.507
l	l	0.503
ˈɑː	ˈi	0.493
ˈɛ̃	ˈi_n	0.491
i	-	0.484
ˈa	ˈa	0.457
ˈo	ˈo	0.447
j	-	0.442
ʃ	k	0.438
d	d	0.434
ɡ	m	0.432
v	v	0.421
ʎ	j	0.42
ˈu	o̯ˈa	0.418
l	r	0.397
s	s	0.385
ˈo	-	0.383
ˈoː	ˈa_l	0.329
s	ʧ	0.324
ˈĩ	n	0.317
ˈɛ	ˈe	0.316
ˈɛː	ˈa	0.314
d	z	0.31
ʎ	-	0.305
ˈoː	o̯ˈa	0.301
e	-	0.291
ˈe	ˈe	0.281
ˈɔ̃	ˈu	0.28
ʎ	kʲ	0.275
ə	ə	0.274
ʃ	ʧ	0.271
v	p	0.264
ˈɛ̃	ˈi	0.263
o	-	0.259
j	j	0.257
d	n	0.256
w	o̯ˈa_p	0.253
ˈɛ̃	ˈɨ_n	0.246
a	-	0.243
ˈoː	ˈo	0.241
ˈa	ˈɨ	0.221
ð	t	0.205
t	-	0.199
w	-	0.192
v	-	0.189
ˈe	ˈa	0.179
ˈɛ	ˈi	0.178
ʁ	e_r	0.173
ˈi	ˈe	0.172
ˈo	ˈo_j	0.17
ˈa	-	0.165
ˈi	ˈi_r	0.164
j	ˈa	0.163
ˈɛ	-	0.161
o	e	0.16
ˈa	ˈa_r	0.157
ʃ	s	0.155
ˈe	ˈi	0.152
f	w	0.142
ˈɛ	ˈa	0.141
j	k	0.138
ʃ	k_ə	0.136
ˈe	j_ˈe	0.135
p	p_j	0.133
ˈoː	ˈo_s	0.129
v	ˈa	0.125
k	ʧ	0.117
s	ʃ	0.114
ˈi	e̯ˈa	0.108
ð	ʧ	0.105
ˈɛ	k	0.102
ˈɛ	e̯ˈa	0.102
l	-	0.1
s	ʃ_t	0.093
ˈe	-	0.092
ˈe	r_e	0.087
ˈe	ˈə	0.074
s	-	0.074
ˈɔ̃	nʲ	0.062
ə	k_ə	0.057
ə	e_r	0.057
ð	ʒ	0.051
