Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	-	1.0
ʊ	ˈo	1.0
ʁ_w	ɾ	1.0
ʁ_#>	#>	1.0
ɛɪ̯	ˈe_s	1.0
ɛ_ʁ	w_ɾ	1.0
ɒ̃ʊ̯̃_#>	ˈo_#>	1.0
œ_v	ə_β	1.0
œ_f	ˈɔ_w	1.0
æɛ̯_ʁ	ˈa_r	1.0
æɛ̯_j	ʎ	1.0
z	-	1.0
w_ɛ	ˈɛ	1.0
w_ẽɪ̯̃	ˈu_n	1.0
t_ʁ	ʃ_ə	1.0
t_#>	t_ə_#>	1.0
t	t	1.0
p	p	1.0
o	ˈɔ_s	1.0
m_w	m_ə	1.0
k	k	1.0
j_ɛ	ˈɛ	1.0
i_ʁ_#>	ˈi_#>	1.0
f	f	1.0
ẽɪ̯̃_#>	#>	1.0
aœ̯_ʁ	ˈo	1.0
aœ̯	ˈɔ	1.0
a_ʁ	ə_ɾ	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_e	<#_ə_s	1.0
<#_a	<#_ə	1.0
m	m	0.923
s	s	0.909
ʒ	ʒ	0.882
<#_l	<#_ʎ	0.882
b	b	0.867
y	ˈu	0.8
d	d	0.8
ɪ	ˈi	0.786
ɡ	ɡ	0.786
ɥ	ˈu	0.778
v	b	0.741
ɑɔ̯	ˈɔ	0.727
e_#>	ˈa_#>	0.722
l	l	0.718
e	ˈa	0.714
ɛ_#>	#>	0.667
ɒ̃ʊ̯̃	ˈɔ_n	0.667
n	n_ə	0.611
ʁ	ɾ	0.585
ʃ	k	0.565
w	ˈɛ	0.556
#>	ə_#>	0.548
u	u	0.538
ẽɪ̯̃	ˈa	0.524
ɲ	ɲ_ə	0.5
ɲ	ɲ	0.5
øʏ̯	ˈɔ_k	0.5
i	ˈi	0.478
ɔ	u	0.462
oʊ̯	ˈe_ʎ	0.462
œ	ə	0.455
a	ˈa	0.409
a	ə	0.409
ɔ	ˈɔ	0.385
oʊ̯	ˈa_l	0.385
ẽɪ̯̃	ˈi	0.381
æɛ̯	ˈa	0.355
ɛ	ˈɛ	0.35
ɛ	ˈe	0.35
ʃ	k_ə	0.348
ʁ	r	0.34
ɛ_#>	j_#>	0.333
ɒ̃ʊ̯̃	ˈɔ	0.333
æɛ̯	ˈɛ	0.323
u	ˈo	0.308
e	ˈa_z	0.286
w	-	0.278
n	n	0.278
e_#>	#>	0.278
ɑɔ̯	u	0.273
j	ˈe	0.263
j	ʎ_ə	0.263
j	ʎ	0.263
i	-	0.261
v	β	0.259
øʏ̯	ˈu_ə	0.25
øʏ̯	ʎ	0.25
ã	ˈe_n	0.25
ɥ	-	0.222
ɪ	-	0.214
ɡ	ɣ	0.214
j	-	0.211
y	ˈi_w	0.2
d	-	0.2
ã	ˈa_n	0.188
ã	ˈa	0.188
œ	ˈɔ	0.182
œ	ˈu	0.182
œ	-	0.182
#>	t_#>	0.172
w	ˈe	0.167
æɛ̯	ˈe	0.161
ɔ	-	0.154
u	ˈo_ʎ	0.154
oʊ̯	ˈɔ	0.154
l	ʎ	0.154
ɛ	ə	0.15
ɛ	w	0.15
b	β_ə	0.133
l	l_ə	0.128
ã	ˈɛ_n	0.125
ã	ˈa_ɲ	0.125
ã	n	0.125
ʒ	ʤ	0.118
<#_l	<#	0.118
#>	s_#>	0.118
n	ə	0.111
æɛ̯	ə	0.097
ẽɪ̯̃	ɲ	0.095
a	w_ˈa	0.091
a	-	0.091
ʃ	ə	0.087
i	ˈɛ_w	0.087
i	w	0.087
i	j	0.087
m	m_ə	0.077
æɛ̯	ˈa_w	0.065
