English	English	probability
θ_#>	d̥_#>	1.0
θ	d	1.0
ˈɪ_v	ˈeː_v	1.0
ˈɪ_k	ˈiə̯_k	1.0
ˈɜː	-	1.0
ˈɛ	-	1.0
ˈəʊ̯_ɫ	ˈu	1.0
ˈəʊ̯_l	l_ə	1.0
ˈæ	ˈɑ	1.0
ˈe_n	ˈiə̯_n	1.0
ʧ	k	1.0
ʤ	ɦ_ə	1.0
ʃ_#>	s_#>	1.0
ʃ	ʃ_h	1.0
ɜː	ˈæ	1.0
əʊ̯	-	1.0
z	-	1.0
w	ʋ	1.0
pʰ	p	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
k_s	s	1.0
j	j	1.0
f_#>	v̥_#>	1.0
d_ˈe	d_ˈoː	1.0
b	b	1.0
<#_ˈɐ	<#_ˈɔ	1.0
<#_ɹ	<#_ɾ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_ˈoː	1.0
f	v	0.909
ɹ	ɾ	0.889
<#_h	<#	0.867
ɡ	ɦ	0.833
k	k	0.778
t	t	0.763
ə	ɾ	0.708
ɪ	-	0.667
ˈʊ	ˈuə̯	0.6
ˈɒ	-	0.6
ð	d	0.6
d	d̥	0.595
ˈaʊ̯	ˈyː	0.583
s	z	0.561
ˈeɪ̯	ˈɒː	0.545
ˈiː_#>	ˈiə̯_#>	0.5
ˈiː_#>	#>	0.5
ŋ	ŋ_k	0.5
ŋ	ŋ	0.5
v	v_ə	0.5
v	v	0.5
ˈəʊ̯	ˈɛː	0.455
ˈɑː	ˈɑ	0.455
ɫ	l	0.455
ˈɪ	ˈɪ	0.435
ˈuː	ˈuə̯	0.429
ˈaʊ̯	-	0.417
ˈʊ	ˈœ	0.4
ˈɒ	ˈɑ	0.4
ð	-	0.4
ˈe	ˈeː	0.385
ˈe	-	0.385
ˈəʊ̯	ˈeː	0.364
ˈɔː	ˈoː_ɾ	0.364
d	d	0.351
s	s	0.341
ɪ	ç	0.333
ˈaɪ̯	ˈi	0.304
ˈɐ	ˈoː	0.286
ˈuː	ˈɑ_n	0.286
ˈuː	-	0.286
ˈɔː	ɾ	0.273
ˈeɪ̯	ˈɑ	0.273
ɫ	ə_l	0.273
ɫ	w	0.273
ˈe	ˈoː	0.231
ˈiː	ˈuə̯	0.227
ˈiː	ˈoː	0.227
ˈiː	ˈiə̯	0.227
k	k_n	0.222
ˈɐ	ˈuə̯	0.214
ˈɐ	ˈu	0.214
ə	ə_ɾ	0.208
ˈəʊ̯	-	0.182
ˈɔː	ˈɔ_ɾ	0.182
ˈɔː	ˈɑ_ɾ	0.182
ˈɑː	ˈæ_ɾ	0.182
ˈɑː	ɾ	0.182
ˈɑː	-	0.182
ˈiː	ˈɒː	0.182
ˈeɪ̯	-	0.182
ɡ	-	0.167
ˈɐ	ˈœ	0.143
ˈɐ	ˈyː	0.143
<#_h	<#_ˈæ	0.133
t	t_n	0.132
ˈɪ	ˈɛ	0.13
ˈɪ	ˈœ	0.13
ˈaɪ̯	ˈɪ	0.13
ˈaɪ̯	-	0.13
ɹ	ɾ_ˈoː	0.111
t	h_t	0.105
s	z̥	0.098
ˈiː	-	0.091
f	v_ˈøː	0.091
ˈɪ	ˈæ	0.087
ˈɪ	ˈoː	0.087
ˈɪ	ˈiə̯	0.087
ˈaɪ̯	ˈɛ	0.087
ˈaɪ̯	ˈɑ_h	0.087
ˈaɪ̯	ˈœ	0.087
ˈaɪ̯	ˈiə̯_ɦ	0.087
ˈaɪ̯	ɦ	0.087
ə	ɾ_ə	0.083
d	d_n	0.054
