Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɛː	ˈɪə̯	1.0
ˈɔɪ̯	ˈæ_r	1.0
ˈɑː_l	ˈœu̯	1.0
ˈøː	ˈu_n	1.0
ˈoː	-	1.0
ˈiː_r	r	1.0
ˈiː_#>	ˈɪə̯_#>	1.0
ˈaːɪ̯	ˈəɪ̯	1.0
ˈaː	ˈæ_k	1.0
ˈaɪ̯	-	1.0
ʤ	χ	1.0
ʍ	v	1.0
ɪ	ə_k	1.0
ɡ	χ	1.0
ɛ	ə	1.0
ə_r	r	1.0
ə_#>	χ_#>	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	d	1.0
ç_t	χ	1.0
ç	χ	1.0
z	s	1.0
x	χ	1.0
w	v	1.0
v	v̥	1.0
tʰ	t	1.0
s_t	s	1.0
s	s	1.0
r_d	r_d̥	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s	s	1.0
k	k	1.0
h	ɦ	1.0
f	v̥	1.0
e	ə_ŋ	1.0
d_ˈe	d_ˈʊə̯	1.0
d_r	d_r	1.0
d_#>	#>	1.0
b	b	1.0
t	t	0.944
n	n	0.922
r	r	0.889
ˈʌ	ˈɔ	0.833
ʃ	s_k	0.7
d	d̥	0.667
ˈəi̯	ˈəɪ̯	0.636
θ	d	0.632
ˈa	ˈa	0.615
ˈuː	-	0.6
j	j	0.6
ˈo	ˈɔ	0.556
ˈu	ˈœɪ̯	0.538
ˈɑː	ˈa	0.5
ˈeː_r	ˈa_r	0.5
ˈeː_r	r	0.5
ˈe	ˈɪə̯	0.5
i	ə_χ	0.5
i	-	0.5
#>	χ_#>	0.5
ˈɪ	ˈə	0.476
ˈu	-	0.462
ˈø	ˈu	0.444
ˈo	ˈʊə̯	0.444
ˈuː	ˈɔ_ɫ	0.4
ˈeː	ˈɑː	0.4
j	χ	0.4
θ	d̥	0.368
ˈəi̯	-	0.364
ˈe	ˈɑː	0.357
ˈø	-	0.333
d	d	0.333
ˈɛ	ˈa	0.316
ˈiː	ˈʊə̯	0.316
ˈiː	ˈi	0.316
ʃ	s	0.3
ˈɑː	ˈa_ɫ	0.25
ˈɑː	-	0.25
#>	v̥_#>	0.25
#>	n_#>	0.25
ˈi	ˈʊə̯	0.231
ˈi	ˈu	0.231
ˈa	ˈɑː	0.231
ˈø	ˈa_n	0.222
ˈiː	ˈəɪ̯	0.211
ˈeː	ˈʊə̯	0.2
ˈeː	ˈɛː	0.2
ˈeː	ˈɑː_n	0.2
ˈi	ˈɑː	0.192
ˈi	ˈi	0.192
ˈʌ	ˈɑː	0.167
ˈɪ	-	0.167
ˈɛ	ˈɪə̯	0.158
ˈɛ	ˈɛ	0.158
ˈɛ	-	0.158
ˈiː	ˈi_χ	0.158
ˈa	-	0.154
ˈe	ˈəɪ̯	0.143
ˈɪ	ˈœ	0.119
ˈɛ	ˈəɪ̯	0.105
ˈɛ	ˈæ	0.105
n	ə_ŋ	0.078
ˈi	ˈɪə̯	0.077
ˈi	-	0.077
r	-	0.074
ˈɪ	ˈɪø̯	0.071
ˈɪ	ˈa	0.071
t	-	0.056
