Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	d_ˈeː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈɔ_ɾ	1.0
ˈø	ˈɛ_k	1.0
ˈyː_ɡ	ɪ	1.0
ˈeɪ̯	ˈøː	1.0
ˈaʊ̯_d	ˈuː	1.0
ˈaɪ̯_#>	ˈeː_#>	1.0
ɡ_r	ɡ_ɾ	1.0
ɡ_#>	k_#>	1.0
ɐ_n	ɾ_n	1.0
ɐ_d_#>	ɾ_#>	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
x_d	ʰtː_e	1.0
x	ɡ	1.0
tʰ	tʰ	1.0
r	ɾ	1.0
pʰ	pʰ	1.0
p	p	1.0
n_s	sː	1.0
n_n	nː_ɑ	1.0
n_d_#>	nː_#>	1.0
n_#>	#>	1.0
l_d	lː	1.0
l_#>	l_#>	1.0
j	j	1.0
f	f	1.0
d_n	t_ɑ	1.0
d_#>	#>	1.0
aɪ̯	e	1.0
<#_ʒ	<#	1.0
<#_v	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_d	<#	1.0
<#	<#_tʰ	1.0
h	h	0.882
ˈiː	ˈiː	0.846
ˈʊ	ˈʉ	0.833
ˈuː	ˈʉː	0.833
l	l	0.794
f_#>	ʋ_#>	0.75
kʰ	kʰ	0.727
ç	ɡ	0.714
ˈʏ	ˈʏ	0.7
ŋ	ŋː	0.7
m	m	0.7
v	ʋ	0.682
ɐ	ɾ	0.667
z	s	0.667
s	s	0.667
b	b	0.667
ˈa	ˈɑ	0.636
ˈyː	ˈyː	0.6
t	t	0.556
ɡ	ɡ	0.55
ʃ	s	0.545
n	n	0.538
ˈoː	ˈoː	0.524
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈɔʏ̯	ˈøː	0.5
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ˈaː	ˈɑ_ɾ	0.5
ˈɪ	ˈɪ	0.48
#>	e_#>	0.457
ˈeː	-	0.455
ˈɔ	-	0.429
ˈøː	-	0.429
ˈyː	-	0.4
ˈeː	ˈeː	0.364
d	d	0.362
ˈaː	ˈɑ	0.333
ˈaʊ̯	ˈuː	0.333
ˈaɪ̯	ˈæɪ̯	0.333
s	s_t	0.333
ʃ	ʂ	0.318
ˈʏ	-	0.3
ˈɔʏ̯	-	0.3
ˈaʊ̯	ˈæʉ̯	0.296
ˈɔ	ˈʏ	0.286
ˈɔ	ˈɔ	0.286
ˈøː	ˈʉː	0.286
ˈøː	ˈɔ	0.286
ç	ɡː	0.286
n	ɑ	0.282
kʰ	ç	0.273
#>	ɾ_#>	0.257
f_#>	#>	0.25
z	ʂ	0.238
d	t	0.234
t	ʰtː	0.222
t	tː	0.222
b	p	0.222
d	tʰ	0.213
ˈɔʏ̯	ˈœʏ̯	0.2
ŋ	ɑ	0.2
#>	ɑ_#>	0.2
ˈoː	ˈɑ	0.19
ˈaɪ̯	ˈʉː	0.19
ˈeː	ˈiː	0.182
ˈa	ˈɑː	0.182
ˈʊ	-	0.167
ˈuː	-	0.167
ˈaː	ˈæ	0.167
ˈɪ	-	0.16
ˈiː	-	0.154
ɡ	j	0.15
ˈoː	ˈɑː	0.143
ˈoː	-	0.143
ˈaɪ̯	ˈyː	0.143
ˈaɪ̯	ˈuː	0.143
ʃ	s_k	0.136
v	-	0.136
n	nː	0.128
ˈɪ	ˈɛ	0.12
ˈɪ	ˈæɪ̯	0.12
ˈɪ	ˈiː	0.12
h	j	0.118
ˈaʊ̯	ˈoː	0.111
ˈaʊ̯	-	0.111
ɐ	e	0.111
ɡ	ʰkː	0.1
ɡ	ɡː	0.1
ɡ	k	0.1
ŋ	jː	0.1
m	ʋ_ɑ	0.1
ˈaɪ̯	ˈiː	0.095
ˈaɪ̯	-	0.095
z	s_e	0.095
ˈa	ˈɛ	0.091
ˈa	ˈɔ	0.091
v	v	0.091
v	kʰ_ʋ	0.091
l	lː	0.088
#>	k_#>	0.086
ˈaʊ̯	ˈʊ	0.074
ˈaʊ̯	ˈœʏ̯	0.074
ɐ	ɾ_e	0.074
ɐ	ə	0.074
ɐ	d_ə	0.074
b	-	0.074
m	ʋ	0.067
m	ɑ	0.067
m	mː	0.067
d	-	0.064
l	j	0.059
l	-	0.059
n	-	0.051
