Eastphalian	Eastphalian	probability
ˈɛə̯	ˈɑ	1.0
ˈɔ_l	ˈɑ_l	1.0
ˈɔ	ˈu	1.0
ˈœ	ˈu	1.0
ˈøː	ˈɑu̯	1.0
ˈyː	ˈiu̯	1.0
ˈiː_n	ˈiː_n	1.0
ˈeo̯	ˈɑu̯	1.0
ˈaː	ˈɑ	1.0
ˈaɪ̯	ˈɑi̯	1.0
ʃ	s_k	1.0
ɪ	ɑ	1.0
ɣ̊	ɣ_ɑ	1.0
ɣ	ɣ	1.0
ɡ	ɣ_j	1.0
ə_#>	s_#>	1.0
ɒː	e_x	1.0
ɐ_#>	r_#>	1.0
z̥	s_ɑ̃	1.0
z	s	1.0
w	w	1.0
v̥	β_ɑ̃	1.0
s	s	1.0
r	r	1.0
h	x	1.0
<#_ˈoː	<#_ˈu	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɣ	<#_ɣ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#	<#_x	1.0
b	b	0.913
ˈa	ˈɑ	0.909
f	ɸ	0.867
ˈuː	ˈuː	0.833
n	n	0.831
p	p	0.818
ˈaʊ̯	ˈɔː	0.778
v	w	0.759
k	k	0.75
l	l	0.743
ˈɔʏ̯	ˈɔː	0.714
ˈoː	ˈu	0.714
x	x	0.714
ˈeː	ˈe	0.667
t	t	0.667
ˈʊ	ˈu	0.643
ˈʏ	ˈu	0.636
j	ɣ	0.625
ˈiː	ˈiː	0.615
ˈɪ	ˈi	0.607
ˈɛ	ˈe	0.583
ˈɛː	ˈe	0.571
ŋ	ɡ	0.538
d	θ	0.484
d	d	0.452
ˈɒː	ˈɛː	0.438
ˈɒː	ˈɑ	0.438
ˈɛː	ˈɑ	0.429
ç	x	0.429
#>	z_#>	0.413
ɐ	r	0.406
j	j	0.375
ˈɛɪ̯	ˈɑi̯	0.37
ˈɛɪ̯	ˈeu̯	0.37
m	m_ɑ	0.35
#>	ɑ̃_#>	0.341
ˈeː	-	0.333
ˈiː	ˈi	0.308
ˈɔʏ̯	i_j	0.286
ˈoː	-	0.286
ç	ɣ_ɑ	0.286
ç	ɣ	0.286
x	ɣ_ɑ	0.286
ˈɛ	ˈɑ	0.25
m	m	0.25
ŋ	ŋ	0.231
ˈaʊ̯	-	0.222
d̥	ð	0.222
ˈʊ	ˈu_ŋ	0.214
ə	ɑ	0.214
m	ɑ_n	0.2
ə	ɔ̃ː	0.19
ə	ɔːː	0.19
t	t_ɑ	0.19
d̥	d_ɑ	0.185
ˈʏ	ˈi	0.182
ˈʏ	-	0.182
p	pː	0.182
v	β	0.172
ˈɛ	ˈɑ_ɣ	0.167
ˈuː	wː	0.167
ɐ	r_ɑ	0.156
#>	ɑ_z_#>	0.156
ŋ	ɣ_ɑ	0.154
k	kʷ	0.15
ˈɛɪ̯	ˈe	0.148
d̥	θ_ɑ̃	0.148
ˈʊ	ˈɔː	0.143
ˈɪ	ˈi_ŋ	0.143
ˈɪ	-	0.143
f	β_ɑ	0.133
ˈɒː	ˈɑː	0.125
ɐ	r_ɑ̃	0.125
ə	u	0.119
ə	i_z	0.119
l	l_ɑ	0.114
ˈɛɪ̯	-	0.111
d̥	ð_ɑ	0.111
d̥	d	0.111
m	n	0.1
m	m_b	0.1
k	-	0.1
ə	ɔː	0.095
ɐ	ɛː	0.094
ɐ	r_i	0.094
ˈa	ˈe	0.091
b	p	0.087
l	lː	0.086
ˈiː	ˈeː	0.077
ŋ	ɡʷ	0.077
d̥	θ_ɑ	0.074
d̥	θ	0.074
d̥	d_u	0.074
ˈɪ	ˈe	0.071
t	ð	0.071
t	tː	0.071
v	xʷ	0.069
d	ð_ɛː	0.065
ɐ	r_u	0.062
ɐ	e_r	0.062
n	nː	0.06
l	x_l	0.057
