Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ	ˈu	1.0
ˈo_w	ˈa_v	1.0
ˈo_b	ˈu_p	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈi	ˈi	1.0
ˈe_j	ˈi_n	1.0
ʧ	n_t	1.0
ɦ_v	r_b	1.0
ɦ_n	r_n	1.0
ɦ	r	1.0
ɡ_u_#>	k_#>	1.0
ɐ_#>	#>	1.0
z	ʦ	1.0
w_#>	r_#>	1.0
v_u	w	1.0
ũ	-	1.0
s_ˈa	ʃ_t	1.0
n_a	n_ˈa	1.0
n	n	1.0
j̃_u_#>	n_#>	1.0
j_ʧ	p_t	1.0
j_ʃ	ʦ_i	1.0
j_t	p_t	1.0
h_k	r_k	1.0
ẽ	-	1.0
e_ʃ	s	1.0
d_u_#>	t_#>	1.0
a_d	ə_t	1.0
<#_ˈɛ	<#_e̯ˈa	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_h	<#_a	1.0
<#_d	<#	1.0
<#_b	<#	1.0
ɾ	r	0.9
k	k	0.9
ˈa	ˈa	0.885
m	m	0.857
ɐ	ə	0.846
u	u	0.846
t	t	0.846
u_#>	#>	0.833
ˈu	ˈu	0.818
l	l	0.762
p	p	0.75
#>	i_#>	0.714
ʃ_#>	#>	0.7
ˈɐ̃	ˈɨ	0.667
ˈõ	ˈu	0.667
ɾ_u	r_u	0.667
<#	<#_a	0.667
o	u	0.636
i	i	0.636
ˈɔ	o̯ˈa	0.615
b	b	0.615
d	d	0.611
f	f	0.583
h	r_i	0.568
s	s	0.567
ʒ	ʤ	0.556
<#_v	<#_v	0.545
e	i	0.538
ˈẽ	ˈi	0.5
ʤ	ʣ	0.5
ʤ	-	0.5
ʎ	k_ʎ	0.5
w̃	n_i	0.5
w̃	n	0.5
j	j	0.5
j	-	0.5
ˈo	ˈo	0.48
ʃ	s	0.462
e	-	0.462
<#_v	<#_j	0.455
ʒ	ʣ	0.444
ɡ	k	0.438
ˈɛ	ˈe	0.429
f	ç	0.417
a	a	0.417
w	-	0.4
j̃	n	0.4
d	t	0.389
ˈɔ	ˈo	0.385
ˈe	e̯ˈa	0.375
ɡ	ɡ	0.375
ˈɛ	ˈa	0.357
ˈɐ̃	-	0.333
ˈõ	ˈu_n	0.333
ɾ_u	r	0.333
<#	<#_ˈa	0.333
v	b	0.308
ˈẽ	ˈi_n	0.3
ʎ	ʎ	0.3
ʃ_#>	i_#>	0.3
#>	ə_#>	0.286
ˈe	ˈe	0.281
p	k	0.25
a	ˈa	0.25
ˈo	ˈu	0.24
l	-	0.238
s	ʦ	0.233
ʃ	f_l	0.231
v	-	0.231
b	-	0.231
h	i	0.216
ˈɛ	e̯ˈa	0.214
i	ə	0.212
ˈẽ	e̯ˈa	0.2
ʎ	k	0.2
w	r	0.2
w	l	0.2
w	e	0.2
s	ʃ	0.2
j̃	l	0.2
j̃	e	0.2
j̃	-	0.2
ɡ	-	0.188
ˈu	o̯ˈa	0.182
o	r	0.182
o	-	0.182
u_#>	r_#>	0.167
a	ə	0.167
a	-	0.167
ˈe	i_r	0.156
ʃ	p_l	0.154
ʃ	-	0.154
v	w	0.154
v	r	0.154
v	j	0.154
u	ə	0.154
t	m_t	0.154
b	p	0.154
m	ɲ	0.143
h	r	0.135
ˈo	ˈa	0.12
ˈa	-	0.115
ɐ	i	0.103
ɾ	-	0.1
k	ʦ	0.1
i	-	0.091
h	-	0.081
ˈo	ˈu_n	0.08
ˈo	o̯ˈa	0.08
ˈe	ˈi	0.062
ˈe	ˈa	0.062
ˈe	i	0.062
i	t_i	0.061
ɐ	n_ə	0.051
