Portuguese	Portuguese	probability
β	β	1.0
ˈɨ_#>	#>	1.0
ˈɛ	ˈɛ	1.0
ˈɐ_ɲ	ˈa_ɲ	1.0
ˈɐ_j	ˈe	1.0
ˈũ	ˈy	1.0
ˈu_ɾ	ˈy	1.0
ˈõ	ˈu	1.0
ˈo_ɾ	l_ˈu	1.0
ˈo_w	ˈa_w	1.0
ˈĩ	-	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈi_ɲ	ˈi	1.0
ˈe_ɾ	e	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa_j	ˈa_j	1.0
ˈa	ˈa	1.0
ʒ	ʒ	1.0
ʎ_u	ˈe_ʎ	1.0
ʎ	ʎ	1.0
ʃ_t	s_t	1.0
ʃ_k	s_k	1.0
ɾ_ɨ	e	1.0
ɾ_ɐ	ɾ_ɔ	1.0
ɾ_n_u_#>	r_#>	1.0
ɲ_u	ŋ	1.0
ɲ	ɲ	1.0
ɫ_#>	#>	1.0
ɨ_ɾ	e_r	1.0
ɨ_#>	#>	1.0
ɣ_w	ɣ	1.0
ɣ_u	k	1.0
ɣ	ɣ	1.0
ɔ	a_w	1.0
ɐ̃	-	1.0
ɐ_ʃ	a_s	1.0
ɐ_ð	a_ð	1.0
ð_ɨ	t	1.0
z	z	1.0
w̃	ŋ	1.0
v_ɨ	w	1.0
v_u	w	1.0
ũ	e_l	1.0
u_ɾ	u	1.0
u_#>	#>	1.0
t_ɾ	t_e	1.0
t_ɨ_#>	n_#>	1.0
t_ɐ	t_ɔ	1.0
t_u_#>	n_#>	1.0
t	t	1.0
s_ɨ	s_e	1.0
s_u	ʦ	1.0
s	s	1.0
p_u	s	1.0
p	p	1.0
õ	u_n	1.0
l_ɨ	t	1.0
l_u	t	1.0
j̃	-	1.0
j_v	j	1.0
j_u	ˈe_j	1.0
ĩ	-	1.0
i	i	1.0
f	h	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_p_l	1.0
<#_ɐ	<#_a	1.0
<#_v	<#_b	1.0
<#_t	<#_t	1.0
<#_i	<#_e	1.0
k	k	0.956
<#_l	<#_l	0.909
m	m	0.886
d	d	0.875
n	n	0.85
ˈi	ˈi	0.826
ɡ	ɡ	0.818
v	β	0.8
ˈu	ˈy	0.762
ɫ	w	0.75
ɐ	ɔ	0.733
ˈe	ˈe	0.727
ʁ	a_r	0.7
ˈẽ	ˈe	0.667
w	w	0.667
ˈɐ̃	ˈa	0.65
<#_ˈo	<#_w	0.6
ɨ	e	0.583
ɾ	ɾ	0.561
ɾ_#>	e_#>	0.545
ˈɔ	ˈɔ	0.524
l	l	0.5
ʃ_#>	s_#>	0.471
ʃ	s	0.471
ɾ_#>	#>	0.455
ð	ð	0.429
ˈɐ	j	0.417
ʃ_#>	ʦ_#>	0.412
<#_ˈo	<#_ˈa	0.4
#>	ŋ_#>	0.4
ɾ	r	0.341
ˈɐ	ˈe	0.333
ˈẽ	ˈe_n	0.333
w	-	0.333
u	u	0.333
j	j	0.318
ʁ	-	0.3
l	ɾ	0.3
ˈo	ˈu	0.294
ʃ	ʃ	0.294
ð	t	0.286
ð	-	0.286
ˈɐ	ˈa	0.25
ɫ	-	0.25
ɨ	-	0.25
ˈɔ	ˈu	0.238
ˈu	ˈu	0.238
j	-	0.227
u	e	0.208
u	-	0.208
ˈo	ˈɔ	0.206
v	w	0.2
l	-	0.2
#>	ɔ_#>	0.2
#>	w_#>	0.2
#>	r_#>	0.2
ˈe	ˈi	0.182
ɡ	ŋ_k	0.182
j	e	0.182
ˈi	-	0.174
ɨ	i	0.167
u	w	0.167
ɐ	a	0.16
ˈɐ̃	ˈu	0.15
n	-	0.15
ˈɔ	ˈa	0.143
j	ˈɛ	0.136
j	ˈe	0.136
d	-	0.125
ˈo	w_ˈe	0.118
ʃ_#>	#>	0.118
ʃ	k_l	0.118
ʃ	e_h	0.118
ˈɐ̃	ˈa_ŋ	0.1
ˈɐ̃	ˈa_n	0.1
ˈɔ	-	0.095
ˈe	ˈe_ð	0.091
<#_l	<#_ʎ	0.091
ˈo	ˈy	0.088
ˈo	ˈu_n	0.088
ˈo	w	0.088
m	-	0.086
u	ŋ	0.083
ɐ	-	0.08
ˈo	ˈa_w	0.059
ˈo	ˈa	0.059
