ID	Language_ID	Glottocode	ISO 639-3	Parameter_ID	Value	Form	Segments	Source_Form	Cognate_ID	Loan	Comment	Source
Latin	Latin			EQUAL_ADJ	aequalīvum	ae̯kʷalʲˈiːwʊ̃	ae̯ kʷ a lʲ ˈiː w ʊ̃		EQUAL_ADJ_1			
Venetian	Venetian			EQUAL_ADJ	guałivo	ɡwaˈivo	ɡ w a ˈi v o		EQUAL_ADJ_1			
Bellunese	Bellunese			EQUAL_ADJ	galìvo	ɡalˈivo	ɡ a l ˈi v o		EQUAL_ADJ_1			
Eastern Lombard	Eastern Lombard			EQUAL_ADJ	gualìv	ɡwalˈif	ɡ w a l ˈi f		EQUAL_ADJ_1			
Ladin	Ladin			EQUAL_ADJ	valif	valˈif	v a l ˈi f		EQUAL_ADJ_1			
Latin	Latin			BEE_NOUN	alvīnam	aɫwˈiːnãː	a ɫ w ˈiː n ãː		BEE_NOUN_1			
Romanian	Romanian			BEE_NOUN	albină	albˈinə	a l b ˈi n ə		BEE_NOUN_1			
Istro-Romanian	Istro-Romanian			BEE_NOUN	albire	albˈire	a l b ˈi r e		BEE_NOUN_1			
Megleno-Romanian	Megleno-Romanian			BEE_NOUN	albină	albˈinə	a l b ˈi n ə		BEE_NOUN_1			
Aromanian	Aromanian			BEE_NOUN	alghinã	alɡˈinə	a l ɡ ˈi n ə		BEE_NOUN_1			
Latin	Latin			CLAY_NOUN	argillam	arɡˈiːlʲlʲãː	a r ɡ ˈiː lʲ lʲ ãː		CLAY_NOUN_1			
Logudorese	Logudorese			CLAY_NOUN	arghidha	arɡˈiɖɖa	a r ɡ ˈi ɖ ɖ a		CLAY_NOUN_1			
Campidanese	Campidanese			CLAY_NOUN	argidda	arʒˈiɖɖa	a r ʒ ˈi ɖ ɖ a		CLAY_NOUN_1			
Romanian	Romanian			CLAY_NOUN	argilă	arʤˈilə	a r ʤ ˈi l ə		CLAY_NOUN_1			
Corsican	Corsican			CLAY_NOUN	arzilla	arʣˈilla	a r ʣ ˈi l l a		CLAY_NOUN_1			
Italian	Italian			CLAY_NOUN	argilla	arʤˈilla	a r ʤ ˈi l l a		CLAY_NOUN_1			
Ladin	Ladin			CLAY_NOUN	arjila	arʒˈila	a r ʒ ˈi l a		CLAY_NOUN_1			
Friulian	Friulian			CLAY_NOUN	arzile	arʤˈile	a r ʤ ˈi l e		CLAY_NOUN_1			
French	French			CLAY_NOUN	argile	aʁʒil	a ʁ ʒ i l		CLAY_NOUN_1			
Québécois French	Québécois French			CLAY_NOUN	argile	aʁʒɪl	a ʁ ʒ ɪ l		CLAY_NOUN_1			
Walloon	Walloon			CLAY_NOUN	årzeye	ɔːʀzˈɛj	ɔː ʀ z ˈɛ j		CLAY_NOUN_1			
Occitan	Occitan			CLAY_NOUN	argila	arʤˈilɔ	a r ʤ ˈi l ɔ		CLAY_NOUN_1			
Gascon	Gascon			CLAY_NOUN	argèla	arʒˈɛlɔ	a r ʒ ˈɛ l ɔ		CLAY_NOUN_1			
Catalan	Catalan			CLAY_NOUN	argila	ərʒˈilə	ə r ʒ ˈi l ə		CLAY_NOUN_1			
Valencian	Valencian			CLAY_NOUN	argila	arʤˈilɐ	a r ʤ ˈi l ɐ		CLAY_NOUN_1			
Aragonese	Aragonese			CLAY_NOUN	archila	aɾʧˈila	a ɾ ʧ ˈi l a		CLAY_NOUN_1			
Spanish	Spanish			CLAY_NOUN	arcilla	aɾθˈiʝa	a ɾ θ ˈi ʝ a		CLAY_NOUN_1			
Galician	Galician			CLAY_NOUN	arxila	aɾʃˈilɐ	a ɾ ʃ ˈi l ɐ		CLAY_NOUN_1			
