Upper Franconian	Upper Franconian	probability
β	b	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈa	1.0
ˈiː_ɐ	ˈɪ_ʀ	1.0
ˈiː_s	ˈɪ_s	1.0
ˈaː_#>	ˈɛɪ̯_n_#>	1.0
ˈaʊ̯	ˈɔɪ̯	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɪ	-	1.0
ɣ̊	-	1.0
ə	n	1.0
z̥	s	1.0
v̥	f	1.0
v	v	1.0
t	t	1.0
r	ʀ	1.0
n_ˈoː	n_ˈɔ	1.0
n_ʃ	n_ʧ	1.0
l_d̥	ɫ_d	1.0
l	ɫ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
eː	n	1.0
d̥_ˈɪ	d_ˈɪ	1.0
b̥͡v̥	p	1.0
b̥	b	1.0
a_#>	#>	1.0
ˈɛ	ˈɛ	0.905
ˈɔ	ˈɔ	0.882
ˈɒ	ˈa	0.862
ˈoː	ˈɔ	0.846
n	n	0.844
ˈiː	ˈɪ	0.812
m	m	0.812
ˈeː	ˈɛ	0.8
x	χ	0.786
d̥	t	0.754
ɡ̊	k	0.676
s	z	0.675
ç	χ	0.667
ˈuː	ˈʊ	0.6
ɾ	t_ə	0.6
ˈaː	ˈɛɪ̯	0.562
a	ə_n	0.545
#>	ɡ_#>	0.5
#>	ə_#>	0.5
ɐ	ə_ʀ	0.452
ˈaː	ˈɔɪ̯	0.438
ɐ	ʀ	0.429
ˈuː	ˈɔɪ̯	0.4
ɾ	d_ə	0.4
ŋ	ɡ_n	0.4
ŋ	ŋ	0.4
ç	ɡ	0.333
s	s	0.325
ɡ̊	ɡ	0.324
d̥	d	0.246
x	ɡ	0.214
ˈeː	-	0.2
ŋ	ŋ_ɡ	0.2
ˈiː	-	0.188
a	ɡ	0.182
a	n	0.182
ˈoː	ˈa	0.154
ˈɒ	-	0.138
m	b_n	0.125
ˈɔ	ˈʊ	0.118
ˈɛ	ˈa	0.095
n	-	0.094
a	a	0.091
ɐ	ə	0.071
n	n_d	0.062
m	n	0.062
