Limburgish	Limburgish	probability
ˈʏː	ˈə	1.0
ˈʏ	-	1.0
ˈʊ	ˈɔ	1.0
ˈɛː_l	ˈə_l	1.0
ˈɛ	-	1.0
ˈɔu̯	ˈɑʊ̯	1.0
ˈœː	ˈuː	1.0
ˈœi̯	-	1.0
ˈœ	ˈe	1.0
ˈæː_ʀ_ə	ˈaː	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyː	-	1.0
ˈeː_ɣ	ˈɜɪ̯	1.0
ˈaː_t	ˈaː_s	1.0
ʃ	ʃ	1.0
ʀ_ə_#>	ʀ_#>	1.0
ɪ	-	1.0
ɦ	h	1.0
ɡ	ə	1.0
ə_ʀ	ɐ	1.0
ə_v̥	ə_f	1.0
ə_m	m	1.0
z̥	z̥	1.0
x_#>	#>	1.0
w	-	1.0
v̥	v̥	1.0
v_ə	v	1.0
s	ʃ	1.0
n_d	n	1.0
m	m	1.0
j_#>	#>	1.0
i	e	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_ʀ	1.0
<#_p	<#_pʰ	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
l	l	0.957
ˈɛː	ˈeː	0.857
d̥	d̥	0.857
ŋ	ŋ	0.846
n	n	0.846
ɣ	ɡ	0.824
v	f	0.821
ˈɪː	ˈɑ	0.818
z	z	0.773
β	v	0.724
ə	ə	0.721
ˈɑː	ˈɑ	0.714
ˈɑ	ˈaː	0.714
ˈu	ˈəʊ̯	0.714
p	f	0.714
ˈoː	ˈu	0.667
ˈiː	ˈæːɪ̯	0.636
ˈɔ	ˈo	0.6
ˈi	ˈɜɪ̯	0.6
ˈɪ	-	0.571
ˈuː	ˈæːʊ̯	0.556
ˈɛːi̯	ˈæːɪ̯	0.5
ˈɛːi̯	ˈeː	0.5
ˈɔː	ˈo	0.5
ˈɔː	ˈaː	0.5
x	ɕ	0.471
ʀ	ɐ	0.464
ˈɒː	ˈoː	0.462
ˈøː	-	0.455
ʀ	ʀ	0.446
ˈaː	ˈaː	0.444
ˈɪ	ˈə	0.429
j	l	0.429
ˈɔ	-	0.4
t	ʦ	0.39
k	kʰ	0.389
t	s	0.366
ˈøː	ˈi	0.364
ˈiː	-	0.364
ˈoː	ˈəʊ̯	0.333
ˈaː	ˈɑ	0.333
ˈɑː	-	0.286
ˈu	-	0.286
p	p	0.286
j	j	0.286
j	d_ə	0.286
β	w	0.276
ˈeː	-	0.276
ˈʊː	ˈo	0.273
ˈʊː	-	0.273
ˈeː	ˈɜɪ̯	0.241
x	ɕ_t	0.235
ˈɒː	-	0.231
z	ʃ	0.227
ˈuː	ˈɑʊ̯	0.222
ˈuː	-	0.222
ˈaː	-	0.222
k	ɕ	0.222
k	k	0.222
t	t	0.22
ˈi	ˈə	0.2
ˈi	ɕ	0.2
ˈɪː	ˈe	0.182
ˈøː	ˈiː	0.182
x	χ	0.176
ˈeː	ˈiː	0.172
ˈɒː	ˈəʊ̯	0.154
ˈɒː	ˈuə̯	0.154
ŋ	-	0.154
ˈɛː	-	0.143
ˈɑ	ˈuə̯	0.143
ˈɑ	-	0.143
d̥	t	0.143
ˈʊː	ˈʊ	0.136
ˈʊː	ˈaː	0.136
ɣ	-	0.118
x	t	0.118
ə	-	0.115
k	χ	0.111
v	v	0.107
ˈeː	ˈiə̯	0.103
n	ŋ	0.103
ə	n	0.098
ˈʊː	ˈɔ	0.091
ˈʊː	ˈoː_ə	0.091
v	-	0.071
ˈeː	ˈɛː	0.069
ˈeː	ˈɛ	0.069
ˈeː	ˈiə̯_d	0.069
ə	ɐ	0.066
ɣ	ʑ	0.059
k	ɡ̊	0.056
ʀ	ˈiː	0.054
n	ˈə_n	0.051
