Franco-Provençal	Franco-Provençal	probability
ˈɔ	-	1.0
ˈɑː	-	1.0
ˈø_ʎ	ʧ	1.0
ˈy	ˈʌu̯_v_e_r	1.0
ˈi_#>	#>	1.0
ˈe_ʃ	z	1.0
ˈe_ʁ	ˈɛ_r	1.0
ˈe_#>	#>	1.0
ˈaː	ˈɛ	1.0
ʒ	-	1.0
ʃ_#>	#>	1.0
ʁ_ə	e_r	1.0
ʁ_s	r_θ	1.0
ʁ_o	e_r	1.0
ʁ_a	r_a	1.0
ɲ	ɲ	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ɛ̃	i	1.0
ɛ	a	1.0
ɔ̃	-	1.0
ɔ	u	1.0
ɑ̃	a_ŋ	1.0
ɑː	a_s	1.0
ð_ə	r	1.0
z	z	1.0
y	r_u	1.0
w_ˈɛː	ˈʌu̯	1.0
w_ˈa	ˈuː_ɡ	1.0
u	u	1.0
t	t	1.0
p	p	1.0
n_a	ŋ	1.0
m	m	1.0
l_#>	l_#>	1.0
k_ʁ	k_r	1.0
ĩ	-	1.0
f_#>	v_#>	1.0
f	f	1.0
b_ˈɔ	b	1.0
b	b	1.0
a_l	a_l	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_ð	1.0
<#_w	<#_ˈɔː	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#	<#_ˈaː	1.0
n	n	0.917
v	v	0.885
k	k	0.875
d	d	0.833
ˈɑ̃	ˈa_ŋ	0.8
ʃ	k	0.7
ˈĩ	ˈe_ŋ	0.667
ʁ	r	0.658
e	s	0.625
s	s	0.607
i	a	0.571
ˈu	-	0.556
ə	a	0.552
ˈɛ̃	ˈæ_ŋ	0.5
ˈoː	ˈɔː	0.5
ˈi	ˈiː	0.5
ˈa	ˈɛ	0.5
ˈa	ˈaː	0.5
ð	r	0.5
o	-	0.5
l	l	0.471
ʎ	j	0.455
j	-	0.45
ˈɛː	ˈa	0.429
ˈo	ˈo	0.429
i	-	0.429
#>	r_#>	0.423
s	θ	0.393
ˈɔ̃	ˈo_ŋ	0.375
ˈɔ̃	ŋ	0.375
ð	d	0.375
e	e	0.375
ʎ	ʧ	0.364
ˈɛ	-	0.357
ˈɛ̃	ŋ	0.333
ˈø	ˈʌu̯	0.333
ˈø	ˈɔː	0.333
ˈø	-	0.333
ˈĩ	-	0.333
o	u	0.333
ˈe	ˈɛ	0.31
ˈe	-	0.31
ˈɛː	ˈɛ	0.286
ˈɛː	ˈa_j	0.286
ˈɛ	ˈɛ	0.286
ˈo	ˈʌu̯	0.286
ˈo	ˈɔː	0.286
ˈi	ˈe	0.278
ə	-	0.276
w	ˈɔ	0.273
ˈɔ̃	ˈʌ_ŋ	0.25
l	j	0.235
ˈu	ˈʌ	0.222
ˈu	ˈuː	0.222
ˈɛ	ˈe	0.214
ˈɑ̃	-	0.2
j	j	0.2
#>	d_#>	0.192
ʎ	ˈɔː_l	0.182
w	ˈuː	0.182
w	ˈo	0.182
w	w	0.182
w	-	0.182
l	-	0.176
ə	e_r	0.172
ˈɛ̃	ŋ_t	0.167
ˈoː	ˈɛ_l	0.167
ˈoː	ˈɔ_s	0.167
ˈoː	-	0.167
o	e	0.167
d	-	0.167
j	ˈɛ	0.15
ˈɛ	ˈɛː	0.143
ð	ð	0.125
k	ʧ	0.125
l	j_ˈa	0.118
v	-	0.115
#>	v_#>	0.115
#>	l_#>	0.115
ˈi	ˈa	0.111
ˈi	-	0.111
ʁ	r_e	0.105
ʁ	-	0.105
ˈe	ˈaː	0.103
ʃ	z	0.1
ʃ	k_a	0.1
ʃ	-	0.1
j	ˈʌ	0.1
j	ˈiː	0.1
n	-	0.083
ʁ	r_t	0.079
#>	z_#>	0.077
#>	p_#>	0.077
ˈe	ˈɛ_s	0.069
ˈe	ˈɛ_r	0.069
ˈe	r	0.069
ˈe	j	0.069
ʁ	e_r	0.053
