Ukrainian	Ukrainian	probability
ʧʲ	k	1.0
ʦʲ	k	1.0
ʤ	i_t	1.0
ʒʲ	ɡ	1.0
ʍ	l	1.0
ʋʲ	w	1.0
ʃʲ	ʃ	1.0
ʃ	-	1.0
ɫ	l	1.0
ɦʲ	ɡ	1.0
ɔ_ˈ	a_s	1.0
ɔ_r	a_r	1.0
zʲ	zʲ	1.0
x	ʃ	1.0
w	w	1.0
u_ˈ	n	1.0
t	t	1.0
sʲ	s	1.0
rʲ	-	1.0
r	r	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m_oː	1.0
m	m	1.0
e_#>	ei̯_#>	1.0
bʲ	-	1.0
b	b	1.0
a	aː	1.0
<#_ʋʲ	<#_w	1.0
<#_w	<#	1.0
<#_s	<#_s	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
ɦ	ɡ	0.833
j	s	0.833
#>	s_#>	0.741
z	zʲ	0.727
d	d	0.692
ʋ	w	0.667
lʲ	l	0.667
k	-	0.625
ʊ	au̯	0.6
e	a	0.583
ɔ_#>	a_#>	0.571
ɑ	aː	0.56
ɐ	aː_ˀ	0.533
ˈ	́	0.528
ʧ	k_t	0.5
ʧ	k	0.5
ʒ	ɡ	0.5
ʒ	ŋ_ɡ	0.5
ɛ	e	0.5
ɔ	a	0.5
ɔ_#>	#>	0.429
u	a	0.429
ˈ_#>	́ˀ_#>	0.421
ʊ	a	0.4
s	sʲ	0.4
s	s	0.4
k	k	0.375
ˈ_#>	#>	0.368
ɪ	uː	0.357
tʲ	t_i	0.333
lʲ	l_i	0.333
i	a	0.32
ɔ	-	0.3
ɪ	a	0.286
u	au̯	0.286
u	a_ŋ	0.286
i	ai̯	0.28
e	-	0.25
ɑ	-	0.24
i	-	0.24
tʲ	t	0.222
tʲ	i	0.222
tʲ	-	0.222
ɪ	ei̯	0.214
ˈ_#>	ˀ_#>	0.211
ɑ	oː	0.2
ɐ	-	0.2
s	ʃ	0.2
ɛ	i	0.188
#>	́_s_#>	0.185
z	ɡ	0.182
ˈ	́ˀ	0.181
ˈ	-	0.167
ʋ	ˀ_w	0.167
ʋ	l_ˀ	0.167
ɦ	ɡ_a	0.167
j	-	0.167
e	u	0.167
i	e	0.16
d	s	0.154
d	-	0.154
ɪ	e_s	0.143
ɐ	e	0.133
ɐ	a	0.133
ɛ	e_́	0.125
ɛ	-	0.125
ɔ	u	0.1
ɔ	i	0.1
ˈ	ˀ	0.097
z	z	0.091
#>	a_#>	0.074
ɛ	ɛ	0.062
