Galician	Galician	probability
θ_ˈe	t_e	1.0
β_ʊ	w	1.0
β_ɐ	e	1.0
ʊ	ə	1.0
ɾ_ʊ	r_u	1.0
ɪ_#>	#>	1.0
ɣ_ʊ_#>	k_#>	1.0
ɟ_ʊ	kʲ	1.0
ɟ_ɐ	e	1.0
ɐ_#>	#>	1.0
ŋ_k	n_ʧʲ	1.0
ð_o	ʦʲ	1.0
ð	t	1.0
v	n	1.0
t_ʊ_#>	t_#>	1.0
s_ʊ_#>	s_#>	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_ɐ	e̯ˈa	1.0
j_ʃ	ʃ	1.0
j_t	p_t	1.0
f	f	1.0
e_ɾ	r_u	1.0
e_s	s	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_ʃ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
k	k	0.933
ʊ_#>	#>	0.897
ɪ	e	0.889
t	t	0.875
<#_l	<#_l	0.875
ˈu	ˈu	0.857
ˈa	ˈa	0.825
ɲ	n	0.8
s	s	0.789
ɐ	ə	0.784
ɣ	k	0.75
ˈi	ˈi	0.741
<#_a	<#_a	0.714
θ	ʧ	0.708
d	d	0.688
ˈɑ	ˈɨ	0.667
ɡ	ɡ	0.667
ɟ	j	0.667
w	-	0.667
u	u	0.667
m_ɪ	m_e	0.667
#>	e_#>	0.667
l	l	0.615
o	u	0.6
j	-	0.6
i	i	0.6
s_#>	#>	0.571
ˈɔ	ˈo	0.55
β	-	0.538
ˈo	ˈu	0.514
ɾ	r	0.507
ʧ	p_l	0.5
ʧ	f_l	0.5
b	v	0.5
a	ˈa	0.5
<#	<#_s	0.5
<#	<#_j	0.5
ɾ	r_e	0.464
ʃ	ʤ	0.429
s_#>	j_#>	0.429
e	-	0.417
ŋ	n_e	0.4
j	l	0.4
i	-	0.4
ˈe	ˈe	0.386
l	r	0.385
b	b	0.364
ʃ	ʒ	0.357
ˈɑ	ˈɨ_j	0.333
ɡ	-	0.333
ɟ	-	0.333
ŋ	n	0.333
w	w	0.333
u	-	0.333
m_ɪ	m	0.333
a	-	0.333
d	z	0.312
β	b	0.308
ˈɔ	o̯ˈa	0.3
ˈɛ	ˈe	0.294
ˈɛ	j_ˈe	0.294
<#_a	<#	0.286
ŋ	-	0.267
o	-	0.267
ɣ	ɡ	0.25
e	e	0.25
ʃ	s	0.214
θ	ʦ	0.208
ˈe	ˈi	0.205
ɲ	j	0.2
#>	r_#>	0.2
ˈo	ˈo	0.189
ˈo	o̯ˈa	0.189
ˈɛ	j_ˈa	0.176
e	u	0.167
e	i	0.167
a	ɨ	0.167
s	ʃ	0.158
ɐ	e	0.157
β	p	0.154
ˈɔ	ˈu	0.15
ˈu	ˈo	0.143
b	-	0.136
o	o̯ˈa	0.133
#>	ə_#>	0.133
ˈa	ˈɨ	0.125
t	ʦ	0.125
<#_l	<#	0.125
ˈɛ	ˈa	0.118
ˈɛ	e̯ˈa	0.118
ˈe	-	0.114
ˈi	-	0.111
ɪ	ə	0.111
ʊ_#>	r_#>	0.103
θ	-	0.083
ˈi	ˈu	0.074
ˈi	e	0.074
ˈe	ˈi_n	0.068
ˈe	ˈa	0.068
ˈe	e̯ˈa	0.068
k	ʧ	0.067
ɐ	a	0.059
ˈo	ˈu_n	0.054
ˈo	o̯ˈa_m	0.054
s	nʲ	0.053
