Ukrainian	Russian	probability
ˈɔ	ˈo	1.0
ˈu	ˈu	1.0
ˈi_ɫ	ˈe_ɫ	1.0
ˈa	ˈa	1.0
ʧ	ʨ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʍ	ɫ	1.0
ʋʲ_ˈi	v_ˈo	1.0
ʋʲ	vʲ	1.0
ʋ_j	vʲ	1.0
ʊ	ʊ	1.0
ɦ_#>	k_#>	1.0
ɦ	ɡ	1.0
zʲ	z	1.0
x	x	1.0
tʲ	tʲ	1.0
t_e	tʲ	1.0
sʲ	sʲ	1.0
pʲ	pʲ	1.0
nʲ_ˈi	n_ˈo	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
lʲ	lʲ	1.0
kʲ_ˈi	k_ˈo	1.0
i	ɪ	1.0
d_#>	t_#>	1.0
b	p	1.0
j	j	0.917
ˈɑ	ˈa	0.85
ɫ	ɫ	0.81
s	s	0.789
ɛ	ɪ	0.75
r	r	0.75
t	t	0.739
ˈi	ˈe	0.714
k	k	0.714
ˈɛ	ˈe	0.692
w	v	0.667
z	z	0.625
e	ɨ	0.611
rʲ	rʲ	0.6
ʋ	v	0.583
m	m	0.583
d	d	0.556
ʒ	ʐ	0.5
ʒ	ʂ	0.5
p	pʲ	0.5
p	p	0.5
ɔ	ɐ	0.472
ɔ	ə	0.444
ˈɪ	ˈi	0.421
m	mʲ	0.417
rʲ	r	0.4
e	ɪ	0.389
ɐ	ɪ	0.385
ɐ	ə	0.385
z	zʲ	0.375
ˈɪ	ˈɨ	0.368
w	-	0.333
d	dʲ	0.333
ˈɛ	ˈɵ	0.308
t	tʲ	0.261
ʋ	vʲ	0.25
ɛ	ə	0.25
r	rʲ	0.25
ɐ	ˈa	0.231
s	sʲ	0.211
ˈi	ˈo	0.19
ɫ	lʲ	0.19
k	kʲ	0.19
ʋ	ɫ	0.167
ˈɑ	ˈæ	0.15
d	t	0.111
ˈɪ	ɪ	0.105
ˈɪ	ɨ	0.105
ˈi	ˈɛ	0.095
k	-	0.095
ɔ	ɪ	0.083
j	-	0.083
