Bokmål Norwegian	Scots	probability
ˈʊ	-	1.0
ˈʉ_lː	ˈuː	1.0
ˈɑ_l	ˈɑː	1.0
ˈœʏ̯	ˈi	1.0
ʈː	r_t	1.0
ʈ	t	1.0
ɾ_ə	ə_r	1.0
ɳ	r_n	1.0
ɪ_ŋ	e	1.0
ŋː	ŋ	1.0
tː	t	1.0
t	t	1.0
sː	s	1.0
s_ˈœ	s_ˈɪ	1.0
s_ə	z	1.0
s_k	ʃ	1.0
s	s	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
nː_ə	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
j_ˈæ	ˈaː	1.0
i	ɪ	1.0
h	h	1.0
d	d	1.0
b	b	1.0
f	f	0.907
ˈɪ	ˈɪ	0.874
ɾ	r	0.851
ˈæɪ̯	ˈe	0.828
ɡː	-	0.735
k	k	0.734
ə	ə	0.723
ˈʏ	ˈɪ	0.719
ˈɔ	-	0.668
ˈæː	-	0.632
j	-	0.63
ˈɑː	ˈeː	0.614
ˈoː	-	0.595
tʰ	θ	0.571
ʋ	w	0.57
ˈʉ	ˈʌ	0.554
lː	l	0.553
ʂ	ʃ	0.549
ɡ	-	0.51
nː	n_d	0.491
ɡ	ɡ	0.49
ˈeː	ˈiː	0.464
ˈiː	ˈəi̯	0.463
ʂ	s	0.451
ˈyː	ˈiː	0.449
nː	n	0.432
tʰ	tʰ	0.429
ˈʉː	ˈu	0.395
j	h	0.37
ˈɑ	ˈa	0.368
ˈæː	ð	0.368
ˈɛ	ˈɛ	0.366
ˈøː	-	0.362
ˈyː	-	0.352
ˈøː	ˈi	0.35
ˈɔ	ˈʌ	0.332
ˈiː	-	0.325
ˈeː	ˈe	0.317
ˈœ	ˈi	0.314
ˈuː	ˈo	0.305
ˈʉ	ˈu	0.296
lː	l_d	0.294
ˈɑ	ˈɑː	0.283
ˈʏ	-	0.281
ɡː	ʤ	0.265
ˈɑː	ˈe	0.257
ˈœ	ˈɪ	0.25
ˈœ	ˈiː	0.243
ˈuː	ˈɪ	0.228
ˈeː	-	0.219
ˈʉː	ˈuː	0.218
ˈoː	ˈi	0.213
ˈɛ	ˈe	0.211
ˈiː	ˈɪ	0.211
ˈyː	ˈi	0.199
ˈœ	-	0.193
ˈʉː	-	0.192
ˈoː	ˈø	0.192
ˈɑ	ˈeː	0.189
k	-	0.179
ˈæɪ̯	ˈɛː	0.172
ˈøː	ˈiː	0.166
ˈuː	ˈø	0.158
lː	-	0.153
ˈʉ	-	0.15
ˈuː	ˈɪ_ð	0.14
ʋ	-	0.14
ə	-	0.132
ˈɑː	-	0.129
ˈɪ	-	0.126
ˈøː	ˈi_d	0.122
ɾ	ə_r	0.119
ˈɛ	-	0.112
ˈɛ	ˈi	0.107
ʋ	v	0.102
ˈʉː	ˈəi̯	0.098
ˈʉː	ˈo	0.098
ˈɑ	-	0.098
f	f_ˈo	0.093
ʋ	ʍ	0.089
k	ʧ	0.087
ˈuː	-	0.077
nː	θ	0.077
ə	ˈiː	0.075
ˈɛ	ˈaːɪ̯	0.071
ˈuː	ˈø_d	0.07
ə	n	0.07
ˈɛ	ˈɪ_ç	0.066
ˈɛ	ˈɪ	0.066
ʋ	w_ˈa	0.062
ˈɑ	ˈɪ	0.061
