Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	j	1.0
ˈɛɪ̯	-	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈɔ_ɾ	1.0
ˈɔ	ˈɔ	1.0
ˈœː	-	1.0
ˈø	ˈɛ	1.0
ˈiː	ˈɛi̯	1.0
ˈeɪ̯	ˈeː	1.0
ˈaʊ̯_l	ˈɑu̯	1.0
ˈa	ˈɑ	1.0
ʒ	j	1.0
ɪ	ɪ	1.0
ə	-	1.0
ɐ_d	ɾ_d̥	1.0
z̥	z̥	1.0
x	χ	1.0
v̥	v̥	1.0
tʰ	t	1.0
t	t	1.0
r	ɾ	1.0
p	p	1.0
kʰ	k	1.0
k	k	1.0
j	χ	1.0
i	ə_χ	1.0
h	ɦ	1.0
d_r	d_ɾ	1.0
aɪ̯	i	1.0
<#_pʰ	<#_p	1.0
v	ʋ	0.935
z	z	0.909
n	n	0.898
l	ɫ	0.898
#>	n_#>	0.882
ˈʊ	ˈɔ	0.867
ˈoː	ˈaː	0.833
ˈɪ	ˈɪ	0.828
ˈøː	ˈoː	0.8
m	m	0.771
f	v	0.75
ˈuː	ˈœy̯	0.733
ŋ	ŋ	0.733
ç	χ	0.692
b	b	0.69
s	s	0.667
ˈeː	ˈeː	0.636
ˈaʊ̯	ˈoː	0.63
ˈyː	ˈœy̯	0.6
ˈaɪ̯	ˈi	0.583
ˈʏ	ˈʏ	0.545
ˈɔʏ̯	ˈu	0.545
ɐ	ə_ɾ	0.515
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ʃ	s	0.48
ˈɔʏ̯	ˈoː	0.455
ˈaː	ˈɛ_ɾ	0.429
ɐ	ɾ	0.424
ˈyː	ˈyː	0.4
ɡ	χ	0.382
ˈaʊ̯	ˈu	0.37
ˈeː	-	0.364
ɡ	k	0.353
d	d	0.35
ˈaɪ̯	ˈeː	0.333
s	s_t	0.333
ʃ	s_χ	0.32
d	d̥	0.312
b	p	0.31
ˈaː	ˈɑ_ɾ	0.286
ˈaː	ˈɑ_ɫ	0.286
ˈʏ	-	0.273
ŋ	χ_ə	0.267
f	v̥	0.25
d	t	0.237
ˈøː	ˈøː	0.2
ʃ	z	0.2
ˈʏ	ˈɛ	0.182
ˈoː	ˈoː	0.167
ç	χ_t	0.154
ç	ŋ	0.154
ɡ	k_ə	0.147
ˈʊ	-	0.133
ˈuː	ˈɑu̯	0.133
ˈuː	-	0.133
ɡ	χ_ə	0.118
#>	z̥_#>	0.118
m	ə_n	0.114
m	v_ə	0.114
ˈɪ	-	0.103
z	z_ˈi	0.091
ˈaɪ̯	ˈɛi̯	0.083
n	n_d	0.08
d	t_ə	0.075
ˈɪ	ˈɛi̯	0.069
v	-	0.065
ɐ	ɾ_ə	0.061
l	ɫ_ə	0.061
