Brazilian Portuguese	Occitan	probability
ẽ	e	1.0
f	f	1.0
ĩ	i	1.0
l	l	1.0
m	m	1.0
n	n	1.0
s	s	1.0
ʎ	ʎ	1.0
ʤ	d	1.0
ʧ	-	1.0
ˈĩ	ˈi	1.0
ˈũ	ˈy	1.0
ˈɛ	ˈɛ	1.0
d	ð	0.441
e	e	0.861
ɦ	r	0.851
ʒ	-	0.051
ˈõ	ˈu_n	0.1
ˈõ	ˈɔ	0.121
ˈɐ̃	ˈa_ŋ	0.071
a	ˈa	0.172
e	-	0.102
h	-	0.52
i	-	0.322
j	j	0.262
o	-	0.362
u	e	0.282
v	β	0.142
w	w	0.502
z	-	0.442
ɡ	ɡ	0.272
ɾ	w_ɾ	0.082
ɾ	-	0.122
ˈi	ˈe	0.112
b	-	0.113
b	b	0.433
ɐ	-	0.053
ɐ	ɔ	0.863
ɡ	ɣ	0.473
ɾ	l	0.113
ɾ	ɾ	0.683
ˈe	j	0.093
ˈe	ˈe	0.633
ˈo	ɥ	0.073
ˈɐ̃	ˈu	0.093
d	d	0.454
p	p	0.914
t	n_t	0.084
ɐ	n_ɔ	0.064
ˈẽ	ˈɛ	0.534
ˈi	ˈi	0.764
ˈu	ˈu	0.514
ˈɐ̃	ˈa	0.794
b	β	0.425
d	-	0.105
k	-	0.05
k	k	0.95
v	-	0.125
ʃ	s	0.915
ˈa	l_ˈa	0.125
ˈa	ˈa	0.875
ˈo	ˈɔ	0.175
a	-	0.06
h	r	0.416
i	e	0.666
j̃	j	0.216
p	-	0.086
t	t	0.916
u	ˈɛ_l	0.106
ɡ	k	0.146
ˈẽ	ˈe	0.466
ˈo	ˈa	0.206
ˈu	ˈy	0.486
ˈɔ	ˈa	0.136
j	ˈɛ	0.137
j̃	n	0.357
u	-	0.287
v	v	0.697
ˈe	e	0.077
ˈe	-	0.127
ˈi	n_ˈi	0.057
ˈi	-	0.067
ˈɔ	ˈu	0.427
ˈɔ	ˈɔ	0.437
a	a	0.768
j	-	0.498
j̃	ɲ	0.428
o	u	0.638
w	l	0.498
z	z	0.558
ˈo	ɥ_ˈɔ	0.118
ˈo	ˈu	0.388
j	w	0.079
u	ˈɛ	0.079
u	i	0.209
ɡ	-	0.109
ɦ	-	0.149
ʒ	ʤ	0.949
ˈõ	ˈu	0.779
