Afrikaans	Afrikaans	probability
χ_t	x_d̥	1.0
χ_r	ɡ̊_r	1.0
ˈʊə̯_r	ˈɔ	1.0
ˈɔː	-	1.0
ˈœu̯	ˈɑ_l	1.0
ˈyː	ˈaɪ̯	1.0
ˈu_n	ˈĩː	1.0
ˈu_j	ˈuː	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_r	ɐ	1.0
ə_#>	#>	1.0
w	-	1.0
v̥_#>	b̥_#>	1.0
v̥	f	1.0
v	β	1.0
s_k	ʃ	1.0
r_d̥	ɐ_d̥	1.0
n_d̥	n_ə	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
k_#>	x_#>	1.0
j	j	1.0
i	eː	1.0
d_ˈə	d̥_ˈɪ	1.0
d_r	d̥_r	1.0
b	b̥	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_r	<#_r	1.0
d̥	d̥	0.926
d	d̥	0.909
n	n	0.881
ˈə	ˈɪ	0.81
ˈɪø̯	-	0.75
ˈu	ˈuː	0.75
ˈœɪ̯	ˈau̯	0.727
ˈœ	ˈɪ	0.714
ˈæ	ˈɛ	0.714
ˈɛ	ˈɛ	0.667
ˈəɪ̯	ˈaɪ̯	0.667
ˈi	ˈiː	0.667
r	ɐ	0.632
ˈa	ˈɑ	0.621
ŋ	ŋ	0.588
χ	ɡ̊	0.529
ˈɔ	ˈu	0.524
ˈæː	ˈɛ	0.5
ˈæː	-	0.5
p	f	0.5
k	kʰ	0.5
s	s	0.492
ˈɔ	ˈɔ	0.476
s	ʃ	0.407
ə	ɐ	0.385
ˈʊə̯	ˈoː	0.381
ˈɪə̯	ˈɛː	0.381
t	ʣ̥	0.375
r	r	0.368
ˈɛ	ˈɪ	0.333
ˈɑː	ˈoː	0.333
ə	ɪ	0.308
ə	-	0.308
ŋ	n	0.294
ˈʊə̯	ˈɑː	0.286
ˈœ	-	0.286
ˈæ	-	0.286
t	s	0.275
ˈœɪ̯	ˈaɪ̯	0.273
ˈɪø̯	ˈõː	0.25
ˈɑː	ˈɑ	0.25
ˈu	-	0.25
p	b̥	0.25
ˈa	ˈɑː	0.241
ˈɪə̯	-	0.238
k	ʃ	0.231
t	d̥	0.225
ˈəɪ̯	-	0.2
ˈɪə̯	ˈɛ	0.19
p	f_ə	0.188
χ	ʃ	0.176
ˈi	ˈeː	0.167
k	ɡ̊_ə	0.154
ˈʊə̯	ˈeː	0.143
ˈa	ˈɛ	0.138
ˈəɪ̯	ˈɛː	0.133
ˈɑː	ˈɑː	0.125
t	s_ə	0.125
ŋ	ʃ	0.118
k	ɡ̊	0.115
ˈi	ˈaɪ̯	0.111
ˈʊə̯	ˈu	0.095
ˈʊə̯	-	0.095
ˈɪə̯	ˈɪ	0.095
ˈɪə̯	ˈɛ_r	0.095
ˈə	ˈaɪ̯	0.095
ˈə	-	0.095
d	r	0.091
χ	x	0.088
χ	j_ə	0.088
ˈɑː	ˈɛː	0.083
ˈɑː	ˈɛ	0.083
ˈɑː	ˈeː	0.083
d̥	r_ə	0.074
n	n_ə	0.071
s	ʃ_d̥	0.068
p	pʰ	0.062
χ	ʃ_d̥	0.059
χ	x_d̥	0.059
ˈi	ˈi	0.056
