American English	American English	probability
θ	θ	1.0
ˈʊ	-	1.0
ˈɪ_n	ˈi_n	1.0
ˈɛə̯	ˈɑ	1.0
ˈɛ_n	ɑi̯	1.0
ˈɛ_d	ˈɑu̯_ð	1.0
ˈɑ_ɹ	ˈɑ_r	1.0
ˈi_#>	ˈe_w_ɑ̃_#>	1.0
ʧ	k	1.0
ʤ_#>	ɣ_j_ɔː_#>	1.0
ʤ	ɣ_j	1.0
ʃ	s_k	1.0
ɾ	t	1.0
ɹ_n	r_n	1.0
ɪ	-	1.0
z	-	1.0
s_#>	s_#>	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	-	1.0
l	l	1.0
k_s	x_s	1.0
k_#>	k_s_#>	1.0
j	ɣ	1.0
i	ɑ_ɣ	1.0
h	x	1.0
f_#>	β_ɑ̃_#>	1.0
b	b	1.0
<#_ˈʌ	<#_ˈu	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
m	m	0.963
s	s	0.956
ɹ	r	0.944
w	w	0.903
t	t	0.875
ɫ	l	0.857
ɡ	ɣ	0.857
ˈæ	ˈɑ	0.818
f	ɸ	0.806
ˈaʊ̯	ˈuː	0.769
ʔ	t	0.759
kʰ	k	0.75
ˈeɪ̯	ˈɑ	0.714
<#	<#_x	0.714
v	β	0.7
k	k	0.692
ð	θ	0.667
n	n	0.667
ŋ	ɡ	0.636
ˈɔ	ˈu	0.6
ˈoʊ̯	ˈɑi̯	0.579
ˈɑ	ˈɑ	0.545
ˈɝ	ˈu_r	0.5
ˈɝ	r	0.5
ə	n	0.5
ə	-	0.5
ˈɑ	ˈu	0.455
ˈʌ	ˈu	0.421
d	d	0.412
ˈʌɪ̯	ˈiː	0.4
ˈu	ˈɔː	0.4
ˈu	-	0.4
d	ð	0.382
#>	ɑ_z_#>	0.347
ð	ð_ɛː	0.333
ˈɪ	ˈi	0.321
ˈɛ	ˈɑ	0.32
ˈɛ	ˈe	0.32
ˈʌɪ̯	x	0.3
v	ɸ	0.3
<#	<#_k	0.286
ŋ	ŋ	0.273
kʰ	k_ˈu	0.25
ˈaɪ̯	ˈiː	0.238
ˈi	ˈɑu̯	0.237
ˈaʊ̯	-	0.231
ˈɪ	ˈu	0.214
#>	z_#>	0.211
ˈʌɪ̯	ˈɑ_x	0.2
ˈɔ	ˈɑ	0.2
ˈɔ	ˈe	0.2
ˈu	ˈɑ_n	0.2
ɚ	r_ɑ̃	0.192
ɚ	r	0.192
ˈaɪ̯	ˈi	0.19
#>	ɑ_n_ɑ̃_#>	0.184
ˈæ	ˈɑ_l	0.182
ˈɪ	ˈe	0.179
#>	ɑ̃_#>	0.168
ˈʌ	ˈɔː	0.158
ˈʌ	ˈuː	0.158
ˈʌ	ˈu_ŋ	0.158
ˈoʊ̯	ˈɑ	0.158
ˈoʊ̯	ˈu	0.158
ˈi	ˈɔː	0.158
ɚ	r_ɑ	0.154
n	nː	0.154
k	kʷ	0.154
k	k_i	0.154
ˈɪ	ˈi_ŋ	0.143
ˈeɪ̯	ˈɑ_ɣ	0.143
ˈeɪ̯	ˈe_ɣ	0.143
ˈaɪ̯	ˈɑu̯_ɣ	0.143
ˈaɪ̯	ˈeu̯_ɣ	0.143
ˈaɪ̯	ˈe	0.143
ˈaɪ̯	-	0.143
ɡ	-	0.143
ˈi	ˈɛː	0.132
ˈi	ˈeu̯	0.132
f	β	0.129
n	u_n	0.128
t	t_u	0.125
ˈɛ	ˈɛː	0.12
ɚ	ɛː	0.115
ɚ	e_r	0.115
ˈʌ	-	0.105
ˈoʊ̯	ˈɑi̯_w	0.105
ʔ	t_s	0.103
ˈʌɪ̯	ˈĩː	0.1
w	xʷ	0.097
ŋ	ɡʷ	0.091
d	θ	0.088
ˈɛ	ˈɑu̯	0.08
ˈɛ	ˈɑi̯	0.08
ˈɛ	ˈi	0.08
ˈi	ˈe	0.079
ˈi	-	0.079
ɚ	s_ɔːː	0.077
ɚ	r_ɔː	0.077
ɚ	r_u	0.077
ˈɪ	ˈeu̯	0.071
ˈɪ	-	0.071
ɫ	ɑ	0.071
ɫ	l_ɔː	0.071
ʔ	x_t	0.069
ʔ	tː	0.069
f	ɸ_ˈu	0.065
d	θ_ɑ̃	0.059
d	θ_i	0.059
ɹ	r_ˈe	0.056
ˈi	ˈɑː	0.053
ˈi	ˈiː_z	0.053
ˈi	i	0.053
n	ɑ̃	0.051
