Western Lombard	Western Lombard	probability
ˈɛ_ʧ	ˈe_j	1.0
ˈɛ_#>	ˈe_h_#>	1.0
ˈɑː_n	ˈɐ̃	1.0
ˈy	-	1.0
ˈu_s	ˈo_ʃ	1.0
ˈoː	ˈo_w	1.0
ˈo	ˈõ	1.0
ˈĩ	ˈĩ	1.0
ˈiː_n	ˈĩ_j̃	1.0
ˈa_#>	ˈa_h_#>	1.0
ʧ	ʎ_u	1.0
ʤ	-	1.0
ʃ	e_k	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
z_ɡ	v	1.0
z	-	1.0
y	-	1.0
w	w	1.0
ũ	ũ	1.0
s_e	s_e	1.0
s_a	s_ɐ	1.0
r_b	ɦ_v	1.0
p_j	ʃ	1.0
p	p	1.0
o	-	1.0
m	m	1.0
k_#>	ɡ_u_#>	1.0
ĩ	ĩ	1.0
f_j	ʃ	1.0
f_#>	#>	1.0
ẽ	ẽ	1.0
ã	ɐ̃	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
k	k	0.956
<#_ʧ	<#_s	0.8
f	f	0.778
n	n	0.759
ˈu	ˈo	0.75
ˈiː	ˈi	0.75
ʒ	ʒ	0.75
ˈɑː	ˈa	0.731
ˈẽ	ˈẽ	0.714
v	v	0.704
a	ɐ	0.681
ˈũ	ˈõ	0.667
r_#>	ɾ_u_#>	0.667
#>	u_#>	0.64
u	o	0.615
ˈeː	ˈe	0.6
e_r	ɾ_u	0.6
b	v	0.6
s	s	0.574
ˈyː	ˈu	0.571
ˈa	ˈa	0.571
i	-	0.571
d	d	0.562
ˈɔ	ˈo	0.556
ˈøː	ˈo	0.538
j	ʎ	0.538
ˈi	ˈi	0.533
ˈɛ	ˈɛ	0.522
t	t	0.512
ˈœ	ˈo	0.5
ˈœ	-	0.5
ˈã	ˈɐ̃_w̃	0.5
ˈã	ˈɐ̃	0.5
j	-	0.462
ˈuː	ˈɔ	0.455
i	i	0.429
e	e	0.429
e	-	0.429
r	ɾ	0.4
e_r	ɾ_i	0.4
b	b	0.4
ˈɛ	ˈe	0.391
u	-	0.385
ˈe	ˈɛ	0.375
ˈe	ˈe	0.375
ˈuː	ˈo	0.364
ˈɔ	ˈɔ	0.333
ˈũ	ˈɐ̃_w̃	0.333
r_#>	#>	0.333
l	w	0.333
l	l	0.333
d	-	0.312
v	b	0.296
ˈẽ	ˈĩ	0.286
r	h	0.28
ˈeː	ˈɛ	0.267
ˈu	ˈɔ	0.25
ˈiː	-	0.25
ˈe	-	0.25
ʒ	z	0.25
n	-	0.241
ˈøː	ˈɔ	0.231
ˈøː	-	0.231
l	-	0.222
ˈyː	ˈũ	0.214
ˈyː	-	0.214
t	ʧ	0.209
ˈi	ˈe_h	0.2
<#_ʧ	<#_ʃ	0.2
ˈɑː	ˈɐ̃	0.192
ˈuː	ˈo_b	0.182
a	a	0.181
s	j_ʃ	0.167
s	ʃ	0.148
ˈa	ˈɐ̃	0.143
ˈa	ˈe_j	0.143
ˈa	a	0.143
e	i	0.143
t	d_u	0.14
r	ɦ	0.14
ˈi	ˈu	0.133
ˈi	-	0.133
ˈeː	-	0.133
d	z	0.125
ˈɔ	ˈõ	0.111
s	e_ʃ	0.111
l	u	0.111
f	v_i	0.111
f	v	0.111
#>	h_#>	0.093
ˈɛ	-	0.087
#>	ɐ_#>	0.08
ˈɑː	-	0.077
t	ʤ	0.07
t	d	0.07
r	-	0.06
a	ʎ_ɐ	0.056
a	-	0.056
#>	ˈe_h_#>	0.053
#>	ʃ_#>	0.053
#>	j̃_#>	0.053
