Swedish	Swedish	probability
ˈɪ	ˈɪ	1.0
ˈɑː_ɡ	ɣ̊	1.0
ˈœː	-	1.0
ˈœ_l	l	1.0
ˈæː	-	1.0
ʈː	ɐ_t	1.0
ʈ	t	1.0
ʂ	s	1.0
ɳː	ɐ_n	1.0
ɪ	-	1.0
ɡ_a	ŋ	1.0
ɡ_#>	#>	1.0
ɛ_r	ɐ	1.0
ɛ_l	l	1.0
ɛ_#>	#>	1.0
ɛ	-	1.0
ɔ	ɒː	1.0
ŋː	ŋ	1.0
v_a	v_ə	1.0
v_#>	f_#>	1.0
tʰ	d	1.0
t_a	t_n	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
pː	p	1.0
p	p	1.0
nː_a	n_n	1.0
nː_#>	n_ə_#>	1.0
nː	n	1.0
n_a	n	1.0
mː_a	m	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
jː	j	1.0
j_ˈʉː	d_ˈɛɪ̯	1.0
h	h	1.0
f	f	1.0
d_a	n	1.0
d_#>	#>	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
n	n	0.875
v	v	0.857
ˈiː	ˈiː	0.833
d	d̥	0.833
t	t	0.824
tː	t	0.8
ˈuː	ˈaʊ̯	0.778
ˈa	ˈa	0.739
k	k	0.727
ˈœ	-	0.714
ɧ	ʃ	0.667
ˈɛː	-	0.625
ˈyː	ˈɛɪ̯	0.6
ˈeː	ˈɛɪ̯	0.6
ɡː	-	0.6
kː	k	0.6
ˈʏ	ˈʏ	0.571
ˈoː	ˈɒː	0.571
ɡ	ɣ	0.571
s	s	0.517
ˈʊ	ˈʊ	0.5
ˈʊ	-	0.5
ɕ	k	0.5
ɕ	d	0.5
lː	l_ə	0.5
lː	l	0.5
#>	n_#>	0.5
s	z	0.483
r	ɐ	0.476
ˈʉː	ˈuː	0.471
a	ə	0.457
ˈɑː	ˈɒː	0.444
ˈɑː	-	0.444
ˈʏ	-	0.429
ˈɔ	-	0.429
ˈoː	-	0.429
r	r	0.429
j	-	0.429
a	n	0.429
ˈøː	ˈeo̯	0.412
ˈyː	ˈyː	0.4
ɡː	ɡ	0.4
kː	ŋ_k	0.4
ˈɛː	ˈɛː	0.375
ˈɵ	ˈʊ	0.333
ɧ	z	0.333
#>	d̥_#>	0.333
ˈeː	-	0.3
ˈʉː	ˈɛɪ̯	0.294
ˈɔ	ˈœ	0.286
ˈɔ	x	0.286
ˈœ	ˈɔ	0.286
ɡ	j	0.286
j	ˈɛ	0.286
j	h	0.286
ˈɛ	-	0.273
k	k_ə	0.273
ˈʉː	-	0.235
ˈøː	ˈɔʏ̯	0.235
ˈøː	-	0.235
ˈuː	-	0.222
ˈɵ	v_ˈʊ	0.2
ˈɵ	-	0.2
tː	ç_t	0.2
ˈɛ	ˈɛɪ̯	0.182
ˈɛ	ˈɛ	0.182
t	t_ə	0.176
ˈiː	-	0.167
d	-	0.167
#>	ɐ_#>	0.167
ɡ	ç	0.143
v	w	0.143
ˈɛ	ˈʏ	0.136
ˈɛ	ˈa	0.136
ˈɵ	ˈʏ	0.133
ˈɵ	ˈuː	0.133
n	-	0.125
ˈøː	ˈoː	0.118
ˈɑː	ˈɛə̯	0.111
ˈeː	ˈaɪ̯	0.1
ˈɛ	ˈeː	0.091
ˈa	ˈɔ	0.087
ˈa	ˈɒː	0.087
ˈa	-	0.087
a	m	0.057
a	-	0.057
