Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ	ˈɛ	1.0
ˈɔ_j	ˈɔ	1.0
ˈɔ	ˈɔ	1.0
ˈɐ̃_n	ˈɐ_n	1.0
ˈu	ˈu	1.0
ˈo_ɐ	ˈo_ɐ	1.0
ˈo	ˈo	1.0
ˈi_w	ˈi_u	1.0
ˈi_h	ˈi_ɾ	1.0
ˈi_#>	ˈɨ_#>	1.0
ˈi	ˈi	1.0
ˈa_t	ˈa_t	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ_u	ʃ_u	1.0
ʃ	ʃ	1.0
ɾ_ˈɐ̃	ɾ_ˈɐ̃	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ɐ	ɾ_ɐ	1.0
ɾ_u	ɾ_u	1.0
ɾ	ɾ	1.0
ɦ_n	ɾ_n	1.0
ɦ	ɾ	1.0
ɐ̃	ɐ̃	1.0
ɐ	ɐ	1.0
z	z	1.0
w̃	w̃	1.0
w_ɾ	w_ɾ	1.0
v	v	1.0
ũ	ũ	1.0
t	t	1.0
p_ɾ	p_ɾ	1.0
p	p	1.0
õ	õ	1.0
o_m	u_m	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j_ʃ	ʃ	1.0
j_u	j_u	1.0
j	j	1.0
ĩ	ĩ	1.0
h_ʧ	ɾ_t	1.0
h_k	ɾ_k	1.0
f	f	1.0
e_m	ɨ_m	1.0
d_ɐ	ð_ɐ	1.0
a_ɾ	ɐ_ɾ	1.0
a_d	ɐ_ð	1.0
a	ɐ	1.0
<#_o	<#_ɔ	1.0
u	u	0.979
s	s	0.966
i	ɨ	0.867
o	u	0.833
ˈɐ̃	ˈɐ̃	0.792
h	ɾ	0.763
ˈõ	ˈõ	0.692
ˈĩ	ˈi	0.643
j̃	ɲ	0.63
ɡ	ɣ	0.625
ˈe	ˈe	0.611
ˈũ	ˈu	0.6
ẽ	ɐ̃	0.6
ˈẽ	ˈẽ	0.562
d	d	0.533
b	b	0.533
w	w	0.522
e	ɨ	0.519
ʤ	ð	0.5
ʤ	d	0.5
w	ɫ	0.478
d	ð	0.467
b	β	0.467
ˈũ	ˈũ	0.4
ẽ	ẽ	0.4
ɡ	ɡ	0.375
e	i	0.37
ˈĩ	ˈĩ	0.357
ˈõ	ˈo	0.308
j̃	j̃	0.296
ˈe	ˈɐ	0.278
h	ʁ	0.237
ˈɐ̃	ˈɐ	0.208
ˈẽ	ˈe	0.188
o	o	0.167
i	i	0.133
ˈẽ	ˈɐ̃	0.125
ˈẽ	ˈɐ	0.125
ˈe	ˈɐ_j	0.111
e	j	0.111
j̃	j_ɲ	0.074
