Upper Franconian	Upper Franconian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɛ_ɐ	ˈɔɪ̯	1.0
ˈɘ	-	1.0
ˈɒː	ˈe	1.0
ˈɒ_l	ˈɑː	1.0
ˈoː_ŋ	ˈeː	1.0
ˈiː_ŋ	ˈiː	1.0
ˈaː_#>	ˈe_n_#>	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈa	ˈeː	1.0
ʦ_n	t	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	ʃ_#>	1.0
ɾ	ð	1.0
ɣ̊	x	1.0
ə	ə_n	1.0
ɐ_n	r_n	1.0
ɐ_d̥	r_d	1.0
ɐ_#>	#>	1.0
z̥_n	t	1.0
z̥	t	1.0
v̥	p	1.0
t	t	1.0
r_ˈaɪ̯	r	1.0
n_d̥	n	1.0
l_d̥	l_d	1.0
l	l	1.0
j	j	1.0
i	-	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	i_n	1.0
d̥_n	d	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
a	-	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
r	r	0.867
ˈɪ	ˈɪ	0.857
m	m	0.857
f	f	0.846
v	w	0.815
ŋ	ŋ	0.727
ˈaɪ̯	ˈəi̯	0.706
ˈaʊ̯	ˈu	0.7
s	s	0.698
ʦ	tʰ	0.615
ʃ	s	0.611
ˈɔ	ˈo	0.6
n	n	0.581
ˈeː	-	0.571
d̥	d	0.55
ˈaː	ˈe	0.538
ˈʊ	ˈʌ	0.529
ˈɔ_l	ˈʌu̯	0.5
ˈɔ_l	ˈuː	0.5
ɪ	ɪ	0.5
ɪ	e	0.5
<#_ˈɒ	<#_ˈɛ	0.5
<#_ˈɒ	<#	0.5
ɐ	ə_r	0.487
ˈɛ	ˈɛ	0.45
ˈiː	ˈi	0.45
ˈeː	ˈiː	0.429
x	k	0.417
ɐ	r	0.41
ç	ç	0.4
ʃ	ʃ	0.389
ʦ	t	0.385
ɡ̊	ɡ	0.375
n	-	0.349
ˈɒ	ˈɑː	0.333
x	x	0.333
ˈoː	-	0.316
ˈaː	ˈi	0.308
ˈiː	ˈiː	0.3
ˈaʊ̯	ˈuː	0.3
ç	k	0.3
ç	-	0.3
ˈɒ	ˈa	0.286
ˈuː	ˈø	0.286
ŋ	-	0.273
s	t	0.256
ˈɛ	ˈa	0.25
ɡ̊	kʰ	0.25
ɡ̊	k	0.25
x	ç	0.25
d̥	θ	0.25
ˈʊ	ˈɪ	0.235
ˈʊ	-	0.235
ˈoː	ˈi	0.211
ˈɛ	-	0.2
ˈɔ	ˈɪ	0.2
ˈɔ	ˈeː	0.2
d̥	t	0.2
ˈuː	-	0.19
ˈaɪ̯	ˈɪ	0.176
ˈoː	ˈeː	0.158
ˈaː	ˈɛ	0.154
ˈiː	ˈɪ	0.15
ˈɒ	ˈɪ	0.143
ˈɒ	ˈe	0.143
ˈuː	ˈɪ	0.143
ˈuː	ˈi	0.143
r	r_ˈɛ	0.133
ˈaɪ̯	-	0.118
v	-	0.111
ˈoː	ˈɛ	0.105
ˈoː	ˈø	0.105
ˈoː	ˈa	0.105
ˈɛ	ˈʌ	0.1
ˈiː	ˈɑː	0.1
ˈɪ	-	0.095
ˈɒ	-	0.095
ˈuː	ˈuː	0.095
ˈuː	ˈe	0.095
ɡ̊	-	0.094
f	p	0.077
f	-	0.077
v	ʍ	0.074
m	v	0.071
m	-	0.071
ɐ	ˈiː_r	0.051
ɐ	ə	0.051
