German	West Flemish	probability
ˈɛː	ˈɒː	1.0
ˈɛ_s	ˈeː_t	1.0
ˈøː	ˈoː	1.0
ˈyː	ˈuə̯	1.0
ˈuː	ˈuə̯	1.0
ˈiː	ˈiə̯	1.0
ˈa_l	ˈu	1.0
ɡ̊	ɦ̥	1.0
ɡ	ɦ	1.0
ə_n	n	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɐ_n	ɾ_n	1.0
ŋ	ŋ	1.0
ç_#>	k_#>	1.0
z_ə	z̥	1.0
z	z	1.0
v	ʋ	1.0
tʰ	d	1.0
p͡f	p	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	ə_l_#>	1.0
kʰ	k	1.0
j	j	1.0
h_<#	<#	1.0
f_#>	v_ə_#>	1.0
d̥	d̥	1.0
d	d	1.0
b̥	v̥	1.0
#>	ə_#>	1.0
ʁ	ɾ	0.931
n	n	0.9
ʦ	t	0.875
ɐ	ɾ	0.868
ˈa	ˈɑ	0.84
b	b	0.81
ˈɛ	ˈæ	0.8
f	v	0.788
ˈoː	ˈoː	0.778
l	l	0.73
ˈʏ	ˈœ	0.667
ˈɪ	ˈɪ	0.667
ˈaː	ˈɒː	0.667
k	k	0.571
ˈʊ	ˈu	0.556
ʃ	s	0.556
t	t	0.529
ˈɔʏ̯	ˈyː	0.5
ˈɔʏ̯	ˈiə̯	0.5
ç	k	0.5
ç	h	0.5
x	k	0.5
x	h	0.5
s	t	0.5
s	s	0.5
ˈɔ	ˈoː	0.471
ˈaʊ̯	ˈyː	0.471
ˈʊ	ˈɔ	0.444
ˈeː	ˈeː	0.444
k	ɦ	0.429
ˈaʊ̯	ˈoː	0.412
ˈaɪ̯	ˈi	0.409
ˈɔ	ˈɔ	0.353
t	d̥	0.353
ˈʏ	ˈɪ	0.333
ˈeː	ˈiə̯	0.333
ˈaː	ˈɑ	0.333
ˈaɪ̯	ˈɛː	0.318
l	w	0.27
ʃ	ʃ_h	0.259
ˈoː	ˈøː	0.222
ˈeː	ˈɒː	0.222
f	p	0.212
ˈɛ	ˈeː	0.2
b	v	0.19
ʃ	z	0.185
ˈaɪ̯	ˈeː	0.182
ˈɔ	ˈœ	0.176
ˈɪ	ˈɛ	0.167
ˈɪ	ˈæ	0.167
ˈa	ˈɒː	0.16
ɐ	ə_ɾ	0.132
ʦ	t_ə	0.125
ˈaʊ̯	ˈu_ʋ	0.118
t	d	0.118
ˈaɪ̯	-	0.091
n	n_ə	0.071
ʁ	-	0.069
