West Flemish	West Flemish	probability
ˈɛː	ˈɛɪ̯	1.0
ˈɛ	ˈɪ	1.0
ˈøː	-	1.0
ˈæ_ɾ	ɐ	1.0
ˈyː_v̥	v̥	1.0
ˈyː	ˈuː	1.0
ˈu_ʋ	ˈuː	1.0
ˈi	ˈiː	1.0
ʃ_h	ʃ	1.0
ɾ_ə	ɐ	1.0
ə_ɾ	ɐ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
v̥_#>	f_#>	1.0
v_ə	v_ə	1.0
v_n	m	1.0
s_#>	ʃ_#>	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
iə̯	ɒː	1.0
d̥	d̥	1.0
d_n	n	1.0
b	b	1.0
<#_ˈu	<#_h_ˈʊ	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
t	t	0.955
n	n	0.935
v	f	0.926
d	d	0.893
ˈɪ	ˈɪ	0.867
s	s	0.857
ʋ	v	0.85
ˈɑ	ˈa	0.792
w	l	0.778
ˈɒː	ˈɒː	0.765
z	z	0.762
h	x	0.714
ˈiə̯	ˈɛɪ̯	0.684
ˈɔ	ˈɔ	0.636
ˈu	ˈɔ_l	0.571
ˈoː	ˈeo̯	0.55
ˈuə̯	ˈaʊ̯	0.533
ɾ	ɐ	0.529
ɦ	ɣ	0.524
ˈeː	ˈeː	0.5
z̥	z̥	0.5
z̥	z_ə	0.5
ə	ə	0.462
ə	-	0.436
ˈu	ˈʊ	0.429
ɾ	r	0.412
ˈæ	ˈɛ	0.385
ˈæ	-	0.385
ˈœ	ˈʊ	0.375
ˈœ	-	0.375
ˈɔ	-	0.364
ˈuə̯	ˈɔʏ̯	0.333
ɦ̥	ç	0.333
ɦ̥	x	0.333
ɦ̥	-	0.333
ˈeː	ˈɛː	0.3
ɦ	j	0.286
h	ç	0.286
ˈœ	ˈʏ	0.25
ˈoː	ˈoː	0.25
z	s	0.238
ˈæ	ˈa	0.231
w	ˈœ_l	0.222
ˈeː	ˈɛɪ̯	0.2
ˈɒː	-	0.176
ˈiə̯	ˈyː	0.158
ˈiə̯	-	0.158
ʋ	w	0.15
s	ʃ	0.143
ˈɪ	ˈʏ	0.133
ˈuə̯	-	0.133
ˈɑ	ˈaː	0.125
d	-	0.107
ˈoː	ˈøː	0.1
ˈoː	-	0.1
ɦ	ɡ	0.095
ɦ	-	0.095
ˈɑ	-	0.083
v	v	0.074
n	-	0.065
ˈɒː	ˈɛə̯	0.059
ɾ	-	0.059
ə	ɪ	0.051
ə	n	0.051
