Yiddish	Swedish	probability
h	h	1.0
p	p	1.0
ŋ	-	1.0
ɪ	ŋ	1.0
b	b	0.631
m	m	0.81
s	s_t	0.211
t	tʰ	0.051
t	-	0.21
v	v	0.941
ˈɔ	ˈuː	0.051
ˈɔ	ˈɛ	0.061
ˈɛ	ˈɛː	0.061
b	-	0.142
k	ɕ	0.212
k	kʰ	0.402
s	t	0.592
t	t	0.092
ɡ	-	0.072
ˈa	ˈɑː	0.102
ˈa	ˈoː	0.12
ˈɔ	ˈoː	0.462
ˈɔɪ̯	ˈœ	0.212
ˈɪ	ˈɪ	0.422
ˈʊ	ˈɔ	0.192
ˈʊ	ˈɵ	0.262
n	-	0.23
n	n	0.43
ˈaɪ̯	ˈɛ	0.253
ˈɪ	ˈiː	0.123
f	f	0.674
k	ɡː	0.124
ə	ɛ	0.764
ʀ	-	0.144
ʃ	ɧ	0.294
ˈɔɪ̯	ˈøː	0.354
ˈɛɪ̯	ˈoː	0.24
f	v	0.095
z	s	0.785
ʀ	r	0.805
ʦ	tː	0.245
ˈɔ	ˈa	0.145
ˈɛɪ̯	ˈɛ	0.185
ˈɛɪ̯	ˈeː	0.485
ˈɪ	ˈœ	0.065
ˈʊ	ˈuː	0.225
χ	k	0.815
d	tʰ	0.406
k	k	0.086
k	-	0.176
ɡ	ɡ_a	0.106
ˈa	ˈa	0.746
ˈɔɪ̯	ˈɵ	0.076
ˈɛ	ˈɵ	0.116
ˈɛ	ˈɛ	0.556
χ	kː	0.086
b	v	0.227
d	ɖ	0.057
n	nː	0.057
n	a	0.257
s	tː	0.197
t	d	0.647
z	ɧ	0.167
ə	a	0.057
ʃ	s_k	0.317
ʦ	tʰ	0.637
ˈaɪ̯	ˈiː	0.747
ˈɔɪ̯	ˈʉː	0.357
ˈɪ	ˈʏ	0.077
d	d	0.348
l	l	0.888
ɡ	j	0.188
ʦ	-	0.118
ˈɛ	ˈæː	0.118
ˈɛ	ˈeː	0.148
ˈʊ	ˈʊ	0.278
χ	ɡ	0.098
d	-	0.189
f	p	0.179
l	lː	0.059
m	mː	0.19
v	-	0.059
ə	-	0.179
ɡ	ɡ	0.59
ʃ	s	0.389
ˈɔ	ˈɑː	0.219
ˈɛɪ̯	ˈøː	0.09
ˈɪ	ˈøː	0.059
ˈɪ	ˈyː	0.109
