Emilian	French	probability
θ_#>	#>	1.0
ˈʌ_ŋ	ɔ̃	1.0
ˈʌ_s	u	1.0
ˈɛː	ɛ	1.0
ˈɛ_s	ɛ	1.0
ˈɛ_r	e	1.0
ˈɛ_l	o	1.0
ˈɛ_d	e	1.0
ˈɔ_t	ɥ_i	1.0
ˈɔ_s	o	1.0
ˈɔ	u	1.0
ˈæ_ŋ	ɑ̃	1.0
ˈæ	-	1.0
ˈuː_ɡ	ø	1.0
ˈo_ŋ	ɔ̃	1.0
ˈi	i	1.0
ˈe_ŋ	ɛ̃	1.0
ˈa_n	ɑ̃	1.0
ˈa_j	w	1.0
ˈa_d	w	1.0
ʧ_a	j	1.0
ʧ_#>	#>	1.0
ʧ	k_l	1.0
ɲ_a	ɲ	1.0
ɲ	-	1.0
ɡ_e	a	1.0
ɡ_a_#>	#>	1.0
ŋ_n	n	1.0
t_e	t	1.0
t_a_#>	t_#>	1.0
t_#>	#>	1.0
s_e	t	1.0
s_#>	#>	1.0
r_e	ʁ	1.0
r_a	ʁ	1.0
r_#>	#>	1.0
p_#>	#>	1.0
p	p	1.0
o	-	1.0
m_a_#>	m_#>	1.0
m_#>	#>	1.0
m	m	1.0
l_ˈɛ	l_i	1.0
l_#>	#>	1.0
k_w	k	1.0
k_r	k_ʁ	1.0
k_a	ʃ	1.0
k_#>	#>	1.0
j_ˈɔː	i	1.0
f_j	f_l	1.0
f	f	1.0
e_r	ʁ	1.0
d_e	ʁ	1.0
d_#>	#>	1.0
a_ŋ	ɑ̃	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ɔ	1.0
<#_ˈaː	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_e	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_ɛ	1.0
r	ʁ	0.966
s	s	0.895
b	b	0.875
θ	s	0.867
ˈiː	i	0.857
v	v	0.821
d	-	0.8
ˈe	i	0.727
ˈɛ	ɛ	0.714
ɡ	ɡ	0.714
t	t	0.714
ˈa_ŋ	ɛ̃	0.7
l	l	0.692
a	a	0.684
z	-	0.667
ð	ʒ	0.643
n	n	0.615
ˈʌ	-	0.6
z_#>	#>	0.6
e	-	0.6
ˈuː	y	0.571
i	-	0.571
k	k	0.536
ˈaː	a	0.5
ʤ	ɡ_l	0.5
ʤ	-	0.5
v_#>	f_#>	0.5
v_#>	#>	0.5
ˈɔː	ɔ	0.471
k	ʃ	0.464
ˈa	w	0.462
ˈʌu̯	œ	0.455
ˈuː	-	0.429
ŋ	ɛ̃	0.429
i	i	0.429
ˈʌ	u	0.4
ˈo	y	0.4
ˈo	-	0.4
z_#>	a_#>	0.4
e	a	0.4
ˈa	ɛ	0.385
u	ɔ	0.385
n	-	0.385
ð	-	0.357
j	-	0.35
z	w_a_z	0.333
u	u	0.308
u	-	0.308
ˈa_ŋ	ɑ̃	0.3
ˈɔː	œ	0.294
ɡ	-	0.286
ŋ	ɑ̃	0.286
t	-	0.286
#>	a_#>	0.286
ˈaː	-	0.278
ˈe	-	0.273
j	l	0.25
j	j	0.25
l	-	0.231
ˈaː	ɛ	0.222
#>	ø_#>	0.214
#>	u_#>	0.214
ˈo	ɔ	0.2
d	d	0.2
ˈʌu̯	ø	0.182
ˈʌu̯	w	0.182
ˈʌu̯	u	0.182
ˈɛ	e	0.179
v	-	0.179
a	ɛ	0.158
a	-	0.158
ˈa	-	0.154
j	a	0.15
ˈiː	-	0.143
ŋ	ɔ̃	0.143
ŋ	n	0.143
#>	s_#>	0.143
#>	f_#>	0.143
θ	ʒ	0.133
b	-	0.125
ˈɔː	ø	0.118
ˈɔː	-	0.118
ˈɛ	-	0.107
s	s_ə	0.105
l	l_ɛ	0.077
