American English	American English	probability
θ_#>	#>	1.0
ˈɝ	ɾ	1.0
ˈɛ_d_#>	ˈøː_#>	1.0
ˈoʊ̯_#>	ˈoː_#>	1.0
ˈi_#>	#>	1.0
ˈaʊ̯_#>	ˈʉː_#>	1.0
ʧ	k	1.0
ʤ	ɡː	1.0
ɾ	-	1.0
ɹ_n	ɳ	1.0
ɹ	ɾ	1.0
ɫ_d	lː	1.0
ɫ_#>	l_#>	1.0
ɪ	-	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
z	s_ə	1.0
tʰ	tʰ	1.0
t	t	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
oʊ̯	-	1.0
n_#>	#>	1.0
l	l	1.0
kʰ	kʰ	1.0
j	-	1.0
f	f	1.0
b	b	1.0
<#_ˈʌ	<#_ˈɔ	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ɹ	<#_ɾ	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
#>	ˈeː_#>	1.0
w	ʋ	0.905
p	p	0.9
s	s	0.889
h	h	0.864
k	k	0.818
θ	tʰ	0.8
m	m	0.75
ˈaʊ̯	ˈʉː	0.7
ˈɛə̯	ˈɑ	0.667
ð	-	0.667
ɚ	ɾ	0.621
ʔ	t	0.615
n	n	0.615
ʃ	s_k	0.6
ə	ə	0.6
d	d	0.588
ɡ	ɡ	0.583
f_#>	ʋ_#>	0.571
ˈu	ˈuː	0.556
ɫ	l	0.538
ˈʊ	ˈʉ	0.5
ˈʊ	ˈuː	0.5
ˈɔ	ˈuː	0.5
ˈæ	ˈɑ	0.5
ɹ_ʔ	ʈː	0.5
ɹ_ʔ	ʈ	0.5
n_d	nː_ə	0.5
n_d	nː	0.5
i	i	0.5
i	-	0.5
ˈeɪ̯	ˈɑː	0.462
ɫ	lː	0.462
ˈʌɪ̯	-	0.444
ˈoʊ̯	ˈæɪ̯	0.429
v	ʋ_ə	0.429
f_#>	#>	0.429
ˈɑ	ˈɑ	0.417
ʃ	ʂ	0.4
ə	-	0.4
ˈɛ	ˈɛ	0.385
ˈɛ	-	0.385
ˈʌ	-	0.368
ˈaɪ̯	ˈiː	0.353
d	-	0.353
ˈʌɪ̯	ˈiː	0.333
ˈɛə̯	-	0.333
ð	ˈæː	0.333
ˈʌ	ˈʉ	0.316
ˈeɪ̯	-	0.308
ʔ	tː	0.308
ˈaʊ̯	ˈʉ	0.3
ˈɪ	ˈɪ	0.296
v	ʋ	0.286
v	-	0.286
ˈɔ	ˈɔ	0.25
ˈɔ	ˈɑ	0.25
ˈɑ	-	0.25
ˈæ	ˈɛ	0.25
ˈæ	-	0.25
ˈi	ˈøː	0.25
ɡ	j	0.25
m	mː	0.25
ˈaɪ̯	ˈɪ	0.235
ˈeɪ̯	ˈæɪ̯	0.231
n	nː	0.231
ˈʌɪ̯	ˈɛ	0.222
ˈu	ˈyː	0.222
ˈu	ˈoː	0.222
ˈoʊ̯	ˈɛ	0.214
ˈoʊ̯	-	0.214
θ	nː	0.2
ˈɪ	ˈʏ	0.185
ˈɪ	ˈiː	0.185
k	-	0.182
ˈaɪ̯	ˈʉː	0.176
ɚ	ɾ_ə	0.172
ˈɑ	ˈʉː	0.167
ˈɑ	ˈɑː	0.167
ɡ	ə	0.167
ˈi	ˈœ	0.156
ˈi	ˈyː	0.156
ˈi	ˈoː	0.156
ˈi	ˈeː	0.156
ˈɛ	ˈøː	0.154
ˈoʊ̯	ˈoː	0.143
ɚ	ə_ɾ	0.138
h	j	0.136
ˈaɪ̯	ˈøː_j	0.118
ˈaɪ̯	-	0.118
ˈɪ	ˈœ	0.111
ˈʌ	ˈʊ	0.105
ˈʌ	ˈɔ	0.105
ˈʌ	ˈœ	0.105
p	pː	0.1
w	-	0.095
ˈi	-	0.094
ˈɛ	ˈoː	0.077
ʔ	-	0.077
n	nː_ə	0.077
n	kʰ_n	0.077
ˈɪ	ˈɛ	0.074
ˈɪ	ˈyː	0.074
ˈɪ	-	0.074
ɚ	-	0.069
d	ə	0.059
s	ʂ	0.056
s	sː	0.056
