American English	American English	probability
ˈʌɪ̯_ʔ	ˈa_χ	1.0
ˈʌ_n	n	1.0
ˈɝ	r	1.0
ˈɛə̯	ˈa	1.0
ˈɛ_ð	ˈɪə̯	1.0
ˈoʊ̯_ɫ	ˈœu̯	1.0
ˈi_#>	ˈəɪ̯_#>	1.0
ʧ	k	1.0
ʤ	χ	1.0
ɾ	t_ə	1.0
ɹ	r	1.0
ɫ	ɫ	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	d_ə	1.0
z	s	1.0
w_ˈɔ	v_ˈa	1.0
v	-	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	χ	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s	s	1.0
k	k	1.0
h	ɦ	1.0
d_ˈɛ	d_ˈʊə̯	1.0
d_ˈi	d_ˈi	1.0
d_ɹ	d_r	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɹ	<#_r	1.0
<#_tʰ	<#_t	1.0
f	v̥	0.933
w	v	0.926
m	m	0.926
n	n	0.917
ʔ	t	0.875
ɡ	χ	0.857
θ	d	0.667
v_#>	v̥_#>	0.667
t	t	0.667
ɚ	r	0.643
ˈæ	ˈa	0.636
d	d̥	0.625
ˈu	-	0.6
j	j	0.6
ʃ	s_k	0.583
ˈʌɪ̯	ˈə	0.571
ˈaʊ̯	ˈœɪ̯	0.545
ˈʊ	ˈɔ	0.5
ˈʊ	-	0.5
ˈɔ	ˈʊə̯	0.5
ˈɔ	-	0.5
ˈeɪ̯	ˈɑː	0.462
ˈʌ	ˈɔ	0.455
ˈaʊ̯	-	0.455
ˈɪ	ˈə	0.448
ˈʌɪ̯	-	0.429
ʃ	s	0.417
j	χ	0.4
#>	χ_#>	0.375
#>	n_#>	0.375
ˈɑ	ˈɔ	0.364
θ	d̥	0.333
ˈoʊ̯	ˈɪə̯	0.333
v_#>	#>	0.333
t	-	0.333
i	ə_χ	0.333
i	ə	0.333
i	i	0.333
ˈaɪ̯	ˈəɪ̯	0.316
ˈɑ	ˈɑː	0.273
ˈoʊ̯	ˈəɪ̯	0.267
ˈoʊ̯	-	0.267
ˈi	ˈʊə̯	0.258
ɚ	ə_r	0.25
#>	ˈɛː_#>	0.25
ˈeɪ̯	-	0.231
ˈi	ˈɑː	0.226
ˈi	ˈi	0.226
d	d	0.225
ˈaɪ̯	ˈə	0.211
ˈɛ	ˈɪə̯	0.2
ˈɛ	ˈɑː	0.2
ˈu	ˈu	0.2
ˈu	ˈa_n	0.2
ˈi	ˈu	0.194
ˈɑ	ˈæː	0.182
ˈɑ	ˈa	0.182
ˈæ	ˈa_ɫ	0.182
ˈæ	-	0.182
ˈɪ	ˈœ	0.172
ˈaɪ̯	ˈʊə̯_χ	0.158
ˈaɪ̯	ˈi_χ	0.158
ˈaɪ̯	-	0.158
ˈeɪ̯	ˈa_χ	0.154
ˈeɪ̯	ˈa	0.154
ɡ	ə	0.143
ˈʌ	ˈɪø̯	0.136
ˈʌ	ˈœɪ̯	0.136
ˈʌ	ˈu	0.136
ˈʌ	-	0.136
ˈoʊ̯	n	0.133
ʔ	χ	0.125
ˈɛ	ˈɛ	0.12
ˈɛ	-	0.12
ɚ	ˈyː_r	0.107
ˈɪ	ˈɪə̯	0.103
ˈɪ	ˈɛ	0.103
ˈɪ	-	0.103
d	-	0.1
ˈi	ˈɪə̯	0.097
n	ə_ŋ	0.083
ˈɛ	ˈʊə̯	0.08
ˈɛ	ˈæ	0.08
ˈɛ	ˈi	0.08
ˈɛ	ˈa	0.08
w	-	0.074
m	m_ˈɑː	0.074
ˈɪ	ˈi	0.069
f	χ	0.067
