Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ	ˈu	1.0
ˈo_w	ˈo	1.0
ˈo_j	ˈo	1.0
ˈo_d	ˈo	1.0
ˈĩ_j̃	ˈi_n	1.0
ˈĩ	ˈi	1.0
ˈi_ɐ	ˈi_a	1.0
ˈi_#>	ˈe_#>	1.0
ˈe_h	ˈi_ɾ	1.0
ʧ_i	t_e	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ɐ	ɾ_a	1.0
ɾ_u	ɾ_o	1.0
ɾ	ɾ	1.0
ɦ_v	ɾ_β	1.0
ɦ_n	ɾ_n	1.0
ɦ	ɾ	1.0
ɐ̃	-	1.0
w̃_#>	n_#>	1.0
w̃	n_o	1.0
w_ˈa	w_ˈa	1.0
w_#>	l_#>	1.0
ũ	m_e	1.0
p	p	1.0
õ	o_n	1.0
k	k	1.0
j_ʃ	θ	1.0
j_v	ʝ	1.0
j_#>	j_#>	1.0
ĩ	-	1.0
i_z	e_θ	1.0
h_k	ɾ_k	1.0
h_#>	ɾ_#>	1.0
f	f	1.0
b_ˈe	β_ˈe	1.0
a_ɾ	a_ɾ	1.0
<#_ˈo	<#_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_e	<#_e	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
ɐ	a	0.925
ˈa	ˈa	0.911
ˈi	ˈi	0.905
u	o	0.889
a	a	0.882
ˈu	ˈu	0.875
ˈe	ˈe	0.875
ʎ	ʎ	0.867
t	t	0.867
m	m	0.857
o	o	0.818
ʒ	ʧ	0.769
d	ð	0.737
ˈõ	w_ˈe	0.714
ˈɛ	j_ˈe	0.7
ˈɐ̃	ˈa	0.692
h	ɾ	0.667
ˈe_j	ˈe_j	0.625
ʃ_#>	s_#>	0.625
e	e	0.611
ʧ	ˈe_n	0.6
z	s	0.6
n	n	0.6
l	ʎ	0.588
ɡ	ɣ	0.577
s	s	0.574
v	b	0.531
ʤ	t	0.5
ʤ	d	0.5
ʃ	s	0.5
w	l	0.5
v_i	ˈe_w	0.5
v_i	w	0.5
i_#>	e_#>	0.5
i_#>	#>	0.5
ẽ	e_n	0.5
ẽ	e	0.5
#>	o_#>	0.5
ˈɔ	ˈo	0.474
b	b	0.458
j̃	ɲ	0.438
ˈo	w_ˈe	0.429
ɡ	ɡ	0.423
l	l	0.412
v	β	0.406
ʧ	-	0.4
z	θ	0.4
n	ɲ	0.4
ˈe_j	ˈe	0.375
ʃ_#>	θ_#>	0.375
i	i	0.375
i	e	0.375
ˈẽ	ˈe	0.333
ˈẽ	j_ˈe	0.333
h	r	0.333
ˈo	ˈo	0.321
ˈɔ	w_ˈe	0.316
s	θ	0.298
b	β	0.292
ˈõ	ˈo_n	0.286
e	i	0.278
j	ˈe	0.25
i	-	0.25
#>	t_#>	0.25
#>	n_a_#>	0.25
ʒ	-	0.231
ˈɛ	ˈe	0.2
ˈɐ̃	ˈa_n	0.192
j̃	ŋ_ɡ	0.188
j̃	n	0.188
j̃	j	0.188
j	n	0.188
j	j	0.188
o	u	0.182
ˈo	ˈu	0.179
ˈẽ	j	0.167
ˈẽ	-	0.167
ʃ	ʃ	0.167
ʃ	p_l	0.167
w	ˈo	0.167
w	w	0.167
w	l_o	0.167
b	p	0.167
d	-	0.158
m	m_b	0.143
ʎ	ˈe_ʎ	0.133
t	n_t	0.133
ˈu	ˈo	0.125
ˈe	ʝ_ˈe	0.125
j	ˈe_j	0.125
j	ˈa_t	0.125
j	-	0.125
a	-	0.118
ˈɐ̃	ˈo	0.115
u	-	0.111
e	-	0.111
ˈɔ	w	0.105
ˈɔ	u_s	0.105
d	d	0.105
ˈɛ	j	0.1
ˈi	ˈe	0.095
s	-	0.085
ʃ	k_l	0.083
ʃ	f_l	0.083
b	m_b	0.083
ˈo	w	0.071
v	b_e	0.062
