Westphalian	Westphalian	probability
ˈʏ	ˈɪ	1.0
ˈɛː	ˈɛ	1.0
ˈɒː	ˈɔ	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	ˈɪ	1.0
ˈyː	ˈaɪ̯_ə	1.0
ˈyə̯	ˈɛ	1.0
ˈuə̯	ˈʊ	1.0
ˈoː	ˈʊ	1.0
ˈiɛ̯	-	1.0
ˈaɪ̯_n	ˈɛ_n	1.0
ˈaɪ̯_#>	ˈɛɪ̯_#>	1.0
ʃ_k_#>	ʃ_#>	1.0
ʃ_k	ʧ	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
z̥	z	1.0
z	z	1.0
x_t	χ_t	1.0
v̥	b	1.0
t_n	s_n	1.0
s_t	s_t	1.0
s_#>	d_z_#>	1.0
s	z	1.0
r	ʀ	1.0
p_#>	f_#>	1.0
l	ɫ	1.0
k_ə	χ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
aɪ̯	ˈaɪ̯_ʦ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
x	ɡ	0.875
n	n	0.862
ˈaʊ̯	ˈɔɪ̯	0.857
ˈɪ	ˈɪ	0.833
ˈiː	ˈaɪ̯	0.833
ˈa	ˈa	0.808
ˈeː	ˈɛɪ̯	0.8
ˈɔː	ˈɔ	0.75
ˈuː	ˈɔɪ̯	0.75
ˈaɪ̯	ˈɪ	0.75
v	v	0.731
ʋ	v	0.714
ŋ	ŋ	0.7
d̥	t	0.68
ˈɛ	ˈɛ	0.667
ç	k	0.667
ˈʊ	ˈʊ	0.643
m	m	0.625
ɐ	ə_ʀ	0.606
ˈɪɛ̯	ˈɛ	0.6
ˈɔ	ˈa	0.6
ˈaː	ˈa	0.6
k	k	0.577
ˈøː	ˈɪ	0.571
d	t	0.556
ˈɪə̯	ˈɪ	0.5
ˈɪə̯	-	0.5
ˈuːə̯	ˈɔ_ʀ	0.5
ˈuːə̯	ʀ	0.5
p	p	0.5
p	f	0.5
d	d	0.444
t	ʦ	0.438
ˈøː	-	0.429
ˈɪɛ̯	-	0.4
ˈɔ	ˈɔ	0.4
ˈaː	ˈɔ	0.4
ɐ	ʀ	0.394
#>	ɡ_#>	0.364
#>	n_#>	0.364
k	χ	0.346
t	s	0.344
ə	ɡ	0.333
ə	ə	0.333
ə	-	0.333
ç	χ_t	0.333
d̥	d	0.32
ŋ	ŋ_ɡ	0.3
ʋ	b	0.286
#>	f_#>	0.273
ˈɔː	-	0.25
ˈuː	ˈʊ	0.25
ˈaɪ̯	ˈaɪ̯	0.25
t	t	0.219
ˈʊ	ˈɔɪ̯	0.214
ˈeː	-	0.2
ˈa	ˈɔ	0.192
v	b	0.192
ˈɛ	ˈɪ	0.167
ˈɛ	ˈɔ	0.167
ˈiː	ˈɪ_ʀ	0.167
ˈʊ	ˈɔ	0.143
ˈaʊ̯	-	0.143
x	χ	0.125
m	m_ə	0.125
ˈɪ	ˈaɪ̯	0.083
ˈɪ	-	0.083
m	ɛ_m	0.083
m	ə_m	0.083
m	n	0.083
v	-	0.077
k	k_ə	0.077
n	n_d	0.062
