Northern Low Saxon	Northern Low Saxon	probability
ˈʏ_n	n	1.0
ˈʏ	ˈœ	1.0
ˈɛː	j_ˈəɪ̯	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈœ_r	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈɪø̯	1.0
ˈø	ˈɛ	1.0
ˈiː	ˈəɪ̯	1.0
ˈeɪ̯	-	1.0
ˈaʊ̯_l	ˈœu̯	1.0
ˈa	ˈa	1.0
ʒ	j	1.0
ɪ	ə	1.0
ɡ_r	χ_r	1.0
ɡ_n	k	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
x	χ	1.0
v̥	v̥	1.0
v	v	1.0
tʰ	t	1.0
r	r	1.0
p	p	1.0
m	m	1.0
kʰ	k	1.0
k	k	1.0
j	χ_ˈəɪ̯	1.0
i	ə_χ	1.0
h	ɦ	1.0
d_ˈaʊ̯	d_ˈʊə̯	1.0
d_r	d_r	1.0
d_n	t	1.0
aɪ̯	i	1.0
<#_pʰ	<#_p	1.0
#>	ə_#>	1.0
f	v̥	0.935
l	ɫ	0.909
ˈoː	ˈɑː	0.905
ˈʊ	ˈɔ	0.867
ç	χ	0.833
t	t	0.818
s	s	0.818
ˈɪ	ˈə	0.786
ˈɔ	ˈɔ	0.778
ʃ	s	0.72
m_#>	#>	0.714
ˈaɪ̯	ˈi	0.7
ˈuː	ˈœɪ̯	0.692
b	b	0.667
n	n	0.647
ˈeː	ˈɪə̯	0.636
ˈaʊ̯	ˈʊə̯	0.583
ɐ	r	0.553
ˈɔʏ̯	ˈʊə̯	0.5
ˈɔʏ̯	ˈu	0.5
ˈyː	ˈœɪ̯	0.5
ˈyː	ˈyː	0.5
n_n	n_d̥	0.5
n_n	n	0.5
ɡ	χ	0.481
ɡ	k	0.444
ˈɛ	ˈæ	0.429
ɐ	ə_r	0.395
d	d̥	0.386
ˈaʊ̯	ˈu	0.375
ˈeː	-	0.364
ˈaː	ˈæː_r	0.333
ˈaː	ˈa_ɫ	0.333
ˈaː	ˈa_r	0.333
b	p	0.333
ˈuː	-	0.308
ˈaɪ̯	ˈɪə̯	0.3
ˈɛ	ˈɛː	0.286
ˈɛ	-	0.286
m_#>	v̥_#>	0.286
d	d	0.286
ʃ	s_k	0.28
d	t	0.243
ˈɔ	-	0.222
ˈɪ	-	0.214
n	-	0.191
t	-	0.182
s	r_s	0.182
ç	ŋ	0.167
ˈʊ	-	0.133
ˈoː	-	0.095
ɡ	-	0.074
f	-	0.065
n	n_d	0.059
d	-	0.057
ɐ	-	0.053
