Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈɪ	ˈɪ	1.0
ˈœʏ̯	ˈeo̯	1.0
ˈøː_j	ˈeo̯	1.0
ˈæː	ɐ	1.0
ʋ_n	m	1.0
ʋ_#>	f_#>	1.0
ʈː	ɐ_t	1.0
ʂ	ʃ	1.0
ɾ_#>	#>	1.0
ɳ	ɐ	1.0
ə_ɾ	ɐ	1.0
ə_#>	#>	1.0
ŋː	ŋ	1.0
ç	-	1.0
tʰ	d	1.0
t_ə	t_n	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
mː_ə	m_n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
k_#>	k_#>	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
n	n	0.9
d	d	0.857
ˈyː	ˈɛɪ̯	0.8
ʋ	v	0.778
ˈɑ	ˈa	0.76
lː	l	0.727
ˈeː	ˈɛɪ̯	0.714
ˈoː	ˈɒː	0.667
nː_ə	n_n	0.667
k	k	0.667
ˈʏ	ˈʏ	0.625
ɡː	ə	0.6
ˈɑː	ˈɒː	0.571
ˈæɪ̯	ˈɛɪ̯	0.571
tː	t	0.545
ˈuː	ˈaʊ̯	0.538
ˈʉː	ˈuː	0.529
s	s	0.515
ɡ	-	0.5
ə	ə	0.5
s	z	0.485
ˈiː	ˈiː	0.474
ɾ	ɐ	0.465
ˈʉ	ˈʊ	0.462
ɾ	r	0.419
ˈœ	-	0.417
ˈøː	ˈeo̯	0.417
#>	d̥_#>	0.411
ɡː	ɡ	0.4
ˈʏ	-	0.375
j	ˈeː	0.375
j	-	0.375
ˈøː	ˈɔʏ̯	0.333
ɡ	ɣ	0.333
ə	n	0.333
nː_ə	n	0.333
k	k_ə	0.333
ˈʉ	-	0.308
ˈɔ	ˈoː	0.3
ˈɔ	-	0.3
ˈɛ	ˈɛ	0.294
ˈɑː	-	0.286
ˈæɪ̯	-	0.286
ˈeː	ˈɛː	0.286
tː	x	0.273
lː	l_ə	0.273
ˈœ	ˈøː	0.25
ˈøː	-	0.25
j	h	0.25
ˈʉː	-	0.235
ˈʉ	v_ˈʊ	0.231
ʋ	w	0.222
#>	ə_#>	0.214
ˈiː	ˈɪ	0.211
ˈɔ	ˈœ	0.2
ˈɔ	ˈa	0.2
ˈyː	ˈyː	0.2
tː	ç_t	0.182
ˈɛ	ˈʏ	0.176
ˈɛ	ˈɪ	0.176
ˈɛ	ˈa	0.176
ˈɛ	-	0.176
ˈœ	ˈɔʏ̯	0.167
ˈœ	ˈɔ	0.167
ˈoː	ˈoː	0.167
ˈoː	-	0.167
ɡ	ɣ_ˈɔ	0.167
#>	n_#>	0.161
ˈiː	n	0.158
ˈiː	-	0.158
ˈuː	ˈʊ	0.154
ˈuː	ˈoː	0.154
ˈuː	-	0.154
ˈɑː	ˈɛə̯	0.143
ˈæɪ̯	ˈaɪ̯	0.143
d	d̥	0.143
ˈɑ	ˈɔ	0.12
ˈɑ	-	0.12
ˈʉː	ˈeː	0.118
ˈʉː	j	0.118
n	-	0.1
ɾ	-	0.07
#>	t_#>	0.054
#>	f_#>	0.054
